"","cov_id","ts_id"
"209","pnc1","pnc1"
"210","pnct1","pnct1"
"211","pnct2","pnct2"
"212","pnct4","pnct4"
"213","psm1","psm1"
"214","psm2","psm2"
"215","psmt1","psmt1"
"216","ptc1","ptc1"
"217","pwmc1","pwmc1"
"218","580223156504200","fws_580223156504200"
"219","gelo","fws_gelo"
"220","kulr","fws_kulr"
"221","malr","fws_malr"
"222","nclo","fws_nclo"
"223","newhalen river","fws_newhalen river"
"224","oslr","fws_oslr"
"225","oslr2","fws_oslr2"
"226","pulo","fws_pulo"
"227","pulr","fws_pulr"
"228","sllr","fws_sllr"
"229","tolo","fws_tolo"
"230","tolr","fws_tolr"
"231","welr","fws_welr"
"232","welr2","fws_welr2"
"233","571005154134600","571005154134600"
"234","571221154040300","571221154040300"
"235","571343154244900","571343154244900"
"236","572656154082400","572656154082400"
"237","fws_kdk_aforv01","fws_kdk_aforv01"
"238","fws_kdk_busrv01","fws_kdk_busrv01"
"239","fws_long lake creek","fws_long lake creek"
"240","fws_tanada creek","fws_tanada creek"
"241","kdk_akacr01","kdk_akacr01"
"242","kdk_akacr02","kdk_akacr02"
"243","kdk_ayarv03","kdk_ayarv03"
"244","kdk_cancr01","kdk_cancr01"
"245","kdk_cancr02","kdk_cancr02"
"246","kdk_cascr01","kdk_cascr01"
"247","kdk_concr01","kdk_concr01"
"248","kdk_eftrv01","kdk_eftrv01"
"249","kdk_falcr01","kdk_falcr01"
"250","kdk_falcr02","kdk_falcr02"
"251","kdk_meacr01","kdk_meacr01"
"252","kdk_omarv01","kdk_omarv01"
"253","kdk_pincr01","kdk_pincr01"
"254","kdk_pincr02","kdk_pincr02"
"255","kdk_relrv01","kdk_relrv01"
"256","kdk_soucr01","kdk_soucr01"
"257","bm1","bm1"
"258","bm10","bm10"
"259","bm11","bm11"
"260","bm12","bm12"
"261","bm13","bm13"
"262","bm14","bm14"
"263","bm2","bm2"
"264","bm3","bm3"
"265","bm4","bm4"
"266","bm5","bm5"
"267","bm6","bm6"
"268","bm7","bm7"
"269","bm8","bm8"
"270","bm9","bm9"
"271","kwf1","kwf1"
"272","kwf2","kwf2"
"273","kwf3","kwf3"
"274","kdk_bigcr01","kdk_bigcr01"
"275","kdk_karrv02","kdk_karrv02"
"276","lsarc","lsarc"
"277","lscoa","lscoa"
"278","lscoh","lscoh"
"279","lsgov","lsgov"
"280","lslak","lslak"
"281","lslak7","lslak7"
"282","lslil","lslil10"
"283","lsmoo1","lsmoo1"
"284","lsnlt1","lsnlt10"
"285","lspap","lspap"
"286","lsr100","lsr100"
"287","lsr103","lsr103"
"288","lsr112.5","lsr106"
"289","lsr112","lsr112"
"290","lsr112.2","lsr112.2"
"291","lsr112.4","lsr112.4"
"292","lsr28","lsr28"
"293","lsr28.3","lsr28.3"
"294","lsr33","lsr33"
"295","lsr33.1","lsr33.1"
"296","lsr33.8","lsr33.8"
"297","lsr47","lsr47"
"298","lsr48.1","lsr48.1"
"299","lsr48.3","lsr48.3"
"300","lsr59","lsr59"
"301","lsr63.1","lsr63.1"
"302","lsr63.4","lsr63.4"
"303","lsr67","lsr67"
"304","lsr73","lsr73"
"305","lsr73.1","lsr73.1"
"306","lsr73.2","lsr73.2"
"307","lsr87","lsr87"
"308","lsr89","lsr89"
"309","lsr93lb","lsr93"
"310","lsswi1","lsswi1"
"311","lstrb33","lstrb33"
"312","lstrb36","lstrb36"
"313","lstrb88","lstrb88"
"314","lstrb97","lstrb97"
"315","katm_idavc_stream_water","nps_katm_idavc_stream_water"
"316","katm_lbrooo_lvl","nps_katm_lbrooo"
"317","katm_margc_stream_water","nps_katm_margc_stream_water"
"318","katm_naknlo_lvl","nps_katm_naknlo"
"319","katm_savor_stream_water","nps_katm_savor_stream_water"
"320","katm_upatc_stream_water","nps_katm_upatc_stream_water"
"321","lacl_kijilo_lvl","nps_lacl_kijilo"
