Year,Stream,WatershedSlope,CumulativeSummerPrecip,PcntNorthFacing,MeanAirTemp,SnowResidual,TempSensitivity,MeanStreamTemp
2012,SilverSalmon,4.59081,33.0835,-0.571038317,10.8622449,14.66500172,0.512187119,10.05584416
2012,Allah,19.366984,33.0835,-0.56081257,10.8622449,25.14408745,0.138031579,5.444155844
2012,Beaver,3.611918,33.0835,-0.430097305,10.8622449,22.4339302,0.351052454,9.483116883
2012,Berm,17.17625,33.0835,-2.478771661,10.8622449,14.62617462,0.123674658,5.755844156
2012,Seventh,11.898106,33.0835,-2.12007121,10.8622449,23.57361974,0.104419816,6.341558442
2012,Uno,15.831892,33.0835,-2.341923173,10.8622449,25.0287728,0.10308313,5.385714286
2012,C,21.754516,33.0835,-4.840806802,10.8622449,14.66203029,0.03394689,3.627272727
2012,Cabin,21.500231,33.0835,-1.683439304,10.8622449,22.50292727,0.16369425,5.188311688
2012,Fifer,7.975384,33.0835,-0.726960394,10.8622449,13.57684634,0.214835924,6.71038961
2012,LynxCold,11.269006,33.0835,-1.155246905,10.8622449,22.88779277,0.130236752,5.350649351
2012,Sixth,12.351929,33.0835,-2.567127792,10.8622449,21.03594862,0.119518048,6.693506494
2013,Pick,9.387651,34.3408,-1.209221038,13.23376238,29.29808837,0.341226023,6.916753247
2013,Elva,25.589177,34.3408,-1.32046331,13.23376238,10.42226744,0.413277964,8.577532468
2013,Hidden,12.871619,34.3408,0.216884088,13.23376238,32.01004227,0.529591859,11.46831169
2013,Lynx,15.606471,34.3408,-1.348596387,13.23376238,22.9017738,0.489707726,12.25545455
2013,Teal,7.94316,34.3408,-1.62967145,13.23376238,27.57871759,0.431506142,9.843246753
2013,K3,23.723655,34.3408,-1.652429875,13.23376238,20.90999077,0.157910474,5.59
2013,Moose,4.59752,34.3408,-0.77707999,13.23376238,25.02745459,0.719461409,13.29298701
2013,Hope,7.818902,34.3408,-1.39967464,13.23376238,25.56880809,0.550265546,11.05948052
2013,Sam,20.211838,34.3408,-2.309247779,13.23376238,22.92874989,0.263863296,8.235
2013,Joe,25.041393,34.3408,-2.465496276,13.23376238,13.81281888,0.225769036,7.038441558
2013,Cottonwood,29.522666,34.3408,-1.906520963,13.23376238,3.724663569,0.247412168,5.581857143
2013,Kema,6.499086,34.3408,-0.602258763,13.23376238,31.08160642,0.550231477,10.89350649
2013,Whitefish,3.76125,34.3408,-0.667728931,13.23376238,23.63660228,0.530997686,12.59
2013,Bear,12.483559,34.3408,-0.429630577,13.23376238,27.17563932,0.112404148,7.181428571
2013,Hansen,8.52333,34.3408,-1.928388895,13.23376238,17.36475794,0.333445397,8.15974026
2013,Stovall,3.342202,34.3408,-0.681491406,13.23376238,27.41797674,0.842371557,14.40935065
2013,NerkaBear,3.172538,34.3408,-0.784660009,13.23376238,28.85699749,0.705316394,13.56965049
2013,Rainbow,26.3011,34.3408,-1.584790211,13.23376238,14.46824128,0.126470848,4.979178082
2013,Berm,17.17625,34.3408,-2.478771661,13.23376238,18.37903877,0.266699212,6.706883117
2013,Seventh,11.898106,34.3408,-2.12007121,13.23376238,26.38958065,0.274135212,7.250909091
2013,Uno,15.831892,34.3408,-2.341923173,13.23376238,23.78219746,0.172977889,5.8934375
2013,Cabin,21.500231,34.3408,-1.683439304,13.23376238,23.50471162,0.291020629,6.284736842
2013,LynxCold,11.269006,34.3408,-1.155246905,13.23376238,25.34359388,0.134190697,5.83987013
2013,Silverhorn,26.452467,34.3408,-0.923022301,13.23376238,17.03303123,0.025688667,4.766216216
2013,Sixth,12.351929,34.3408,-2.567127792,13.23376238,25.19550629,0.169062847,7.375789474
2014,Pick,9.387651,29.9974,-1.209221038,12.84240802,-0.814411627,0.214013144,6.254192922
2014,Elva,25.589177,29.9974,-1.32046331,12.84240802,-16.52634916,0.438271113,12.62029282
2014,Lynx,15.606471,29.9974,-1.348596387,12.84240802,-7.668321421,0.474815824,12.69832251
2014,Teal,7.94316,29.9974,-1.62967145,12.84240802,-2.997850678,0.408783097,10.29387171
2014,K3,23.723655,29.9974,-1.652429875,12.84240802,2.260640124,0.140873524,6.262748756
2014,Moose,4.59752,29.9974,-0.77707999,12.84240802,0.707557937,0.545589777,13.83053483
2014,Hope,7.818902,29.9974,-1.39967464,12.84240802,-0.21641772,0.468560116,12.09732587
2014,Sam,20.211838,29.9974,-2.309247779,12.84240802,-0.762137682,0.47382506,10.272204
