SiteID,SourceName,Year
cik_Sivanguq Creek,CIK,2014
cik_Sivanguq Creek,CIK,2015
cik_Sivanguq Creek,CIK,2016
cik_Sivanguq Creek,CIK,2017
cik_Squaw Creek,CIK,2014
cik_Squaw Creek,CIK,2015
cik_Tunravik Creek,CIK,2014
cik_Yellow Creek,CIK,2015
cik_Yellow Creek,CIK,2016
cik_Yellow Creek,CIK,2017
cik_Yellow Creek,CIK,2018
cik_Yellow Creek,CIK,2019
CIK_0,CIK,2009
CIK_0,CIK,2010
CIK_0,CIK,2011
CIK_0,CIK,2012
CIK_1,CIK,2008
CIK_1,CIK,2009
CIK_1,CIK,2010
CIK_1,CIK,2011
CIK_10,CIK,2008
CIK_10,CIK,2009
CIK_10,CIK,2010
CIK_10,CIK,2011
CIK_10,CIK,2012
CIK_10,CIK,2019
CIK_11,CIK,2008
CIK_11,CIK,2009
CIK_11,CIK,2010
CIK_11,CIK,2011
CIK_11,CIK,2012
CIK_11,CIK,2014
CIK_11,CIK,2015
CIK_11,CIK,2019
CIK_12,CIK,2008
CIK_12,CIK,2009
CIK_12,CIK,2010
CIK_12,CIK,2011
CIK_12,CIK,2012
CIK_12,CIK,2014
CIK_12,CIK,2015
CIK_13,CIK,2008
CIK_13,CIK,2009
CIK_13,CIK,2010
CIK_13,CIK,2011
CIK_13,CIK,2014
CIK_13,CIK,2015
CIK_14,CIK,2004
CIK_14,CIK,2005
CIK_14,CIK,2006
CIK_14,CIK,2007
CIK_14,CIK,2008
CIK_14,CIK,2009
CIK_14,CIK,2010
CIK_14,CIK,2011
CIK_14,CIK,2012
CIK_14,CIK,2013
CIK_14,CIK,2014
CIK_14,CIK,2015
CIK_14,CIK,2016
CIK_14,CIK,2017
CIK_14,CIK,2018
CIK_14,CIK,2019
CIK_15,CIK,2004
CIK_15,CIK,2005
CIK_15,CIK,2006
CIK_15,CIK,2007
CIK_15,CIK,2008
CIK_15,CIK,2009
CIK_15,CIK,2011
CIK_16,CIK,2009
CIK_16,CIK,2010
CIK_16,CIK,2011
CIK_16,CIK,2012
CIK_17,CIK,2008
CIK_17,CIK,2009
CIK_17,CIK,2010
CIK_17,CIK,2011
CIK_17,CIK,2012
CIK_18,CIK,2009
CIK_18,CIK,2010
CIK_18,CIK,2011
CIK_18,CIK,2012
CIK_19,CIK,2009
CIK_19,CIK,2010
CIK_19,CIK,2011
CIK_19,CIK,2012
CIK_2,CIK,2008
CIK_2,CIK,2009
CIK_2,CIK,2010
CIK_20,CIK,2008
CIK_20,CIK,2009
CIK_20,CIK,2010
CIK_20,CIK,2011
CIK_20,CIK,2012
CIK_21,CIK,2008
CIK_21,CIK,2009
CIK_21,CIK,2010
CIK_21,CIK,2011
CIK_21,CIK,2012
CIK_22,CIK,2009
CIK_22,CIK,2010
CIK_23,CIK,2008
CIK_23,CIK,2009
CIK_23,CIK,2010
CIK_23,CIK,2011
CIK_23,CIK,2012
CIK_23,CIK,2014
CIK_23,CIK,2015
CIK_23,CIK,2019
CIK_24,CIK,2009
CIK_24,CIK,2010
CIK_24,CIK,2011
CIK_24,CIK,2012
CIK_25,CIK,2008
CIK_25,CIK,2010
CIK_25,CIK,2012
CIK_26,CIK,2009
CIK_26,CIK,2010
CIK_26,CIK,2011
CIK_26,CIK,2012
CIK_27,CIK,2008
CIK_27,CIK,2009
CIK_27,CIK,2010
CIK_27,CIK,2011
CIK_28,CIK,2009
CIK_28,CIK,2010
CIK_28,CIK,2014
CIK_28,CIK,2016
CIK_28,CIK,2017
CIK_29,CIK,2008
CIK_29,CIK,2009
CIK_29,CIK,2010
CIK_29,CIK,2012
