cat_ID_con,cat_ID_txt,wtd_slope_COUNT,wtd_slope_AREA,wtd_slope_MIN,wtd_slope_MAX,wtd_slope_RANGE,wtd_slope_MEAN,wtd_slope_STD,wtd_slope_SUM,wtd_slope_MEDIAN,wtd_slope_PCT90,wtd_lake_area_sqm,wtd_lake_per,wtd_glacier_area_sqm,wtd_glacier_per
Cook_Inlet_75004400005344,75004400005344,450061.0,45006100.0,3.6557680687110405e-06,70.87157440185547,70.8715707460874,25.377292244544638,13.029401813840773,11421329.524872005,26.370603561401367,41.60871124267578,202569.36490645775,0.450081632657398,1588148.9039029786,3.528651293850814
Cook_Inlet_75004400011755,75004400011755,1055899.0,105589900.0,6.813379513914697e-07,76.85009765625,76.85009697491205,24.021294798863863,15.070706032875457,25364061.156825554,24.157957077026367,44.199150848388676,5262557.611721797,4.983940390251316,47695107.47417892,45.16997059157406
Cook_Inlet_75004400010352,75004400010352,535581.0,53558100.0,3.2585126064077485e-06,67.01898956298828,67.01898630447567,26.175337673908,10.23187778847051,14019013.526729321,28.10197639465332,37.792903900146484,62396.2315048904,0.11650641083680272,153956.06906432746,0.2874671851267473
Cook_Inlet_75004400007996,75004400007996,2825727.0,282572700.0,4.04856427849154e-06,65.50576782226562,65.50576377370135,22.750199185135365,9.795683760479113,64285852.092815,23.94792938232422,34.54941177368164,201660.2674132792,0.07136497268027682,67318.95155655385,0.023823310364121778
Cook_Inlet_75004400004850,75004400004850,1563074.0,156307400.0,1.9521361957486327e-11,67.16131591796875,67.16131591794922,18.792689335085587,10.866262615720402,29374364.089749567,18.86668586730957,33.13370933532715,163496.46597359417,0.10460110283503045,,
Cook_Inlet_75004400005312,75004400005312,3699359.0,369935900.0,3.234210453229025e-06,76.2962646484375,76.29626141422705,20.660395582468546,13.536731354776588,76430220.34156525,19.400711059570312,39.545901489257815,3097657.0658363113,0.8373559014825424,85900124.18920964,23.2204451297124
Cook_Inlet_75004400004652,75004400004652,1680093.0,168009300.0,1.4641541383753065e-06,47.333805084228516,47.33380362007438,3.5175967543036037,3.6294183622827214,5909889.683728204,2.8731517791748047,8.046077728271484,5779866.168086562,3.440189201884425,,
Cook_Inlet_75004400006033,75004400006033,907534.0,90753400.0,2.1752564407506725e-06,45.12474822998047,45.12474605472403,7.588254596901712,7.163718387636307,6886599.047344598,5.2304465770721436,18.639043235778807,397181.1509966373,0.43767977168370864,,
Cook_Inlet_75004400009412,75004400009412,2858622.0,285862200.0,3.3674414225970395e-06,68.31371307373047,68.31370970628905,23.798318109486235,12.412561365963377,68030395.71077576,24.943443298339844,39.19514350891113,6675790.382882875,2.3353066075139397,764952.8963814812,0.26759371563508555
Cook_Inlet_75004400008887,75004400008887,114531.0,11453100.0,1.1983053127551102e-07,33.43342590332031,33.43342578348978,6.09253190027537,4.678000855992211,697783.7710704384,5.564393997192383,12.573731422424316,1593694.3682220604,13.914626563001192,,
Cook_Inlet_75004400010754,75004400010754,1639147.0,163914700.0,2.558931328167091e-06,68.24111938476562,68.2411168258343,19.584607201781488,12.263280767454935,32102050.14097852,18.95598793029785,36.491441345214845,6337764.041290869,3.866636965309179,1224936.4126271335,0.7473273511540499
Cook_Inlet_75004400006170,75004400006170,293633.0,29363300.0,1.280559747129928e-08,35.27083206176758,35.27083204896198,4.72565139764981,3.846047957736218,1387607.1968461066,4.043037414550781,9.92110767364502,3437464.693094935,11.70572347769398,,
Cook_Inlet_75004400008216,75004400008216,5520689.0,552068900.0,3.2689042654965306e-06,75.58899688720703,75.58899361830277,24.030359706194464,13.822917647548723,132664142.496031,24.63953399658203,41.7296028137207,16737971.702895738,3.031858423109351,92143575.76127642,16.69056927960447
Cook_Inlet_75004400007830,75004400007830,410433.0,41043300.0,6.775806027370379e-10,57.56361770629883,57.56361770562125,19.67913125829243,10.82506399310583,8076964.879734737,19.753236770629883,34.04193267822266,,,,
Cook_Inlet_75004400009109,75004400009109,291998.0,29199800.0,8.495322276758088e-07,31.91155433654785,31.911553487015624,4.039736917869445,3.3642983244627955,1179595.1005440422,3.3828964233398438,8.36835765838623,3061648.740881293,10.484326454165313,,
Cook_Inlet_75004400007550,75004400007550,3223426.0,322342600.0,1.3131617606632062e-06,50.09756088256836,50.0975595694066,3.7063170208437457,4.1697938932021135,11947038.649230272,2.873154401779175,8.13193416595459,6444698.707887486,1.9993318332189103,,
Cook_Inlet_75004400003815,75004400003815,457753.0,45775300.0,3.4531133223936195e-06,66.60928344726562,66.6092799941523,14.470643364514821,9.524599568030734,6623980.412036753,12.38708782196045,27.95887756347656,99399.85307325207,0.21712861894020247,1257401.0444158176,2.7466615270223387
Cook_Inlet_75004400000334,75004400000334,22426504.0,2242650400.0,1.4757631561224116e-06,76.2962646484375,76.29626317267434,21.69426357119778,13.431603501696834,486526488.7565213,21.47132682800293,39.39804763793944,104986117.88912565,4.6813574612828095,193821283.66394418,8.64253989650187
Cook_Inlet_75004400010699,75004400010699,457449.0,45744900.0,1.0597899745334871e-05,65.71723175048828,65.71722115258854,18.09877677329699,10.9943837092627,8279267.336167934,17.72038459777832,32.61890640258789,106201.44323733367,0.23216309970731652,,
Cook_Inlet_75004400001136,75004400001136,1530768.0,153076800.0,5.943979886069428e-08,72.81350708007812,72.81350702063833,26.643762890274893,12.990749509961791,40785419.63202032,27.603964805603027,42.93600425720215,89377.28745750355,0.058386180098808575,12854221.706428617,8.397087503225045
