OID_,cat_ID_con,AwcHuc12_wtd_lcld_mn_2001,AwcHuc12_wtd_lcld_mn_2002,AwcHuc12_wtd_lcld_mn_2003,AwcHuc12_wtd_lcld_mn_2004,AwcHuc12_wtd_lcld_mn_2005,AwcHuc12_wtd_lcld_mn_2006,AwcHuc12_wtd_lcld_mn_2007,AwcHuc12_wtd_lcld_mn_2008,AwcHuc12_wtd_lcld_mn_2009,AwcHuc12_wtd_lcld_mn_2010,AwcHuc12_wtd_lcld_mn_2011,AwcHuc12_wtd_lcld_mn_2012,AwcHuc12_wtd_lcld_mn_2013,AwcHuc12_wtd_lcld_mn_2014,AwcHuc12_wtd_lcld_mn_2015,AwcHuc12_wtd_lcld_mn_2016,AwcHuc12_wtd_lcld_mn_2017,AwcHuc12_wtd_lcld_mn_2018,AwcHuc12_wtd_lcld_mn_2019
34,Bristol_Bay_1025432,428.857623218133028,439.208607792055716,385.696693945031086,445.986195877666091,404.278438007323246,468.194609555257728,435.626746297146155,445.128265017055469,469.087627696169477,458.753369900062296,444.363706869491125,471.681586141022763,445.071549322802980,375.534656624739227,404.167020851128086,388.997886612920354,426.924729751814198,455.692965557249408,389.773156434364466
35,Bristol_Bay_1025533,488.258449374481984,478.600231594578929,415.977613241358313,484.286031554654926,458.693897739568740,502.947913724804266,467.850511932383768,488.324776388120995,480.713819117702940,495.553127822950159,477.944970417835407,498.543652082269773,491.027017315735975,421.041597559829199,428.204192391612935,445.941980751718063,478.447232110586242,481.873541416824821,456.089364206797711
36,Bristol_Bay_1025683,508.095647046795591,493.952397717076678,468.352256572609519,492.962439948052577,490.686569927235212,508.346912558378449,492.980900553079039,505.775481846782895,489.129379932766597,509.288676821434763,497.599710969514661,519.321804038197229,504.327087592505166,456.854912260896413,479.172119205548427,472.873678910777357,489.573001599247050,498.123248334548691,478.355831733102207
37,Bristol_Bay_1025783,433.526570366348381,447.781442751025054,381.606199222542500,451.860095836847506,401.739296217149672,469.215001708415798,435.840818950682774,446.436149184247597,467.450348459349300,459.905594110148115,451.544891960567384,475.979304801899048,466.549977092066172,392.923982407852407,396.864660341338322,393.306416196299494,451.380032513645631,443.411515122163451,394.670054494263695
38,Bristol_Bay_1026233,417.388678310811372,438.726485758487797,381.167466497498879,441.392954913832853,396.474249332933653,467.337727757008793,414.830183045164461,444.386921459955659,467.553373018462594,447.024836549380211,425.056413232377793,469.218877312708685,442.474396026210911,387.360134594896522,396.020750899039740,388.448821847809256,417.390163424370655,452.091625229473436,388.683133611622964
39,Bristol_Bay_1026463,428.329983006433054,447.047034956746074,387.897631494167229,445.269610138629901,400.078557116374213,471.252524598544710,436.651939995530483,452.365213302027428,470.815737015252296,456.278598532432227,450.105225721054069,478.105593050552159,463.908183091241597,391.332240631211221,396.777780753990783,393.259807573262663,439.465810357982150,442.090567638714163,394.792278414111024
40,Bristol_Bay_1026613,505.521983445233502,493.400053558279296,458.814122108630784,493.871392313614308,482.649215681699843,508.562268004792600,487.991786314663045,502.094607732040629,488.522342004396421,505.369097641157225,493.094690006898134,516.113865357983968,500.058929370481735,448.905262220603788,465.790304464764347,469.561940763159157,489.231174582479923,496.067804174149614,474.675382538299857
41,Bristol_Bay_1026983,459.720617448925964,467.388114912981962,418.257559019332803,466.521954638233638,430.607345546017996,488.051030672868990,459.050673492574845,475.472969576708294,482.616898319609732,480.163529350682268,450.921594524311274,489.165998799685951,477.111896686467560,413.928804126350087,422.021747325417437,416.014163368228537,458.309410101377807,461.876355663749393,430.890747726082054
42,Bristol_Bay_1027852,430.438721476165597,449.098039381461206,393.597770091283223,446.626663194507046,421.342629269855877,475.190028400179415,421.960031756796127,455.039939496372028,470.180228266761219,457.226779534620619,426.641012936920902,479.633704477489800,455.688131531975046,394.094931341570771,401.097105954908955,406.998733448374708,452.699972690505263,454.176989175123310,402.489701447233244
43,Bristol_Bay_1028122,433.802136098186679,438.958535878903774,381.581642310894495,456.786425277667263,398.662479361671615,462.540324868339610,449.597927108781789,444.433815308701583,466.750668298893686,467.174522969304405,452.093480536781726,472.954305843556824,463.735150592111324,394.991811623621402,406.869477064511671,394.131988382618204,455.629649986258187,442.549945847914785,399.190383990809949
44,Bristol_Bay_1028212,510.128933619247675,499.670078790149887,478.879767363906922,493.085925707458387,490.700359167303645,512.743548676689215,478.157632868345445,514.301961322433385,491.923471627421577,505.486300645074152,495.630033104016150,517.389909863396610,503.661358008761056,455.111113159200499,473.568277628611042,483.138759005635450,483.982404147530872,505.050539433647828,488.438547301061021
45,Bristol_Bay_1028322,496.323281088790509,489.000845213138405,450.905396055728545,485.809318930115410,473.428252031688032,506.576181481463664,469.644614779389485,500.194543124866357,486.962444857257424,497.556845154197390,483.940357367467982,508.252594768201675,493.808834819753599,437.629400195842265,455.597754147385388,459.477851766901324,478.537983927774121,493.185952850737124,470.695026449776151
46,Bristol_Bay_1029732,509.646140166820032,499.163221024190932,465.483570855755829,499.243738940981132,489.584294541234669,510.396884136996164,490.115320995328489,505.788899349956637,492.243332655206132,507.312126536444737,497.504152453570896,518.681233618459828,502.027649018765658,458.441183776008984,473.406323923903585,480.369906347281528,493.495155027293720,499.853439649708150,480.262806577213667
47,Bristol_Bay_1029872,476.326013876203035,468.955239656835488,408.325621390726042,479.254037722088697,441.922960557668432,498.550577855848815,456.976857052630294,481.644356255452124,478.884822094917695,489.795273568180733,463.538473474775572,493.712714461318456,482.955015624633802,413.290100685703862,422.251850440227884,435.188412542623041,473.341916041395621,477.314004461182776,447.231072952813690
48,Bristol_Bay_1030062,432.332817426849999,445.277781392523991,383.812497631982296,449.896786198676409,401.023612916666082,467.537052672439359,436.636394634656654,446.502052200643845,467.384749947235946,459.210522264651843,448.460700925868821,476.261952088593318,461.335044014064692,392.152871124567127,398.394251373120596,392.700455303934575,450.235687987527626,443.166259371558112,395.455656858145062
49,Bristol_Bay_1030462,417.794413368560299,437.213120189999358,381.502214244588743,436.489300261382084,393.805585057966198,467.654435483454904,400.200865356637678,441.325213142102029,464.856114163575398,434.528656117269293,414.488008317141123,467.834879959529587,432.781211292959540,391.235937102954608,401.612464434409105,386.729782641483212,423.465750467244675,452.329918219650210,391.735280804660761
50,Bristol_Bay_1030642,423.511440436978376,430.780201371756277,386.353453408343228,434.654205159718231,400.347839830140458,460.480104523726141,426.429280472755011,436.347508663770554,464.562390808432269,464.084011120439754,432.848516445836822,470.178988693395809,415.710875580938932,375.145506591872959,401.290568242696452,391.453830595608167,412.285116831738719,452.699521601164804,394.481001369655246
51,Bristol_Bay_1031022,489.357250229573367,482.054673794310133,439.712558545842171,484.030242270512247,464.508310117585836,502.775970285244966,469.235170921454369,492.590401655240100,484.368233912473897,496.184207544830429,477.597530738735145,505.402694988498638,490.055222369116791,433.754896821335024,448.405217927017929,453.112928078758330,480.645801861292114,487.280063197540244,460.720201471744531
52,Bristol_Bay_2019230,559.948210105897942,554.166825004500311,556.900032409599589,552.424324554374948,555.236805526000580,554.378240387611072,551.316388129587494,563.038853878513692,537.284999918144990,555.917253695177692,554.624890576652319,558.961374298200894,553.111798733090268,552.422763328030442,552.456314471368728,555.551279197292274,551.076846447221328,552.602623868530259,552.904185094858917
53,Bristol_Bay_2019750,557.672064113232636,550.664429715348319,553.103565908499604,547.308768125115307,550.599924297232860,550.807931194490948,547.042913974975818,560.421712627226611,530.214305437045027,552.872213928160363,550.761113034462369,556.047015742744975,548.913152324364773,547.919013448290571,547.597704908816695,551.143670480719493,545.830751378545642,548.763328694902270,547.897544779831492
54,Bristol_Bay_2020120,553.604577342807829,546.291615946630827,548.181984360953152,541.993133497867234,545.407254501860621,546.510388263208256,542.419708160982964,556.051186882954880,524.813796629975855,548.279385367840177,546.176355437406755,552.012700159941687,544.100354137579984,542.391078153246781,541.813672110952439,545.620045221097485,541.777678696024736,544.145270179937711,542.820471864652973
55,Bristol_Bay_2040601,549.306254820361346,541.983496759695527,542.834321516782779,536.529102704365300,540.275486424817700,541.309445328836887,535.038102335833628,550.178578491545977,520.816518517461759,541.717198931317398,541.479388421386375,547.604633700915088,539.594656750640411,537.967519721843473,536.062262056613804,539.409947895653204,537.009219090778174,540.116278841905682,538.432370438515136
56,Bristol_Bay_2041261,545.492641133816164,538.607330868512008,537.749798813465645,532.401001319141756,535.838012321966289,537.813374020114907,530.657563685470791,546.935141105003368,517.936952289519922,538.154067407096932,537.874227128396569,544.132267310818293,535.618722745043783,533.232803048834398,531.466964288148233,534.876490163469953,532.976728948507343,536.653015185505410,534.222140008930296
57,Bristol_Bay_2042341,537.392748470251490,526.603944592715266,524.618664306849041,517.616052249312702,519.195274041834409,524.387643089524431,520.694714304968670,538.996716089802362,507.015971467375778,526.441136567533249,527.560910942040550,532.167740234608232,519.275855506065909,517.100743626154326,516.415844540430726,520.411083243925304,515.269586329764138,524.654695291384542,519.387059346859246
58,Bristol_Bay_2059915,464.926872243096341,480.442201551270898,381.313995985493364,460.993134236395179,470.708881792509146,486.989156255501030,461.010767702536327,465.260855778025302,478.444450308864134,425.968537445818981,472.956596946998673,482.566819500439351,481.155406411300135,388.929993290551181,398.812106788375104,404.361275929752878,468.640073551944454,470.190574101605250,441.866694271238146
59,Bristol_Bay_2060975,461.988275743851830,483.841469741588753,389.372165035790147,472.116130928201187,469.201222197483389,487.318045883317041,466.609117087815491,475.145803350325082,483.864921311957801,476.732270245505390,471.004532743476091,481.544308140205374,480.391896430601207,400.846768003036345,393.831366610619568,408.258892605559652,466.017573504565519,471.970979932906573,446.825088406067152
60,Bristol_Bay_2061205,477.024446843761439,482.575913453548935,382.737897558247710,463.024696196735704,473.571177746486683,487.111546616974124,461.642739092965883,477.415923715950100,480.771385660270425,429.062439332241183,475.112197661979678,485.512591213241251,482.841561535595815,388.104946265919580,394.689943413447679,408.644411034482061,468.905478133189376,471.893077578327336,443.136367688386372
61,Bristol_Bay_2061325,469.178089368191820,484.091834507010617,385.658642588826865,469.927847430927898,471.687277451707246,488.434379574967807,464.942361907950215,478.432033034238486,480.853205171738466,462.017996304088342,474.689584168146496,485.194723975680176,482.883426945637723,397.345747798836840,399.593339775389722,407.784844750018578,467.573597818878795,473.507674093871969,450.996491069741069
62,Bristol_Bay_2063167,482.815155928285606,478.506978690638618,410.528009061640432,473.981025237563415,479.248881523518321,494.852157998401481,467.403535378899790,484.820139830487165,479.253371052968191,479.048688461476218,480.384466875355315,492.819205767314600,484.139121846699140,426.615257481152014,433.262179369144633,451.671122717152400,474.868780305441078,483.343601332462299,453.898882360490859
63,Bristol_Bay_2063257,530.224998929352637,520.450213517037128,515.004976965860124,514.479943775884863,510.202951887882477,530.049278691748668,524.803835078777183,541.865250255421074,515.581522769965204,532.825145454652557,512.478617586473547,528.441044757861164,523.875886340407646,506.538084342292052,511.715098140370287,523.872102378059139,512.502530277351070,520.541005671348216,506.056858852390747
64,Bristol_Bay_2064245,494.766316574602058,492.100574368070625,442.117358764972209,483.424036770117652,479.286209335763715,495.389228150966687,483.182967197985249,496.187534859775838,484.526670546394428,496.220256567937440,482.898151703137046,504.520863059252861,492.026503879543100,456.884457518658735,453.707422120374019,454.327358995994246,477.232955151763747,481.772017350956901,465.889445422934955
65,Bristol_Bay_2064385,457.497483071021861,480.142827048659797,385.722709255700295,466.477427743420890,469.717198440460265,484.925111146136260,456.344337004106364,470.294107429812470,481.012531122883786,459.939791161768881,473.575242264785288,482.380939120049732,482.595984129297506,399.452118009412573,405.156272253398299,407.489026917045578,468.542554039575350,472.650546943741574,441.733465603042475
66,Bristol_Bay_2065025,501.452659093964883,492.862139415457989,447.358450095138949,480.534709488940848,475.336233638925762,501.019710161640091,474.939504248502715,497.346091602759032,484.555274942823928,492.644590342897118,487.983801684024456,502.124353018736372,492.546561854276092,441.822403071967472,467.178433181493119,457.602221837819968,475.872983138608618,484.125159045916632,475.411116877122879
67,Bristol_Bay_2065485,506.248878727813803,499.045564713380486,450.665108569686709,488.047861970600252,484.462989347635073,507.406635646178586,486.242140227576783,500.917091793834231,494.407632412078385,500.387043714783090,490.190552181509247,502.947602216892676,499.591820935132489,441.425474799673793,468.764250858459263,456.470714562678893,479.058465054371140,486.969621255167283,478.596274853599994
68,Bristol_Bay_2065885,500.902284715684630,496.408359723710817,439.966606957361364,483.365093078217171,479.783318268522351,504.061357563487832,480.756776563137578,496.593991844063169,493.018157243117457,496.394390873754162,487.678526603384512,501.739225004010507,495.229561541371027,434.492515430390142,461.207094638182866,447.954887630033568,478.107525840188202,482.852958391941286,473.880138095075495
69,Bristol_Bay_2066555,493.645609518403774,488.319055219618519,420.857211564413660,480.257951824798113,475.122295995885906,492.148242541209356,469.022079982506000,490.252869946895771,479.729456666869339,486.780804928019734,478.606455653951571,494.457833266824252,482.107812931644503,436.636051981340984,432.508330711501969,446.763120609756982,473.538791284261208,475.488918283254634,457.172510474537546
70,Bristol_Bay_2066734,534.807447539303212,524.264472634156618,508.048332534051724,523.362283847862159,517.202684461858439,521.268510992073061,515.782619322271671,537.231828778075737,516.500489750426709,523.361043270238838,519.620979463814365,530.695338205529765,520.934090147410870,498.095707786566607,503.302823147326592,505.716018819748456,507.843322452049847,520.465109217114673,513.590329789975840
71,Bristol_Bay_2066827,514.362557210555678,495.208932123620684,470.075257548560103,492.435329031423748,486.454969029493384,504.920121941360208,489.315687416099820,508.933115003312594,485.701567124345274,505.821737583490460,489.018135946827101,510.313266378793628,499.434696683002812,470.898440961940992,480.034724176412965,486.980078598799651,483.529778597183338,496.570826257818851,484.008484142778627
72,Bristol_Bay_2067075,495.924055808825699,495.283626969498357,445.788537552147261,483.568893008993086,480.513138776276378,498.197769661557345,483.735905070904266,497.215356225319965,488.950984205676320,496.436369640730277,485.634801684422200,503.373695701639122,493.845917707755518,463.207830477650589,454.804833447896840,453.860750460977215,480.006437904921370,482.924770803297349,467.685575857701963
73,Bristol_Bay_2067097,532.691459257594147,521.870616935316548,517.968113583555009,518.620968463098848,514.492899766134201,533.425281955600212,522.789532516774329,543.852572195938137,516.997250544516646,532.668529950724064,522.540502935131144,532.972024214603152,523.980280917347500,514.420097549585535,517.915655830014543,526.292400953662991,514.614620009795544,527.410784413293072,514.635597870158676
74,Bristol_Bay_2067114,476.946269737484670,486.269551049967674,416.510053822126849,471.164179104477967,456.976320425387655,490.726371761754081,439.548618241163240,489.508371466308688,484.295081435692452,477.802716811618780,477.613461476111581,482.897002473746738,477.907259787052794,406.602544014275225,425.719684524518982,428.060217558119916,469.367014493065199,473.252836547059019,449.591632712614569
75,Bristol_Bay_2067195,467.485976029009180,488.929136935924646,418.049562454869658,461.837577060932801,457.994787096771859,489.317671259060603,470.040504183941152,481.771873314941843,484.677701158610660,481.446530311808544,477.872784281054464,486.877100885289224,475.861691777907936,430.340951971325865,424.738641453666503,417.013124014334437,466.733078084030922,469.715870967742148,450.074678136201157
76,Bristol_Bay_2067465,475.641194407315595,482.490331843342460,382.852459570514441,473.114259401149297,468.156177813685076,487.995562595021454,460.305002760314323,482.537647921010660,482.281198522107957,478.728238130314992,474.080910522453792,495.374549227962916,478.896321957608393,396.627430954264128,397.389285115874202,412.790390135267103,467.722400264410396,468.318179932834028,448.128399216002265
