cat_ID_con,region,wtd_AreaSqKm,str_ord,str_slope,str_slope_dg,HUC12
Cook_Inlet_75004300002547,Cook_Inlet,29.01444994,3,0.15241455,8.666016741,1.90203E+11
Cook_Inlet_75004300006726,Cook_Inlet,38.56274982,3,0.02126765,1.218362914,1.90203E+11
Cook_Inlet_75004300003713,Cook_Inlet,154.59215,5,0.00750379,0.429927428,1.90203E+11
Cook_Inlet_75004300002688,Cook_Inlet,2179.449301,5,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004300000754,Cook_Inlet,57.73177484,4,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004300003311,Cook_Inlet,54.63169991,4,0.00699668,0.400873693,1.90203E+11
Cook_Inlet_75004300002834,Cook_Inlet,1815.177025,5,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004300001258,Cook_Inlet,573.236125,5,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004300007331,Cook_Inlet,69.53402483,3,0.01278971,0.732756452,1.90203E+11
Cook_Inlet_75004300001638,Cook_Inlet,7.152399971,2,0.00055753,0.031944113,1.90203E+11
Cook_Inlet_75004300002755,Cook_Inlet,97.89967487,4,0.01250382,0.716378781,1.90203E+11
Cook_Inlet_75004300005625,Cook_Inlet,36.94955006,4,0.0338078,1.936306768,1.90203E+11
Cook_Inlet_75004300006594,Cook_Inlet,253.7831751,4,0.00500549,0.286791056,1.90203E+11
Cook_Inlet_75004300006376,Cook_Inlet,41.63009988,4,0.01043677,0.597961162,1.90203E+11
Cook_Inlet_75004300004090,Cook_Inlet,194.8903004,4,0.01776765,1.017904252,1.90203E+11
Cook_Inlet_75004300002183,Cook_Inlet,36.74644987,3,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004300006207,Cook_Inlet,13.69642503,2,0.04852964,2.778363789,1.90203E+11
Cook_Inlet_75004300002023,Cook_Inlet,373.0636002,4,0.00280549,0.160742315,1.90203E+11
Cook_Inlet_75004300004018,Cook_Inlet,39.14994994,3,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004300000582,Cook_Inlet,136.6200254,3,0.00585019,0.335187372,1.90203E+11
Cook_Inlet_75004300005478,Cook_Inlet,143.2409749,4,0.00169159,0.096920875,1.90203E+11
Cook_Inlet_75004300008120,Cook_Inlet,50.32047527,3,0.0297228,1.702489761,1.90203E+11
Cook_Inlet_75004300000022,Cook_Inlet,164.2809001,3,0.00918752,0.52639131,1.90203E+11
Cook_Inlet_75004300002181,Cook_Inlet,24.84207512,5,0.20740053,11.71705691,1.90203E+11
Cook_Inlet_75004300002027,Cook_Inlet,54.17362508,3,0.00174814,0.100160942,1.90203E+11
Cook_Inlet_75004300006012,Cook_Inlet,143.7210501,3,0.00621363,0.356010193,1.90203E+11
Cook_Inlet_75004300002197,Cook_Inlet,584.6291247,6,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004300005952,Cook_Inlet,92.03877516,4,0.00390454,0.223712526,1.90203E+11
Cook_Inlet_75004300001228,Cook_Inlet,97.52492511,4,0.00171255,0.098121791,1.90203E+11
Cook_Inlet_75004300006149,Cook_Inlet,593.6394497,4,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004300004452,Cook_Inlet,161.045675,5,0.00698696,0.400316806,1.90203E+11
Cook_Inlet_75004300007473,Cook_Inlet,14.9799999,3,0.00220884,0.126557004,1.90203E+11
Cook_Inlet_75004300004989,Cook_Inlet,829.2516003,4,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004300004326,Cook_Inlet,53.59414986,4,0.01757982,1.007145746,1.90203E+11
Cook_Inlet_75004300005307,Cook_Inlet,10.80037492,2,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004300005646,Cook_Inlet,20.69527507,1,0.0139488,0.799155542,1.90203E+11
Cook_Inlet_75004300003251,Cook_Inlet,65.06372517,4,0.00297363,0.170375947,1.90203E+11
Cook_Inlet_75004300006013,Cook_Inlet,44.80867511,3,0.00024197,0.013863859,1.90203E+11
Cook_Inlet_75004400008879,Cook_Inlet,23.32322503,3,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004400008242,Cook_Inlet,112.7827753,3,0.03737349,2.140347084,1.90203E+11
Cook_Inlet_75004400007224,Cook_Inlet,322.3271001,4,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004400011230,Cook_Inlet,88.33480002,4,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004400002953,Cook_Inlet,89.88210011,3,0.00140875,0.080715376,1.90203E+11
Cook_Inlet_75004400001616,Cook_Inlet,534.2142,5,0.00159083,0.091147768,1.90203E+11
Cook_Inlet_75004400000862,Cook_Inlet,28.92319991,3,0.08188771,4.681375018,1.90203E+11
Cook_Inlet_75004400007512,Cook_Inlet,667.3267998,5,0.0043349,0.248369919,1.90203E+11
Cook_Inlet_75004400010175,Cook_Inlet,427.5364493,5,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004400006033,Cook_Inlet,90.74697455,3,0.00337742,0.193511176,1.90203E+11
Cook_Inlet_75004400006433,Cook_Inlet,154.0626249,4,0.00173223,0.099249369,1.90203E+11
Cook_Inlet_75004400009198,Cook_Inlet,51.80612489,3,0.01399877,0.802018053,1.90203E+11
Cook_Inlet_75004400010610,Cook_Inlet,161.7188749,3,0.00032702,0.018736865,1.90203E+11
Cook_Inlet_75004400007465,Cook_Inlet,98.03487491,3,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004400001569,Cook_Inlet,4569.379576,6,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004400010402,Cook_Inlet,47.33312508,2,0.00042156,0.024153607,1.90203E+11
Cook_Inlet_75004400004652,Cook_Inlet,168.0101247,4,0.00093022,0.053297665,1.90203E+11
Cook_Inlet_75004400004450,Cook_Inlet,72.00252496,3,0.0009261,0.053061606,1.90203E+11
Cook_Inlet_75004400006170,Cook_Inlet,29.36567484,2,0.01544571,0.884903629,1.90203E+11
Cook_Inlet_75004400008856,Cook_Inlet,87.72507306,4,0.01666718,0.954870658,1.90203E+11
Cook_Inlet_75004400004455,Cook_Inlet,175.5785496,4,0.00759472,0.435137037,1.90203E+11
Cook_Inlet_75004400011676,Cook_Inlet,141.2415999,5,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004400010754,Cook_Inlet,163.9089498,4,0.00518777,0.29723466,1.90203E+11
Cook_Inlet_75004400002950,Cook_Inlet,141.6312001,4,0.05478862,3.136021304,1.90203E+11
Cook_Inlet_75004400001134,Cook_Inlet,46.56142514,3,0.04648489,2.661472102,1.90203E+11
Cook_Inlet_75004400010270,Cook_Inlet,97.90834993,3,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004400004680,Cook_Inlet,146.0668497,4,0.00442793,0.253700043,1.90203E+11
Cook_Inlet_75004400007830,Cook_Inlet,41.04264997,3,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004400001464,Cook_Inlet,74.91282493,4,0.00764295,0.437900252,1.90203E+11
Cook_Inlet_75004400002279,Cook_Inlet,683.8621747,6,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004400003189,Cook_Inlet,107.5968497,2,0.00683637,0.391689046,1.90203E+11
Cook_Inlet_75004400011320,Cook_Inlet,139.17215,5,0.05637679,3.226736464,1.90203E+11
Cook_Inlet_75004400005660,Cook_Inlet,55.98184979,4,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004400008899,Cook_Inlet,5463.28335,4,0.00908434,0.520480024,1.90203E+11
Cook_Inlet_75004400001136,Cook_Inlet,153.0795256,4,0.00868847,0.497800135,1.90203E+11
Cook_Inlet_75004400000334,Cook_Inlet,2242.642626,6,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004400010328,Cook_Inlet,1686.191326,6,0.00031774,0.01820516,1.90203E+11
Cook_Inlet_75004400000370,Cook_Inlet,485.6058502,4,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004400003230,Cook_Inlet,158.7773501,1,0.00838125,0.480199008,1.90203E+11
Cook_Inlet_75004400004743,Cook_Inlet,84.43432516,4,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004400005985,Cook_Inlet,5030.6591,6,0.00129079,0.073956778,1.90203E+11
Cook_Inlet_75004400005909,Cook_Inlet,3828.425651,6,0.00123166,0.070568884,1.90203E+11
Cook_Inlet_75004400009562,Cook_Inlet,45.75492509,5,0.03740691,2.142259236,1.90203E+11
Cook_Inlet_75004400010320,Cook_Inlet,66.41712499,3,0.00346937,0.198779461,1.90203E+11
Cook_Inlet_75004400004457,Cook_Inlet,102.6318749,4,0.01520117,0.870895808,1.90203E+11
Cook_Inlet_75004400010352,Cook_Inlet,53.55604991,4,0.04199282,2.404598599,1.90203E+11
Cook_Inlet_75004400010337,Cook_Inlet,34.4718002,2,0.00056338,0.032279293,1.90203E+11
Cook_Inlet_75004400006692,Cook_Inlet,70.47922499,4,0.02822208,1.616576971,1.90203E+11
Cook_Inlet_75004400005312,Cook_Inlet,369.9331503,5,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004400005924,Cook_Inlet,772.0778486,5,0.0006972,0.039946611,1.90203E+11
Cook_Inlet_75004400011086,Cook_Inlet,47.5036754,4,0.04758004,2.724081074,1.90203E+11
Cook_Inlet_75004400003768,Cook_Inlet,248.6309498,5,0.01813656,1.039034428,1.90203E+11
Cook_Inlet_75004400011755,Cook_Inlet,105.5903,4,0.00103206,0.059132661,1.90203E+11
Cook_Inlet_75004400008216,Cook_Inlet,552.0697001,5,0.00870175,0.498560966,1.90203E+11
Cook_Inlet_75004400001652,Cook_Inlet,3168.258926,6,0.00269813,0.154591086,1.90203E+11
Cook_Inlet_75004400010699,Cook_Inlet,45.74432516,3,0.00170846,0.097887452,1.90203E+11
Cook_Inlet_75004400010221,Cook_Inlet,198.2449253,4,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004400003876,Cook_Inlet,274.213025,4,1.00E-05,0.000572958,1.90203E+11
Cook_Inlet_75004400009792,Cook_Inlet,242.4154,4,0.01107449,0.634495599,1.90203E+11
Cook_Inlet_75004400001670,Cook_Inlet,33.13237529,3,0.01542988,0.883996853,1.90203E+11
Cook_Inlet_75004400003165,Cook_Inlet,449.1399248,2,0.00124699,0.071447227,1.90203E+11
Cook_Inlet_75004400000627,Cook_Inlet,410.589225,5,0.00770806,0.44163056,1.90203E+11
Cook_Inlet_75004400009412,Cook_Inlet,285.8635505,5,0.0035812,0.205186768,1.90203E+11
Cook_Inlet_75004400005344,Cook_Inlet,45.00724982,4,0.00932916,0.534505988,1.90203E+11
Cook_Inlet_75004400008192,Cook_Inlet,319.8226499,5,0.03037336,1.739730478,1.90203E+11
Cook_Inlet_75004400002258,Cook_Inlet,196.1154751,5,0.00934258,0.535274831,1.90203E+11
