OID_,cat_ID_con,cat_ID,cat_ID_txt,NHDPlusID,region,AwcHuc12_wtd_elev_MIN,AwcHuc12_wtd_elev_MAX,AwcHuc12_wtd_elev_MEAN,AwcHuc12_wtd_elev_STD
95,Cook_Inlet_75004300005307,75004300005307.000000000000000,75004300005307,75004300005307.000000000000000,Cook_Inlet,0,733,270.801051871328070,157.054255471925700
96,Cook_Inlet_75004300005646,75004300005646.000000000000000,75004300005646,75004300005646.000000000000000,Cook_Inlet,4,1312,533.915842828014434,280.513985539808800
97,Cook_Inlet_75004300003251,75004300003251.000000000000000,75004300003251,75004300003251.000000000000000,Cook_Inlet,0,919,279.348573659187707,195.294528119610959
98,Cook_Inlet_75004300006013,75004300006013.000000000000000,75004300006013,75004300006013.000000000000000,Cook_Inlet,32,403,149.948572882423122,99.477785568110235
99,Cook_Inlet_75004400008879,75004400008879.000000000000000,75004400008879,75004400008879.000000000000000,Cook_Inlet,5,44,30.502552890489206,4.360771972510236
100,Cook_Inlet_75004400008242,75004400008242.000000000000000,75004400008242,75004400008242.000000000000000,Cook_Inlet,141,1824,846.275176622043659,395.394872105303591
101,Cook_Inlet_75004400007224,75004400007224.000000000000000,75004400007224,75004400007224.000000000000000,Cook_Inlet,0,1980,648.556341615668316,424.333607579868840
102,Cook_Inlet_75004400011230,75004400011230.000000000000000,75004400011230,75004400011230.000000000000000,Cook_Inlet,144,1889,766.299370022589756,408.845807313456930
103,Cook_Inlet_75004400002953,75004400002953.000000000000000,75004400002953,75004400002953.000000000000000,Cook_Inlet,38,128,74.466812335413991,14.210078563877383
104,Cook_Inlet_75004400001616,75004400001616.000000000000000,75004400001616,75004400001616.000000000000000,Cook_Inlet,51,1807,714.132514428109062,444.678932594728622
105,Cook_Inlet_75004400000862,75004400000862.000000000000000,75004400000862,75004400000862.000000000000000,Cook_Inlet,140,1824,1068.176208849343766,325.056303660743481
106,Cook_Inlet_75004400007512,75004400007512.000000000000000,75004400007512,75004400007512.000000000000000,Cook_Inlet,36,990,110.562636271519011,80.998707008134602
107,Cook_Inlet_75004400010175,75004400010175.000000000000000,75004400010175,75004400010175.000000000000000,Cook_Inlet,1,2000,654.471395468340233,455.836262333703075
108,Cook_Inlet_75004400006033,75004400006033.000000000000000,75004400006033,75004400006033.000000000000000,Cook_Inlet,84,1536,501.706260040945381,287.128249032429153
109,Cook_Inlet_75004400006433,75004400006433.000000000000000,75004400006433,75004400006433.000000000000000,Cook_Inlet,366,1483,897.268555245937137,206.327672580532351
110,Cook_Inlet_75004400009198,75004400009198.000000000000000,75004400009198,75004400009198.000000000000000,Cook_Inlet,206,1324,638.395029128016063,245.022369439395561
111,Cook_Inlet_75004400010610,75004400010610.000000000000000,75004400010610,75004400010610.000000000000000,Cook_Inlet,65,1193,433.155585703351335,273.655928966522310
112,Cook_Inlet_75004400007465,75004400007465.000000000000000,75004400007465,75004400007465.000000000000000,Cook_Inlet,5,105,36.342087492629922,13.263189694828327
113,Cook_Inlet_75004400001569,75004400001569.000000000000000,75004400001569,75004400001569.000000000000000,Cook_Inlet,26,1979,585.798207022695010,450.575960248532510
114,Cook_Inlet_75004400010402,75004400010402.000000000000000,75004400010402,75004400010402.000000000000000,Cook_Inlet,23,71,36.383843590951784,6.576538879672559
115,Cook_Inlet_75004400004652,75004400004652.000000000000000,75004400004652,75004400004652.000000000000000,Cook_Inlet,59,838,137.022493397687299,117.612578900143745
116,Cook_Inlet_75004400004450,75004400004450.000000000000000,75004400004450,75004400004450.000000000000000,Cook_Inlet,62,219,88.775706918559166,25.310101725777169
117,Cook_Inlet_75004400006170,75004400006170.000000000000000,75004400006170,75004400006170.000000000000000,Cook_Inlet,3,101,56.002029744612713,12.487838302906356
118,Cook_Inlet_75004400008856,75004400008856.000000000000000,75004400008856,75004400008856.000000000000000,Cook_Inlet,126,1888,796.991225860287273,401.416094094847892
119,Cook_Inlet_75004400004455,75004400004455.000000000000000,75004400004455,75004400004455.000000000000000,Cook_Inlet,63,1364,642.649434069506242,298.500431424908754
120,Cook_Inlet_75004400011676,75004400011676.000000000000000,75004400011676,75004400011676.000000000000000,Cook_Inlet,6,1823,580.002456765881448,386.648810312421972
121,Cook_Inlet_75004400010754,75004400010754.000000000000000,75004400010754,75004400010754.000000000000000,Cook_Inlet,98,1614,586.458071789776909,345.847386707082194
122,Cook_Inlet_75004400002950,75004400002950.000000000000000,75004400002950,75004400002950.000000000000000,Cook_Inlet,125,1478,777.376844328996981,266.456958048474462
123,Cook_Inlet_75004400001134,75004400001134.000000000000000,75004400001134,75004400001134.000000000000000,Cook_Inlet,14,1360,580.513284352356663,294.749674770985507
124,Cook_Inlet_75004400010270,75004400010270.000000000000000,75004400010270,75004400010270.000000000000000,Cook_Inlet,19,2000,853.151780945035853,419.265734833175770
125,Cook_Inlet_75004400004680,75004400004680.000000000000000,75004400004680,75004400004680.000000000000000,Cook_Inlet,210,1807,1040.596925579396157,327.265465567747356
126,Cook_Inlet_75004400007830,75004400007830.000000000000000,75004400007830,75004400007830.000000000000000,Cook_Inlet,0,1259,525.128746957479507,299.388263581478157
127,Cook_Inlet_75004400001464,75004400001464.000000000000000,75004400001464,75004400001464.000000000000000,Cook_Inlet,179,1477,675.175928459782767,299.002782353604573
128,Cook_Inlet_75004400002279,75004400002279.000000000000000,75004400002279,75004400002279.000000000000000,Cook_Inlet,0,1678,760.660068238621648,335.998032740485087
129,Cook_Inlet_75004400003189,75004400003189.000000000000000,75004400003189,75004400003189.000000000000000,Cook_Inlet,45,138,79.809338944518302,13.480986279800019
130,Cook_Inlet_75004400011320,75004400011320.000000000000000,75004400011320,75004400011320.000000000000000,Cook_Inlet,189,1678,792.573804297447168,325.564863586209924
131,Cook_Inlet_75004400005660,75004400005660.000000000000000,75004400005660,75004400005660.000000000000000,Cook_Inlet,4,1403,486.408573204670006,277.895215773125415
132,Cook_Inlet_75004400008899,75004400008899.000000000000000,75004400008899,75004400008899.000000000000000,Cook_Inlet,3,1979,515.765004029435090,448.069836009064886
133,Cook_Inlet_75004400001136,75004400001136.000000000000000,75004400001136,75004400001136.000000000000000,Cook_Inlet,4,1962,736.313270201616206,440.878159099695779
134,Cook_Inlet_75004400000334,75004400000334.000000000000000,75004400000334,75004400000334.000000000000000,Cook_Inlet,57,1979,714.807271967129168,393.643021895895913
135,Cook_Inlet_75004400010328,75004400010328.000000000000000,75004400010328,75004400010328.000000000000000,Cook_Inlet,125,1979,743.051047625593924,407.060616587813115
136,Cook_Inlet_75004400000370,75004400000370.000000000000000,75004400000370,75004400000370.000000000000000,Cook_Inlet,54,1791,985.016817221618794,365.636098599180627
137,Cook_Inlet_75004400003230,75004400003230.000000000000000,75004400003230,75004400003230.000000000000000,Cook_Inlet,206,1807,1004.041908960645856,259.464374844430495
138,Cook_Inlet_75004400004743,75004400004743.000000000000000,75004400004743,75004400004743.000000000000000,Cook_Inlet,0,116,52.923886357741900,24.407372529204189
139,Cook_Inlet_75004400005985,75004400005985.000000000000000,75004400005985,75004400005985.000000000000000,Cook_Inlet,18,1979,555.469607581444393,445.053777680790063
140,Cook_Inlet_75004400005909,75004400005909.000000000000000,75004400005909,75004400005909.000000000000000,Cook_Inlet,36,1979,678.270330630923581,434.066269635332787
141,Cook_Inlet_75004400009562,75004400009562.000000000000000,75004400009562,75004400009562.000000000000000,Cook_Inlet,126,1615,815.423485778972918,262.331595700585865
142,Cook_Inlet_75004400010320,75004400010320.000000000000000,75004400010320,75004400010320.000000000000000,Cook_Inlet,10,137,67.739686903420903,20.676219438223814
143,Cook_Inlet_75004400004457,75004400004457.000000000000000,75004400004457,75004400004457.000000000000000,Cook_Inlet,27,1337,578.142740356837407,310.632094540656510
144,Cook_Inlet_75004400010352,75004400010352.000000000000000,75004400010352,75004400010352.000000000000000,Cook_Inlet,123,1459,788.169169556056090,271.353253120974784
145,Cook_Inlet_75004400010337,75004400010337.000000000000000,75004400010337,75004400010337.000000000000000,Cook_Inlet,53,125,72.220765017811132,13.246204773994981
146,Cook_Inlet_75004400006692,75004400006692.000000000000000,75004400006692,75004400006692.000000000000000,Cook_Inlet,9,1650,737.919981327995515,329.167403387850641
147,Cook_Inlet_75004400005312,75004400005312.000000000000000,75004400005312,75004400005312.000000000000000,Cook_Inlet,126,1889,770.102834572140978,395.137440347774543
148,Cook_Inlet_75004400005924,75004400005924.000000000000000,75004400005924,75004400005924.000000000000000,Cook_Inlet,0,1364,385.220047863269087,325.358510484949534
149,Cook_Inlet_75004400011086,75004400011086.000000000000000,75004400011086,75004400011086.000000000000000,Cook_Inlet,3,1564,683.389902153958928,337.619544006736191
150,Cook_Inlet_75004400003768,75004400003768.000000000000000,75004400003768,75004400003768.000000000000000,Cook_Inlet,108,1641,869.437038580271860,308.766442119988653
151,Cook_Inlet_75004400011755,75004400011755.000000000000000,75004400011755,75004400011755.000000000000000,Cook_Inlet,22,1823,627.811855111149612,378.905114437129157
152,Cook_Inlet_75004400008216,75004400008216.000000000000000,75004400008216,75004400008216.000000000000000,Cook_Inlet,126,1979,813.233106411168023,418.147322500290727
153,Cook_Inlet_75004400001652,75004400001652.000000000000000,75004400001652,75004400001652.000000000000000,Cook_Inlet,54,1979,695.741447212304593,424.126273691583549
154,Cook_Inlet_75004400010699,75004400010699.000000000000000,75004400010699,75004400010699.000000000000000,Cook_Inlet,409,1193,682.598073227841496,187.123136307820232
155,Cook_Inlet_75004400010221,75004400010221.000000000000000,75004400010221,75004400010221.000000000000000,Cook_Inlet,5,2000,779.195715259242093,461.380853000808543
156,Cook_Inlet_75004400003876,75004400003876.000000000000000,75004400003876,75004400003876.000000000000000,Cook_Inlet,140,1979,884.414360911455447,402.493078247578467
157,Cook_Inlet_75004400009792,75004400009792.000000000000000,75004400009792,75004400009792.000000000000000,Cook_Inlet,147,1867,823.167581133569229,360.895509995858106
158,Cook_Inlet_75004400001670,75004400001670.000000000000000,75004400001670,75004400001670.000000000000000,Cook_Inlet,58,1428,490.006124081312464,274.928740405956091
159,Cook_Inlet_75004400003165,75004400003165.000000000000000,75004400003165,75004400003165.000000000000000,Cook_Inlet,135,1807,822.629312506029464,400.373587583181006
160,Cook_Inlet_75004400000627,75004400000627.000000000000000,75004400000627,75004400000627.000000000000000,Cook_Inlet,2,1530,791.782289080183887,283.327610890968913
161,Cook_Inlet_75004400009412,75004400009412.000000000000000,75004400009412,75004400009412.000000000000000,Cook_Inlet,130,1614,766.151231957216737,370.398931497051478
162,Cook_Inlet_75004400005344,75004400005344.000000000000000,75004400005344,75004400005344.000000000000000,Cook_Inlet,141,1653,809.379048617859212,373.365127701402287
163,Cook_Inlet_75004400008192,75004400008192.000000000000000,75004400008192,75004400008192.000000000000000,Cook_Inlet,108,1678,729.998908454303773,325.386930572817676
164,Cook_Inlet_75004400002258,75004400002258.000000000000000,75004400002258,75004400002258.000000000000000,Cook_Inlet,1,1800,791.232471634197850,331.947924311801103
165,Cook_Inlet_75004400010422,75004400010422.000000000000000,75004400010422,75004400010422.000000000000000,Cook_Inlet,2,160,64.323617901331232,20.314293463329065
166,Cook_Inlet_75004400001443,75004400001443.000000000000000,75004400001443,75004400001443.000000000000000,Cook_Inlet,2,99,53.526175568463238,9.120969858606072
167,Cook_Inlet_75004400001656,75004400001656.000000000000000,75004400001656,75004400001656.000000000000000,Cook_Inlet,1,62,42.362369233636521,6.240347293168038
168,Cook_Inlet_75004400002041,75004400002041.000000000000000,75004400002041,75004400002041.000000000000000,Cook_Inlet,146,1614,815.701652761693595,340.020757293340239
169,Cook_Inlet_75004400011322,75004400011322.000000000000000,75004400011322,75004400011322.000000000000000,Cook_Inlet,191,1677,718.363442506323395,312.370576895567012
170,Cook_Inlet_75004400007550,75004400007550.000000000000000,75004400007550,75004400007550.000000000000000,Cook_Inlet,52,990,134.038202831398735,108.815990744323145
171,Cook_Inlet_75004400004850,75004400004850.000000000000000,75004400004850,75004400004850.000000000000000,Cook_Inlet,0,1420,622.164406163755075,344.345995564738416
172,Cook_Inlet_75004400008859,75004400008859.000000000000000,75004400008859,75004400008859.000000000000000,Cook_Inlet,38,138,69.252722794116664,16.177194286297667
173,Cook_Inlet_75004400009331,75004400009331.000000000000000,75004400009331,75004400009331.000000000000000,Cook_Inlet,125,1597,744.315974708820477,315.133868656158711
174,Cook_Inlet_75004400000153,75004400000153.000000000000000,75004400000153,75004400000153.000000000000000,Cook_Inlet,30,138,69.652977744589833,16.657313265635224
175,Cook_Inlet_75004400010386,75004400010386.000000000000000,75004400010386,75004400010386.000000000000000,Cook_Inlet,1,1979,515.097713405691820,448.148725607180893
176,Cook_Inlet_75004400009308,75004400009308.000000000000000,75004400009308,75004400009308.000000000000000,Cook_Inlet,200,1614,578.040249642758567,329.861646870850052
