OID_,cat_ID_txt,wtd_slope_ZONE_CODE,wtd_slope_COUNT,wtd_slope_AREA,wtd_slope_MIN,wtd_slope_MAX,wtd_slope_RANGE,wtd_slope_MEAN,wtd_slope_STD,wtd_slope_SUM,wtd_slope_MEDIAN,wtd_slope_PCT90,region,cat_ID_con
1,75004300006312,1,1543049.000000000000000,154304900.000000000000000,0.000001540751327,41.294097900390625,41.294096359639298,5.308684695731839,4.221141782000642,8191560.611064317636192,4.098387241363525,10.901780319213868,Cook_Inlet,Cook_Inlet_75004300006312
2,75004300001906,2,918706.000000000000000,91870600.000000000000000,0.000000113978849,52.673950195312500,52.673950081333651,8.463878605876376,10.171055939217929,7775816.058490261435509,4.103574275970459,26.696660995483398,Cook_Inlet,Cook_Inlet_75004300001906
3,75004300000100,3,289619.000000000000000,28961900.000000000000000,0.000000893614924,40.575580596923828,40.575579703308904,3.959569587823011,3.634757839664418,1146766.584455712698400,3.367434501647949,8.499006271362305,Cook_Inlet,Cook_Inlet_75004300000100
4,75004300004983,4,152611.000000000000000,15261100.000000000000000,0.000002701526910,66.254516601562500,66.254513900035590,21.013940631511655,12.173788279159716,3206958.493715625256300,19.210357666015625,38.542091369628906,Cook_Inlet,Cook_Inlet_75004300004983
5,75004300004332,5,3301259.000000000000000,330125900.000000000000000,0.000000075795811,43.233734130859375,43.233734055063564,4.650245149323061,4.299807996564796,15351663.651409097015858,3.434842824935913,9.963982391357430,Cook_Inlet,Cook_Inlet_75004300004332
6,75004300006239,6,560344.000000000000000,56034400.000000000000000,0.000000017309279,68.805892944335938,68.805892927026662,21.729548244988298,13.056074456403444,12176021.981789723038673,22.142017364501953,38.558573150634764,Cook_Inlet,Cook_Inlet_75004300006239
7,75004300004304,7,3217937.000000000000000,321793700.000000000000000,0.000002088194378,49.303035736083984,49.303033647889606,7.443640450037274,5.146273348786823,23953166.018871597945690,6.221990108489990,14.237193107604980,Cook_Inlet,Cook_Inlet_75004300004304
8,75004300002332,8,3107277.000000000000000,310727700.000000000000000,0.000002752054797,49.303035736083984,49.303032984029187,7.444761132089573,5.121913551090790,23132935.036235891282558,6.223151206970215,14.201765060424805,Cook_Inlet,Cook_Inlet_75004300002332
9,75004300005437,9,93489.000000000000000,9348900.000000000000000,0.000005178108040,41.628833770751953,41.628828592643913,7.151095515562970,5.520877205860145,668548.768654466490261,5.999905109405518,14.105839347839355,Cook_Inlet,Cook_Inlet_75004300005437
10,75004300003464,10,390603.000000000000000,39060300.000000000000000,0.000006181584467,36.959674835205078,36.959668653620611,7.234424315912800,4.787015575688487,2825787.841068487148732,6.181837558746338,13.702220344543456,Cook_Inlet,Cook_Inlet_75004300003464
11,75004300005171,11,80496.000000000000000,8049600.000000000000000,0.000001597148184,24.183225631713867,24.183224034565683,3.921062533994072,3.223966291271502,315629.849736386793666,3.367457628250122,8.366010189056396,Cook_Inlet,Cook_Inlet_75004300005171
12,75004300004701,12,1546624.000000000000000,154662400.000000000000000,0.000000091907054,46.156402587890625,46.156402495983571,5.814374501991386,6.443149591186816,8992651.149767925962806,3.435289382934570,14.844110870361327,Cook_Inlet,Cook_Inlet_75004300004701
13,75004300005303,13,962391.000000000000000,96239100.000000000000000,0.000001799078063,37.885135650634766,37.885133851556702,4.963662056758843,3.955916439336650,4776983.690466200001538,3.815363645553589,10.236034393310547,Cook_Inlet,Cook_Inlet_75004300005303
14,75004300006440,14,35525.000000000000000,3552500.000000000000000,0.000006646005659,37.645717620849609,37.645710974843951,5.331437902491049,4.902324035000460,189399.331485994509421,4.043326854705811,11.051992607116699,Cook_Inlet,Cook_Inlet_75004300006440
15,75004300004254,15,3472709.000000000000000,347270900.000000000000000,0.000001146189788,49.303035736083984,49.303034589894196,7.306688648247841,5.125223107856667,25374003.428968112915754,6.185420989990234,14.085904312133790,Cook_Inlet,Cook_Inlet_75004300004254
16,75004300001207,16,149355.000000000000000,14935500.000000000000000,0.000001412740858,38.300556182861328,38.300554770120470,4.288070903070881,3.777735675251893,640444.829728151555173,3.368290662765503,8.717239189147950,Cook_Inlet,Cook_Inlet_75004300001207
17,75004300005245,17,1770612.000000000000000,177061200.000000000000000,0.000000418041083,41.294097900390625,41.294097482349542,4.998289318859267,4.134081300985965,8850031.047444043681026,3.630254507064819,10.486810493469239,Cook_Inlet,Cook_Inlet_75004300005245
18,75004300000311,18,518111.000000000000000,51811100.000000000000000,0.000004621778771,43.873336791992188,43.873332170213416,7.823194609421909,5.807955266913437,4053283.182282194960862,6.363477706909180,15.668673515319824,Cook_Inlet,Cook_Inlet_75004300000311
19,75004300008012,19,594140.000000000000000,59414000.000000000000000,0.000000012705095,72.113456726074219,72.113456713369118,19.463249679794007,12.588478394315914,11563895.164752811193466,17.098765373229980,37.916836547851560,Cook_Inlet,Cook_Inlet_75004300008012
20,75004300004192,20,5817770.000000000000000,581777000.000000000000000,0.000000130093895,49.303035736083984,49.303035605990090,6.271053263219555,4.886172015048932,36483545.543160825967789,5.279500961303711,12.699164390563965,Cook_Inlet,Cook_Inlet_75004300004192
21,75004300007324,21,890415.000000000000000,89041500.000000000000000,0.000001932460691,37.885135650634766,37.885133718174075,5.053146982608239,4.001925061334517,4499397.870519115589559,4.043479442596436,10.471559524536133,Cook_Inlet,Cook_Inlet_75004300007324
22,75004300001162,22,1830453.000000000000000,183045300.000000000000000,0.000000233822874,41.294097900390625,41.294097666567751,4.953287749293895,4.120250443984466,9066760.420558257028461,3.435997247695923,10.399977493286132,Cook_Inlet,Cook_Inlet_75004300001162
23,75004300004217,23,1319525.000000000000000,131952500.000000000000000,0.000000128614161,37.087203979492188,37.087203850878026,4.632974999842166,4.270073520989217,6113326.336666734889150,3.384423732757568,10.124051094055176,Cook_Inlet,Cook_Inlet_75004300004217
24,75004300002207,24,3982948.000000000000000,398294800.000000000000000,0.000000228407359,49.303035736083984,49.303035507676626,6.877107088118720,5.087481630123141,27391159.922408279031515,5.731741905212402,13.642958641052246,Cook_Inlet,Cook_Inlet_75004300002207
25,75004300003409,25,59851.000000000000000,5985100.000000000000000,0.000006896369996,32.154712677001953,32.154705780631957,7.928986083787464,4.264436342602090,474557.746100763499271,7.380203247070312,13.643665313720703,Cook_Inlet,Cook_Inlet_75004300003409
26,75004300002142,26,553443.000000000000000,55344300.000000000000000,0.000001802114298,41.294097900390625,41.294096098276327,6.003255844847777,4.598285181662918,3322459.924540088046342,5.101303577423096,11.973081016540528,Cook_Inlet,Cook_Inlet_75004300002142
27,75004300002314,27,10614.000000000000000,1061400.000000000000000,0.000002773369260,22.047925949096680,22.047923175727419,4.401677550972616,3.590462670007224,46719.405526023350831,3.368282318115234,9.522346591949496,Cook_Inlet,Cook_Inlet_75004300002314
28,75004300003171,28,89147.000000000000000,8914700.000000000000000,0.000002724154456,27.287010192871094,27.287007468716638,4.565169666063395,3.671713399750060,406971.180220553418621,3.435428619384766,9.603608512878418,Cook_Inlet,Cook_Inlet_75004300003171
