OBJECTID,SiteID,cat_ID_con,area_diff,lat,lon,site_max_acc,site_acc_sqKm,Area_km2,str_slope,str_slope_dg,str_ord,dist_coast_km,ds_dist_outlet
,STAR-69-L,Cook_Inlet_75004300005171,0.024400022899595,59.869574419999999,-151.729424690000002,320969,8.024224999999999,8.048625022899595,0.010881860000000,0.623460043047817,2,3.920968723387185,18.657596909999999
,STAR-69-M,Cook_Inlet_75004300005171,0.024400022899595,59.878967709999998,-151.693425710000014,320969,8.024224999999999,8.048625022899595,0.010881860000000,0.623460043047817,2,5.056349894441861,18.657596909999999
,STAR-69-U,Cook_Inlet_75004300002314,0.025799953381246,59.886134650000002,-151.675843850000007,41445,1.036125000000000,1.061924953381246,0.023021410000000,1.318796683398147,1,5.537064066371024,22.943630710000001
,STAR-A,Cook_Inlet_75004300003464,0.074925024920020,59.911249730000002,-151.498592470000006,1559389,38.984724999999997,39.059650024920018,0.009867510000000,0.565348328880607,4,14.020484556887785,49.479297490000000
,STAR-W,Cook_Inlet_75004300002352,0.000175021105535,59.928345239999999,-151.627295299999986,22881,0.572025000000000,0.572200021105535,0.013190370000000,0.755708705706014,1,6.574988512365811,34.946649739999998
,STAR 171 Lower,Cook_Inlet_75004300000101,0.159350004099622,59.844924429999999,-151.785017860000011,403619,10.090475000000000,10.249825004099621,0.011031630000000,0.632040201879154,2,1.578398140790446,7.120930490000000
,STAR 171 Upper,Cook_Inlet_75004300000101,0.159350004099622,59.839389560000001,-151.781458759999992,403619,10.090475000000000,10.249825004099621,0.011031630000000,0.632040201879154,2,1.937795999280697,7.120930490000000
,CIK_0,Cook_Inlet_75000400014405,0.102749969749958,61.510579329999999,-149.031495559999996,641124,16.028099999999998,16.130849969749956,0.002998030000000,0.171773951209553,1,12.724009535266351,13.773458919999999
,CIK_1,Cook_Inlet_75000100002463,21.086400007999828,61.227172560000000,-149.833281540000002,11936120,298.403000000000020,319.489400007999848,0.006206610000000,0.355607991885998,5,3.001489115097450,0.000000000000000
,CIK_10,Cook_Inlet_75004400008917,0.002825055719313,60.561289530000003,-151.124819669999994,5062401,126.560024999999996,126.562850055719309,0.001813920000000,0.103929846387479,3,3.644741686247184,6.283577750000000
,CIK_11,Cook_Inlet_75004400007385,1.051149857850817,60.489013360000001,-151.043982709999995,4717698,117.942449999999994,118.993599857850811,0.002638040000000,0.151148207561034,3,6.971070974306151,21.972253250000001
,CIK_12,Cook_Inlet_75004400010320,0.012599987531203,60.481912029999997,-151.130181870000001,2656181,66.404525000000007,66.417124987531210,0.003469370000000,0.198779461033666,3,4.323034588947769,16.840762309999999
,CIK_13,Cook_Inlet_75004400007387,2.149324949538070,60.768112610000003,-151.103261070000002,3755321,93.883025000000004,96.032349949538073,0.001100720000000,0.063066584955482,3,1.753899300703234,0.462378920000000
,CIK_14,Cook_Inlet_75004300004192,0.368274740425818,59.772402169999999,-151.835948059999993,23256415,581.410375000000045,581.778649740425863,0.002231180000000,0.127836985203113,6,1.440483901687030,1.750129690000000
,CIK_15,Cook_Inlet_75004300004324,0.043124990866545,60.031380130000002,-151.671163119999989,22834984,570.874599999999987,570.917724990866532,0.003821220000000,0.218938712967701,5,1.280104839271714,1.850286840000000
,CIK_16,Cook_Inlet_75004400000627,0.339099966523634,60.917830240000001,-149.646885379999986,16410005,410.250125000000025,410.589224966523659,0.007708060000000,0.441630559998333,5,0.513690928767314,0.000000000000000
,CIK_17,Cook_Inlet_75004400009144,0.010249945820746,60.439097920000002,-150.208232379999998,2667250,66.681250000000006,66.691499945820752,0.000010000000000,0.000572957795112,2,52.831848722842921,90.276620829999999
,CIK_18,Cook_Inlet_75004300006239,0.427850102573842,59.343016280000001,-151.915375649999987,2224120,55.603000000000002,56.030850102573844,0.005543970000000,0.317642828459154,3,1.077835167939555,0.806166150000000
,CIK_19,Cook_Inlet_75004300007331,0.510999832735564,59.387609349999998,-151.679630860000003,2760921,69.023025000000004,69.534024832735568,0.012789710000000,0.732756451982576,3,0.704297952816150,0.000000000000000
,CIK_2,Cook_Inlet_75000100000059,0.668050120749911,61.085104119999997,-149.823867460000002,1410351,35.258775000000000,35.926825120749911,0.028355640000000,1.624223275939218,4,0.863388972436347,0.971173530000000
,CIK_20,Cook_Inlet_75004300000856,4.548871275364348,60.194293909999999,-151.011323129999994,6094809,152.370225000000005,156.919096275364353,0.007299310000000,0.418212229024225,3,22.146704265856279,51.198190459999999
,CIK_21,Cook_Inlet_75004300006013,0.188900109817979,60.290598780000003,-150.984902779999999,1784791,44.619774999999997,44.808675109817976,0.000241970000000,0.013863859498207,3,20.216904681066925,43.026291639999997
,CIK_22,Cook_Inlet_75004400000576,1.192825423806369,60.492659279999998,-149.700299989999991,11083004,277.075100000000020,278.267925423806389,0.003912630000000,0.224176041854996,5,43.438200516030335,126.131516340000005
,CIK_23,Cook_Inlet_75004400001568,-0.112375680207890,60.489760510000004,-150.860036180000009,14102351,352.558775000000026,352.446399319792135,0.006257250000000,0.358509337480503,4,16.545014408511818,35.787800310000002
,CIK_24,Cook_Inlet_75004300001906,0.041500120765036,59.798488059999997,-151.057681639999998,3673147,91.828675000000004,91.870175120765040,0.012869690000000,0.737338214262013,4,0.634339185309268,0.640966620000000
,CIK_25,Cook_Inlet_75000200002930,1.362850073749939,62.228540219999999,-150.443058220000012,9336685,233.417124999999999,234.779975073749938,0.000951770000000,0.054532387600823,5,92.683675590824507,165.698405489999999
,CIK_26,Cook_Inlet_75000200010144,0.468625026749756,62.079621969999998,-150.583264380000003,1961213,49.030324999999998,49.498950026749753,0.003058710000000,0.175250627224658,2,82.484480894273617,140.230148820000011
,CIK_27,Cook_Inlet_75000100002523,-0.079574849500403,61.562713119999998,-149.824454010000011,7292993,182.324825000000004,182.245250150499601,0.000234760000000,0.013450756951391,4,12.449535859677972,33.587651160000000
,CIK_28,Cook_Inlet_75000200015900,84.302675217749766,61.740037930000000,-150.320009309999989,67571800,1689.295000000000073,1773.597675217749838,0.000356500000000,0.020425944531087,6,44.275464505087683,69.832695709999996
,CIK_29,Cook_Inlet_75000200018577,19.545299933000337,62.265334260000003,-150.184914939999999,2654191,66.354775000000004,85.900074933000340,0.001319370000000,0.075594288752932,3,90.981053221542908,145.512278850000001
,CIK_3,Cook_Inlet_75000100004336,0.405725000999993,61.204610610000003,-149.896569349999993,3218594,80.464849999999998,80.870575000999992,0.005054910000000,0.289622542012440,4,1.445835911960857,1.363301820000000
,CIK_30,Cook_Inlet_75000200008551,0.000374937999993,61.809677860000001,-150.098747250000002,15987086,399.677149999999983,399.677524937999976,0.002051940000000,0.117567336810157,5,43.255093337697232,91.885390880000003
,CIK_31,Cook_Inlet_75000100003947,-0.020700077499356,61.525452000000001,-149.529175379999998,3163035,79.075874999999996,79.055174922500640,0.018845130000000,1.079618620611375,3,2.864401767222166,9.982308560000000
