OID_,cat_ID_txt,cat_elev_ZONE_CODE,cat_elev_COUNT,cat_elev_AREA,cat_elev_MIN,cat_elev_MAX,cat_elev_RANGE,cat_elev_MEAN,cat_elev_STD,cat_elev_SUM,cat_elev_VARIETY,cat_elev_MAJORITY,cat_elev_MINORITY,cat_elev_MEDIAN,cat_elev_PCT90,region,cat_ID_con
136,75000200007853,136,32971.000000000000000,3297100.000000000000000,238,329,91,282.952109429498762,20.454920939172652,9329214.000000000000000,92,298,238,288,306,Cook_Inlet,Cook_Inlet_75000200007853
137,75000200018577,137,8730.000000000000000,873000.000000000000000,91,115,24,97.855097365406522,5.204893483094534,854275.000000000000000,25,96,115,96,110,Cook_Inlet,Cook_Inlet_75000200018577
138,75000200015695,138,12375.000000000000000,1237500.000000000000000,143,204,61,162.870626262626814,10.923661178706944,2015524.000000000000000,62,169,191,165,178,Cook_Inlet,Cook_Inlet_75000200015695
139,75000200013033,139,19060.000000000000000,1906000.000000000000000,258,305,47,286.475708289612498,8.631568481212749,5460227.000000000000000,48,281,305,287,297,Cook_Inlet,Cook_Inlet_75000200013033
140,75000200005075,140,24657.000000000000000,2465700.000000000000000,258,307,49,290.721458409377476,8.232342530162128,7168319.000000000000000,50,297,307,292,300,Cook_Inlet,Cook_Inlet_75000200005075
141,75000200007839,141,12428.000000000000000,1242800.000000000000000,188,284,96,221.537093659478927,23.649564285146951,2753263.000000000000000,97,192,188,218,255,Cook_Inlet,Cook_Inlet_75000200007839
142,75000200007958,142,2134.000000000000000,213400.000000000000000,221,241,20,229.080599812558404,3.177514194102064,488858.000000000000000,21,228,241,228,233,Cook_Inlet,Cook_Inlet_75000200007958
143,75000200013189,143,7789.000000000000000,778900.000000000000000,143,178,35,151.124406213891064,6.129936919528878,1177108.000000000000000,36,148,161,149,156,Cook_Inlet,Cook_Inlet_75000200013189
144,75000200002934,144,96.000000000000000,9600.000000000000000,109,111,2,109.885416666666657,0.453454142909970,10549.000000000000000,3,110,111,110,110,Cook_Inlet,Cook_Inlet_75000200002934
145,75000200018235,145,21279.000000000000000,2127900.000000000000000,130,209,79,168.104187226842782,21.477107154415702,3577089.000000000000000,80,165,147,166,200,Cook_Inlet,Cook_Inlet_75000200018235
146,75000200013258,146,18276.000000000000000,1827600.000000000000000,138,163,25,153.397898883782261,5.077137953031237,2803500.000000000000000,26,158,138,154,159,Cook_Inlet,Cook_Inlet_75000200013258
147,75000200018069,147,11338.000000000000000,1133800.000000000000000,229,287,58,274.689275004410945,8.240017805901841,3114427.000000000000000,59,279,229,277,282,Cook_Inlet,Cook_Inlet_75000200018069
148,75000200013187,148,497.000000000000000,49700.000000000000000,133,138,5,135.804828973843172,0.914964359744823,67495.000000000000000,6,136,138,136,137,Cook_Inlet,Cook_Inlet_75000200013187
149,75000200007646,149,33002.000000000000000,3300200.000000000000000,132,161,29,145.655687534089225,5.380291426088732,4806929.000000000000000,30,146,161,146,153,Cook_Inlet,Cook_Inlet_75000200007646
150,75000200000010,150,68107.000000000000000,6810700.000000000000000,278,383,105,341.471390605956799,17.581714899050606,23256592.000000000000000,106,345,278,344,362,Cook_Inlet,Cook_Inlet_75000200000010
151,75000200013185,151,10965.000000000000000,1096500.000000000000000,137,181,44,151.100136798906021,8.655129557155492,1656813.000000000000000,45,152,181,152,157,Cook_Inlet,Cook_Inlet_75000200013185
152,75000200010344,152,7252.000000000000000,725200.000000000000000,217,270,53,245.674020959735316,14.767192181080489,1781628.000000000000000,54,264,217,243,265,Cook_Inlet,Cook_Inlet_75000200010344
153,75000200010538,153,85.000000000000000,8500.000000000000000,109,111,2,110.023529411764684,0.735270587858810,9352.000000000000000,3,110,109,110,111,Cook_Inlet,Cook_Inlet_75000200010538
154,75000200010547,154,656.000000000000000,65600.000000000000000,131,137,6,133.469512195121752,1.269596538984885,87556.000000000000000,7,134,137,133,135,Cook_Inlet,Cook_Inlet_75000200010547
155,75000200005606,155,7151.000000000000000,715100.000000000000000,141,161,20,151.687875821563239,5.232977127807279,1084720.000000000000000,21,157,161,152,158,Cook_Inlet,Cook_Inlet_75000200005606
156,75000200002554,156,15721.000000000000000,1572100.000000000000000,141,167,26,155.438903377648245,5.229772715637511,2443655.000000000000000,27,155,141,156,162,Cook_Inlet,Cook_Inlet_75000200002554
157,75000200017518,157,1188.000000000000000,118800.000000000000000,557,638,81,589.462121212121474,21.730467359494941,700281.000000000000000,81,573,635,585,626,Cook_Inlet,Cook_Inlet_75000200017518
158,75000200018332,158,1915.000000000000000,191500.000000000000000,31,51,20,36.562924281984344,6.602917609094572,70018.000000000000000,21,33,42,34,49,Cook_Inlet,Cook_Inlet_75000200018332
159,75000200015469,159,4815.000000000000000,481500.000000000000000,190,284,94,223.045067497404290,23.965652214254991,1073962.000000000000000,95,202,190,219,259,Cook_Inlet,Cook_Inlet_75000200015469
160,75000200010540,160,55.000000000000000,5500.000000000000000,115,116,1,115.727272727272734,0.445361771415123,6365.000000000000000,2,116,115,116,116,Cook_Inlet,Cook_Inlet_75000200010540
161,75000200018806,161,446.000000000000000,44600.000000000000000,51,58,7,53.213004484304932,1.590868402327011,23733.000000000000000,8,52,58,53,55,Cook_Inlet,Cook_Inlet_75000200018806
162,75000200003094,162,518.000000000000000,51800.000000000000000,38,43,5,39.389961389961442,0.903903802100295,20404.000000000000000,6,39,43,39,40,Cook_Inlet,Cook_Inlet_75000200003094
163,75000200014914,163,53.000000000000000,5300.000000000000000,526,533,7,528.339622641509322,1.970953185992467,28002.000000000000000,8,526,533,528,531,Cook_Inlet,Cook_Inlet_75000200014914
164,75000200007639,164,150558.000000000000000,15055800.000000000000000,191,315,124,238.214216448146374,25.131566700242274,35865056.000000000000000,125,218,191,233,274,Cook_Inlet,Cook_Inlet_75000200007639
165,75000200013266,165,26332.000000000000000,2633200.000000000000000,36,57,21,45.783343460428291,5.910784686098224,1205567.000000000000000,22,39,36,48,53,Cook_Inlet,Cook_Inlet_75000200013266
166,75000200010391,166,19284.000000000000000,1928400.000000000000000,246,280,34,259.765453225472754,7.247978728670467,5009317.000000000000000,35,255,280,259,269,Cook_Inlet,Cook_Inlet_75000200010391
167,75000200015860,167,184.000000000000000,18400.000000000000000,38,40,2,39.157608695652151,0.573079722743736,7205.000000000000000,3,39,38,39,40,Cook_Inlet,Cook_Inlet_75000200015860
168,75000200005503,168,44502.000000000000000,4450200.000000000000000,31,73,42,54.944721585546873,7.038237364775548,2445150.000000000000000,43,58,31,56,63,Cook_Inlet,Cook_Inlet_75000200005503
169,75000200000213,169,2614.000000000000000,261400.000000000000000,236,296,60,263.568477429227357,18.642913967955604,688968.000000000000000,61,242,236,263,290,Cook_Inlet,Cook_Inlet_75000200000213
170,75000200015782,170,36.000000000000000,3600.000000000000000,37,55,18,41.083333333333321,5.903741751352833,1479.000000000000000,13,37,43,38,51,Cook_Inlet,Cook_Inlet_75000200015782
171,75000200011141,171,2569.000000000000000,256900.000000000000000,51,67,16,58.309848189957272,4.694453998291615,149798.000000000000000,17,55,67,56,65,Cook_Inlet,Cook_Inlet_75000200011141
172,75000200008051,172,2664.000000000000000,266400.000000000000000,111,126,15,116.057432432432307,4.252547939549549,309177.000000000000000,16,111,126,116,122,Cook_Inlet,Cook_Inlet_75000200008051
173,75000200013319,173,19946.000000000000000,1994600.000000000000000,31,64,33,41.679885691366671,5.852446630443261,831347.000000000000000,34,46,61,44,48,Cook_Inlet,Cook_Inlet_75000200013319
174,75000200007852,174,26431.000000000000000,2643100.000000000000000,228,304,76,269.950626158678915,19.509063411313523,7135065.000000000000000,77,277,228,275,294,Cook_Inlet,Cook_Inlet_75000200007852
175,75000200000465,175,51.000000000000000,5100.000000000000000,32,37,5,34.294117647058812,1.562980030068983,1749.000000000000000,6,33,32,34,37,Cook_Inlet,Cook_Inlet_75000200000465
176,75000200013237,176,2943.000000000000000,294300.000000000000000,31,39,8,34.879374787631725,1.411589577066932,102650.000000000000000,9,35,39,35,37,Cook_Inlet,Cook_Inlet_75000200013237
177,75000200007870,177,28051.000000000000000,2805100.000000000000000,277,314,37,290.546611529001609,6.649379345087209,8150123.000000000000000,38,293,314,291,298,Cook_Inlet,Cook_Inlet_75000200007870
178,75000200000011,178,62934.000000000000000,6293400.000000000000000,239,350,111,301.566259891313564,23.634795115616516,18978771.000000000000000,112,327,350,307,327,Cook_Inlet,Cook_Inlet_75000200000011
179,75000200013953,179,2367.000000000000000,236700.000000000000000,75,81,6,77.828052386987565,1.531118878352321,184219.000000000000000,7,77,81,78,80,Cook_Inlet,Cook_Inlet_75000200013953
180,75000200004615,180,646.000000000000000,64600.000000000000000,281,348,67,305.040247678019000,21.036270960269782,197056.000000000000000,68,290,305,293,343,Cook_Inlet,Cook_Inlet_75000200004615
181,75000200010148,181,31910.000000000000000,3191000.000000000000000,65,84,19,73.906330303980425,3.848180518422947,2358351.000000000000000,20,70,65,74,79,Cook_Inlet,Cook_Inlet_75000200010148
182,75000200013892,182,672.000000000000000,67200.000000000000000,62,84,22,67.577380952380935,5.028190794351310,45412.000000000000000,22,63,81,65,75,Cook_Inlet,Cook_Inlet_75000200013892
183,75000200013179,183,5080.000000000000000,508000.000000000000000,115,131,16,120.001968503936638,1.312566482377594,609610.000000000000000,12,120,124,120,121,Cook_Inlet,Cook_Inlet_75000200013179
184,75000200002984,184,9092.000000000000000,909200.000000000000000,33,60,27,49.599098108226933,8.228036480009946,450955.000000000000000,28,56,60,54,57,Cook_Inlet,Cook_Inlet_75000200002984
185,75000200007660,185,159672.000000000000000,15967200.000000000000000,62,134,72,74.535510296107205,11.983427694506377,11901234.000000000000000,73,71,134,71,91,Cook_Inlet,Cook_Inlet_75000200007660
186,75000200005448,186,3836.000000000000000,383600.000000000000000,104,119,15,107.729144942648645,3.755967847601093,413249.000000000000000,16,106,108,106,114,Cook_Inlet,Cook_Inlet_75000200005448
187,75000200018581,187,25617.000000000000000,2561700.000000000000000,9,45,36,26.630401686380200,7.513921558187834,682191.000000000000000,37,30,45,30,31,Cook_Inlet,Cook_Inlet_75000200018581
188,75000200011336,188,14140.000000000000000,1414000.000000000000000,110,228,118,151.391584158415640,20.068318249145879,2140677.000000000000000,119,171,199,153,176,Cook_Inlet,Cook_Inlet_75000200011336
189,75000200012999,189,48346.000000000000000,4834600.000000000000000,7,147,140,14.691742853596987,16.367315906614316,710287.000000000000000,141,12,57,12,17,Cook_Inlet,Cook_Inlet_75000200012999
190,75000200003732,190,16316.000000000000000,1631600.000000000000000,73,107,34,83.191284628585393,7.458136824666899,1357349.000000000000000,35,79,107,80,95,Cook_Inlet,Cook_Inlet_75000200003732
191,75000200008734,191,19404.000000000000000,1940400.000000000000000,67,141,74,103.808493094207776,11.465386141884057,2014300.000000000000000,75,106,138,105,118,Cook_Inlet,Cook_Inlet_75000200008734
192,75000200000021,192,48247.000000000000000,4824700.000000000000000,11,45,34,26.853130764607062,6.982244750651147,1295583.000000000000000,35,31,45,30,33,Cook_Inlet,Cook_Inlet_75000200000021
193,75000200005532,193,7503.000000000000000,750300.000000000000000,31,58,27,36.933626549380293,6.479845479940204,277113.000000000000000,28,33,58,34,49,Cook_Inlet,Cook_Inlet_75000200005532
194,75000200018882,194,16110.000000000000000,1611000.000000000000000,55,69,14,61.204283054003696,2.123889485547735,986001.000000000000000,15,63,68,61,63,Cook_Inlet,Cook_Inlet_75000200018882
195,75000200005404,195,44904.000000000000000,4490400.000000000000000,70,87,17,75.886134865490533,2.899655058086855,3407591.000000000000000,18,73,87,76,80,Cook_Inlet,Cook_Inlet_75000200005404
196,75000200015587,196,9313.000000000000000,931300.000000000000000,221,262,41,242.676903253516741,7.872090310136386,2260050.000000000000000,42,248,221,245,250,Cook_Inlet,Cook_Inlet_75000200015587
197,75000200015319,197,62999.000000000000000,6299900.000000000000000,67,136,69,87.062445435641749,18.985717604828483,5484847.000000000000000,70,68,136,80,115,Cook_Inlet,Cook_Inlet_75000200015319
198,75000200015900,198,11846.000000000000000,1184600.000000000000000,21,43,22,28.156086442681012,6.135109959601437,333537.000000000000000,23,24,27,25,39,Cook_Inlet,Cook_Inlet_75000200015900
199,75000200005077,199,30463.000000000000000,3046300.000000000000000,109,183,74,152.309818468306105,16.015326766528492,4639814.000000000000000,75,164,109,154,171,Cook_Inlet,Cook_Inlet_75000200005077
200,75000200008950,200,4325.000000000000000,432500.000000000000000,98,137,39,113.108901734103952,11.327634706432260,489196.000000000000000,40,101,109,115,131,Cook_Inlet,Cook_Inlet_75000200008950
201,75000200015320,201,69939.000000000000000,6993900.000000000000000,58,87,29,64.924505640629306,4.126652352383401,4540755.000000000000000,29,64,87,64,70,Cook_Inlet,Cook_Inlet_75000200015320
202,75000200012046,202,7945.000000000000000,794500.000000000000000,172,252,80,203.100692259282482,16.975988840987768,1613635.000000000000000,81,191,252,202,228,Cook_Inlet,Cook_Inlet_75000200012046
203,75000200002162,203,4929.000000000000000,492900.000000000000000,536,963,427,612.301683911543023,74.148699927633857,3018035.000000000000000,358,556,670,586,727,Cook_Inlet,Cook_Inlet_75000200002162
204,75000200011392,204,38080.000000000000000,3808000.000000000000000,75,140,65,105.921874999999716,12.582733119035472,4033505.000000000000000,66,111,75,109,121,Cook_Inlet,Cook_Inlet_75000200011392
205,75000200000278,205,9886.000000000000000,988600.000000000000000,100,135,35,113.278069997976772,6.446347027859734,1119867.000000000000000,36,112,135,113,122,Cook_Inlet,Cook_Inlet_75000200000278
206,75000200018259,206,133.000000000000000,13300.000000000000000,104,118,14,107.796992481203020,4.641686559078001,14337.000000000000000,14,105,108,105,116,Cook_Inlet,Cook_Inlet_75000200018259
207,75000200005444,207,9809.000000000000000,980900.000000000000000,75,87,12,78.113569171169658,1.591965629827754,766216.000000000000000,13,78,87,78,79,Cook_Inlet,Cook_Inlet_75000200005444
208,75000200018203,208,1875.000000000000000,187500.000000000000000,107,133,26,119.314133333333359,8.984667694590764,223714.000000000000000,27,109,133,118,130,Cook_Inlet,Cook_Inlet_75000200018203
209,75000200008110,209,6981.000000000000000,698100.000000000000000,98,112,14,103.685002148689392,2.777689567977451,723825.000000000000000,15,106,110,104,107,Cook_Inlet,Cook_Inlet_75000200008110
210,75000200018317,210,203.000000000000000,20300.000000000000000,98,100,2,98.985221674876826,0.210039464091897,20094.000000000000000,3,99,100,99,99,Cook_Inlet,Cook_Inlet_75000200018317
211,75000200000949,211,3627.000000000000000,362700.000000000000000,74,105,31,82.220843672456382,8.021581453507995,298215.000000000000000,32,77,105,80,98,Cook_Inlet,Cook_Inlet_75000200000949
212,75000200013249,212,131.000000000000000,13100.000000000000000,98,103,5,98.671755725190835,0.859990662931767,12926.000000000000000,5,99,103,99,99,Cook_Inlet,Cook_Inlet_75000200013249
213,75000200013010,213,3096.000000000000000,309600.000000000000000,113,141,28,127.206718346253268,9.391115782430619,393832.000000000000000,29,135,113,130,138,Cook_Inlet,Cook_Inlet_75000200013010
214,75000200000418,214,2532.000000000000000,253200.000000000000000,103,120,17,111.041469194312995,4.478606586516772,281157.000000000000000,18,115,120,113,115,Cook_Inlet,Cook_Inlet_75000200000418
215,75000200002552,215,34235.000000000000000,3423500.000000000000000,106,172,66,145.686461223894611,15.159214876451903,4987576.000000000000000,67,162,172,146,164,Cook_Inlet,Cook_Inlet_75000200002552
216,75000200008508,216,28151.000000000000000,2815100.000000000000000,35,78,43,49.157898476075452,9.914065671442801,1383844.000000000000000,44,38,76,49,66,Cook_Inlet,Cook_Inlet_75000200008508
217,75000200007670,217,16670.000000000000000,1667000.000000000000000,163,374,211,245.112177564485449,47.537521711624073,4086020.000000000000000,211,203,371,243,312,Cook_Inlet,Cook_Inlet_75000200007670
218,75000200008676,218,16583.000000000000000,1658300.000000000000000,67,118,51,85.939636977627416,6.999860340155413,1425137.000000000000000,52,80,67,84,95,Cook_Inlet,Cook_Inlet_75000200008676
219,75000200018667,219,20653.000000000000000,2065300.000000000000000,34,59,25,44.947174744589148,6.277432384741696,928294.000000000000000,26,50,59,48,51,Cook_Inlet,Cook_Inlet_75000200018667
220,75000200011572,220,1555.000000000000000,155500.000000000000000,119,163,44,137.671382636655920,10.763134547653179,214079.000000000000000,45,132,119,136,154,Cook_Inlet,Cook_Inlet_75000200011572
221,75000200011623,221,8898.000000000000000,889800.000000000000000,118,199,81,150.714430209035783,18.095173600032766,1341057.000000000000000,82,137,118,154,174,Cook_Inlet,Cook_Inlet_75000200011623
222,75000200019765,222,3616.000000000000000,361600.000000000000000,200,221,21,210.822732300884837,3.994304968395458,762335.000000000000000,22,210,221,211,216,Cook_Inlet,Cook_Inlet_75000200019765
223,75000200016095,223,7938.000000000000000,793800.000000000000000,18,46,28,27.149659863945629,4.561610434464096,215514.000000000000000,29,27,18,27,34,Cook_Inlet,Cook_Inlet_75000200016095
224,75000200014508,224,2004.000000000000000,200400.000000000000000,165,187,22,171.577844311377390,5.621585514454138,343842.000000000000000,23,171,178,170,184,Cook_Inlet,Cook_Inlet_75000200014508
225,75000200015883,225,2695.000000000000000,269500.000000000000000,23,44,21,31.173654916512067,8.442597387593850,84013.000000000000000,22,24,35,26,44,Cook_Inlet,Cook_Inlet_75000200015883
226,75000200014057,226,8181.000000000000000,818100.000000000000000,103,205,102,145.570590392372651,22.253120664288918,1190913.000000000000000,103,121,103,145,173,Cook_Inlet,Cook_Inlet_75000200014057
227,75000200019263,227,19562.000000000000000,1956200.000000000000000,131,298,167,227.433340149268759,29.954275872749246,4449051.000000000000000,168,211,298,232,262,Cook_Inlet,Cook_Inlet_75000200019263
228,75000200003896,228,8722.000000000000000,872200.000000000000000,105,179,74,141.981082320569271,21.084579454662851,1238359.000000000000000,75,107,179,146,167,Cook_Inlet,Cook_Inlet_75000200003896
229,75000200005619,229,927.000000000000000,92700.000000000000000,24,42,18,27.203883495145629,3.448568957214253,25218.000000000000000,19,26,32,26,28,Cook_Inlet,Cook_Inlet_75000200005619
230,75000200003312,230,528.000000000000000,52800.000000000000000,32,34,2,33.028409090909115,0.769412733100220,17439.000000000000000,3,33,32,33,34,Cook_Inlet,Cook_Inlet_75000200003312
231,75000200014207,231,1243.000000000000000,124300.000000000000000,124,145,21,127.398230088495595,3.468265058359894,158356.000000000000000,21,127,135,127,128,Cook_Inlet,Cook_Inlet_75000200014207
232,75000200007927,232,13716.000000000000000,1371600.000000000000000,11,54,43,27.614246135899617,15.711459337945875,378757.000000000000000,44,11,54,25,50,Cook_Inlet,Cook_Inlet_75000200007927
233,75000200011034,233,13936.000000000000000,1393600.000000000000000,35,64,29,44.102755453501693,6.120189564583967,614616.000000000000000,30,41,35,42,53,Cook_Inlet,Cook_Inlet_75000200011034
234,75000200015882,234,33007.000000000000000,3300700.000000000000000,24,61,37,37.778804496016399,8.721387180226888,1246965.000000000000000,37,44,61,42,49,Cook_Inlet,Cook_Inlet_75000200015882
235,75000200016094,235,79.000000000000000,7900.000000000000000,15,17,2,15.468354430379753,0.652850478897601,1222.000000000000000,3,15,17,15,16,Cook_Inlet,Cook_Inlet_75000200016094
236,75000200008452,236,71490.000000000000000,7149000.000000000000000,15,50,35,30.662288431948600,3.817463295462726,2192047.000000000000000,36,33,48,31,35,Cook_Inlet,Cook_Inlet_75000200008452
237,75005300022831,237,8750.000000000000000,875000.000000000000000,14,46,32,26.503885714285708,7.943539102481515,231909.000000000000000,33,23,46,24,41,Cook_Inlet,Cook_Inlet_75005300022831
238,75005300011378,238,11021.000000000000000,1102100.000000000000000,3,32,29,18.647400417385001,7.258295930525054,205513.000000000000000,30,26,3,18,27,Cook_Inlet,Cook_Inlet_75005300011378
239,75005400001203,239,657.000000000000000,65700.000000000000000,7,32,25,22.767123287671236,8.399587750177270,14958.000000000000000,26,30,24,28,30,Cook_Inlet,Cook_Inlet_75005400001203
240,75005400029139,240,2838.000000000000000,283800.000000000000000,4,17,13,12.879140239605375,2.851352874391465,36551.000000000000000,14,16,4,13,16,Cook_Inlet,Cook_Inlet_75005400029139
241,75005400013272,241,1594.000000000000000,159400.000000000000000,39,221,182,84.766624843161850,36.966304169348781,135118.000000000000000,166,47,123,78,139,Cook_Inlet,Cook_Inlet_75005400013272
242,75019800000406,1,73105.000000000000000,7310500.000000000000000,660,724,64,690.122905410016870,14.776181066565243,50451435.000000000000000,65,700,724,690,710,Copper_River,Copper_River_75019800000406
243,75019800010313,2,2912.000000000000000,291200.000000000000000,724,737,13,730.802541208791922,2.697899391133131,2128097.000000000000000,14,731,737,731,734,Copper_River,Copper_River_75019800010313
244,75019800014348,3,4298.000000000000000,429800.000000000000000,875,922,47,891.613075849232814,9.050110549744799,3832153.000000000000000,48,891,875,891,903,Copper_River,Copper_River_75019800014348
245,75019800001957,4,932.000000000000000,93200.000000000000000,947,981,34,957.039699570815401,8.970596407694588,891961.000000000000000,35,947,962,955,973,Copper_River,Copper_River_75019800001957
246,75019800019692,5,47284.000000000000000,4728400.000000000000000,430,553,123,491.999915404789135,46.588650188228897,23263724.000000000000000,124,549,553,484,548,Copper_River,Copper_River_75019800019692
247,75019600118138,6,13745.000000000000000,1374500.000000000000000,565,637,72,603.001164059658663,27.560202935397147,8288251.000000000000000,73,636,583,610,635,Copper_River,Copper_River_75019600118138
248,75019700004190,7,19340.000000000000000,1934000.000000000000000,410,602,192,462.964736297827983,45.103471727225887,8953738.000000000000000,193,436,410,445,534,Copper_River,Copper_River_75019700004190
249,75019700004084,8,21747.000000000000000,2174700.000000000000000,386,509,123,422.931070952314656,18.253166262377842,9197482.000000000000000,124,417,387,421,443,Copper_River,Copper_River_75019700004084
250,75019700017692,9,7246.000000000000000,724600.000000000000000,398,432,34,414.268699972398679,6.407668617095090,3001791.000000000000000,35,414,432,414,423,Copper_River,Copper_River_75019700017692
251,75019700001794,10,21392.000000000000000,2139200.000000000000000,377,643,266,470.312546746449186,59.767274251465246,10060926.000000000000000,265,432,634,454,569,Copper_River,Copper_River_75019700001794
252,75019700003889,11,14046.000000000000000,1404600.000000000000000,411,467,56,437.578456500071240,10.101503367264771,6146227.000000000000000,57,436,467,436,453,Copper_River,Copper_River_75019700003889
253,75003900062338,12,42437.000000000000000,4243700.000000000000000,129,515,386,304.084737375401005,119.547882816433670,12904444.000000000000000,387,130,515,305,461,Copper_River,Copper_River_75003900062338
254,75003900033524,13,857.000000000000000,85700.000000000000000,16,127,111,53.729288214702429,32.714656788737869,46046.000000000000000,111,20,103,41,105,Copper_River,Copper_River_75003900033524
255,75003900054316,14,2818.000000000000000,281800.000000000000000,18,28,10,24.298438608942554,1.400599730851340,68473.000000000000000,11,25,19,24,26,Copper_River,Copper_River_75003900054316
256,75003900055039,15,2292.000000000000000,229200.000000000000000,1,123,122,27.313263525305395,30.583241746695801,62602.000000000000000,119,1,3,16,75,Copper_River,Copper_River_75003900055039
257,75003900023942,16,1043.000000000000000,104300.000000000000000,1,208,207,23.165867689357615,38.511647388211301,24162.000000000000000,140,1,28,12,75,Copper_River,Copper_River_75003900023942
258,75003900058380,17,3735.000000000000000,373500.000000000000000,62,443,381,124.541365461847249,69.233638857186151,465162.000000000000000,296,65,278,96,242,Copper_River,Copper_River_75003900058380
259,75003900028507,18,586.000000000000000,58600.000000000000000,25,60,35,36.525597269624626,7.585701031424168,21404.000000000000000,36,30,51,35,46,Copper_River,Copper_River_75003900028507
260,75003900027489,19,13795.000000000000000,1379500.000000000000000,6,204,198,53.942007973903628,41.252777301809324,744130.000000000000000,199,19,187,37,109,Copper_River,Copper_River_75003900027489
261,75003900044936,20,603.000000000000000,60300.000000000000000,10,16,6,12.887230514096187,1.125854512366418,7771.000000000000000,7,13,16,13,14,Copper_River,Copper_River_75003900044936
262,75003900023855,21,122.000000000000000,12200.000000000000000,10,14,4,11.680327868852460,1.057885250855418,1425.000000000000000,5,11,14,11,13,Copper_River,Copper_River_75003900023855
263,75003900044738,22,2480.000000000000000,248000.000000000000000,7,31,24,11.351612903225812,4.398377337722948,28152.000000000000000,25,9,7,10,17,Copper_River,Copper_River_75003900044738
264,75003900055694,23,189.000000000000000,18900.000000000000000,10,17,7,13.100529100529101,1.783359215195581,2476.000000000000000,8,13,10,13,16,Copper_River,Copper_River_75003900055694
265,75003900023674,24,41.000000000000000,4100.000000000000000,15,16,1,15.365853658536587,0.481668723369061,630.000000000000000,2,15,16,15,16,Copper_River,Copper_River_75003900023674
266,75003900062264,25,1647.000000000000000,164700.000000000000000,23,33,10,30.904675166970240,1.117839555090761,50900.000000000000000,11,31,24,31,32,Copper_River,Copper_River_75003900062264
267,75003900055316,26,2314.000000000000000,231400.000000000000000,29,68,39,31.878997407087251,5.881210991675249,73768.000000000000000,40,30,61,30,35,Copper_River,Copper_River_75003900055316
268,75003900039073,27,414.000000000000000,41400.000000000000000,5,23,18,10.939613526570042,4.884039454850049,4529.000000000000000,19,6,23,10,18,Copper_River,Copper_River_75003900039073
269,75003900027771,28,1939.000000000000000,193900.000000000000000,5,52,47,32.188241361526643,10.894503061579442,62413.000000000000000,48,32,5,34,45,Copper_River,Copper_River_75003900027771
270,1023044,1,5412.000000000000000,541200.000000000000000,3,28,25,12.713414634146400,7.009608363138066,68805.000000000000000,26,4,28,13,23,Bristol_Bay,Bristol_Bay_1023044
271,2041471,2,2039.000000000000000,203900.000000000000000,94,140,46,98.102010789602645,6.337754476755385,200030.000000000000000,44,96,122,96,105,Bristol_Bay,Bristol_Bay_2041471
272,2065755,3,2731.000000000000000,273100.000000000000000,17,113,96,35.419992676675285,20.435332341538690,96732.000000000000000,97,20,110,28,61,Bristol_Bay,Bristol_Bay_2065755
273,2065914,4,4356.000000000000000,435600.000000000000000,68,101,33,89.310835629017390,6.013550824313368,389038.000000000000000,33,93,71,90,97,Bristol_Bay,Bristol_Bay_2065914
274,2066924,5,6246.000000000000000,624600.000000000000000,135,556,421,214.490714056996893,87.205229172930544,1339709.000000000000000,371,143,390,173,343,Bristol_Bay,Bristol_Bay_2066924
275,2066955,6,5537.000000000000000,553700.000000000000000,16,61,45,30.512913129853693,8.573528258536886,168950.000000000000000,46,30,61,30,43,Bristol_Bay,Bristol_Bay_2066955
276,2067494,7,3253.000000000000000,325300.000000000000000,22,41,19,31.778051029818617,3.787701263540805,103374.000000000000000,20,31,41,32,36,Bristol_Bay,Bristol_Bay_2067494
277,2068072,8,1980.000000000000000,198000.000000000000000,75,99,24,80.057070707070650,6.512945578316452,158513.000000000000000,25,75,99,75,90,Bristol_Bay,Bristol_Bay_2068072
278,2068584,9,4414.000000000000000,441400.000000000000000,92,109,17,95.542591753511573,1.704061936771776,421725.000000000000000,18,96,109,96,96,Bristol_Bay,Bristol_Bay_2068584
279,2070402,10,16575.000000000000000,1657500.000000000000000,217,321,104,275.330135746606629,16.580068532144065,4563597.000000000000000,105,279,321,279,290,Bristol_Bay,Bristol_Bay_2070402
280,2071934,11,1680.000000000000000,168000.000000000000000,64,94,30,75.558333333333437,7.991523907558507,126938.000000000000000,31,69,64,73,90,Bristol_Bay,Bristol_Bay_2071934
281,2072993,12,1383.000000000000000,138300.000000000000000,74,90,16,77.595083152567071,3.786344395266391,107314.000000000000000,17,74,90,77,83,Bristol_Bay,Bristol_Bay_2072993
282,2073464,13,2532.000000000000000,253200.000000000000000,11,56,45,19.514218009478672,9.047148926230193,49410.000000000000000,46,17,56,17,34,Bristol_Bay,Bristol_Bay_2073464
283,2074424,14,14697.000000000000000,1469700.000000000000000,124,271,147,172.117370892019039,40.392748100992620,2529609.000000000000000,148,131,271,161,231,Bristol_Bay,Bristol_Bay_2074424
284,2078232,15,1091.000000000000000,109100.000000000000000,96,414,318,157.363886342804904,82.229801049741184,171684.000000000000000,269,96,115,106,296,Bristol_Bay,Bristol_Bay_2078232
285,2078282,16,3351.000000000000000,335100.000000000000000,96,667,571,242.226201133989946,157.374213117031672,811700.000000000000000,532,96,231,180,495,Bristol_Bay,Bristol_Bay_2078282
