OID_,AwcHuc12_non_wetland_area,AwcHuc12_wetland_area,region,AwcHuc12_wtd_wet_per,cat_ID_txt,cat_ID_con
78,361100700.000000000000000,11966400.000000000000000,Cook_Inlet,3.2075732,75004300002023,Cook_Inlet_75004300002023
79,37397300.000000000000000,1754600.000000000000000,Cook_Inlet,4.4815192,75004300004018,Cook_Inlet_75004300004018
80,107871300.000000000000000,28751100.000000000000000,Cook_Inlet,21.0442066,75004300000582,Cook_Inlet_75004300000582
81,122131900.000000000000000,21113200.000000000000000,Cook_Inlet,14.7392130,75004300005478,Cook_Inlet_75004300005478
82,50161400.000000000000000,159000.000000000000000,Cook_Inlet,0.3159752,75004300008120,Cook_Inlet_75004300008120
83,163897900.000000000000000,385800.000000000000000,Cook_Inlet,0.2348377,75004300000022,Cook_Inlet_75004300000022
84,24826300.000000000000000,15200.000000000000000,Cook_Inlet,0.0611879,75004300002181,Cook_Inlet_75004300002181
85,48941700.000000000000000,5234600.000000000000000,Cook_Inlet,9.6621590,75004300002027,Cook_Inlet_75004300002027
86,139157800.000000000000000,4561000.000000000000000,Cook_Inlet,3.1735585,75004300006012,Cook_Inlet_75004300006012
87,516460600.000000000000000,68167900.000000000000000,Cook_Inlet,11.6600370,75004300002197,Cook_Inlet_75004300002197
88,73764200.000000000000000,18275300.000000000000000,Cook_Inlet,19.8559322,75004300005952,Cook_Inlet_75004300005952
89,79497900.000000000000000,18024200.000000000000000,Cook_Inlet,18.4821701,75004300001228,Cook_Inlet_75004300001228
90,591099600.000000000000000,2531600.000000000000000,Cook_Inlet,0.4264601,75004300006149,Cook_Inlet_75004300006149
91,157417100.000000000000000,3628800.000000000000000,Cook_Inlet,2.2532706,75004300004452,Cook_Inlet_75004300004452
92,12610400.000000000000000,2368900.000000000000000,Cook_Inlet,15.8144903,75004300007473,Cook_Inlet_75004300007473
93,786563200.000000000000000,42696100.000000000000000,Cook_Inlet,5.1487031,75004300004989,Cook_Inlet_75004300004989
94,53551600.000000000000000,42300.000000000000000,Cook_Inlet,0.0789269,75004300004326,Cook_Inlet_75004300004326
95,10772000.000000000000000,27800.000000000000000,Cook_Inlet,0.2574122,75004300005307,Cook_Inlet_75004300005307
96,20689400.000000000000000,6400.000000000000000,Cook_Inlet,0.0309241,75004300005646,Cook_Inlet_75004300005646
97,63208800.000000000000000,1859800.000000000000000,Cook_Inlet,2.8582141,75004300003251,Cook_Inlet_75004300003251
98,41526200.000000000000000,3280900.000000000000000,Cook_Inlet,7.3222771,75004300006013,Cook_Inlet_75004300006013
99,15318800.000000000000000,8007700.000000000000000,Cook_Inlet,34.3287659,75004400008879,Cook_Inlet_75004400008879
100,112621200.000000000000000,162000.000000000000000,Cook_Inlet,0.1436384,75004400008242,Cook_Inlet_75004400008242
101,303605900.000000000000000,18718900.000000000000000,Cook_Inlet,5.8074651,75004400007224,Cook_Inlet_75004400007224
102,88218500.000000000000000,118000.000000000000000,Cook_Inlet,0.1335801,75004400011230,Cook_Inlet_75004400011230
103,81377800.000000000000000,8506500.000000000000000,Cook_Inlet,9.4638329,75004400002953,Cook_Inlet_75004400002953
104,515321300.000000000000000,18896000.000000000000000,Cook_Inlet,3.5371375,75004400001616,Cook_Inlet_75004400001616
105,28841900.000000000000000,82300.000000000000000,Cook_Inlet,0.2845368,75004400000862,Cook_Inlet_75004400000862
106,487936800.000000000000000,179389000.000000000000000,Cook_Inlet,26.8817711,75004400007512,Cook_Inlet_75004400007512
107,398454400.000000000000000,29084500.000000000000000,Cook_Inlet,6.8027730,75004400010175,Cook_Inlet_75004400010175
108,87951300.000000000000000,2802100.000000000000000,Cook_Inlet,3.0875978,75004400006033,Cook_Inlet_75004400006033
109,154062900.000000000000000,0.000000000000000,Cook_Inlet,0.0000000,75004400006433,Cook_Inlet_75004400006433
110,51728400.000000000000000,77400.000000000000000,Cook_Inlet,0.1494041,75004400009198,Cook_Inlet_75004400009198
111,144139900.000000000000000,17581900.000000000000000,Cook_Inlet,10.8716946,75004400010610,Cook_Inlet_75004400010610
112,86432500.000000000000000,11600900.000000000000000,Cook_Inlet,11.8336201,75004400007465,Cook_Inlet_75004400007465
113,4311580800.000000000000000,257802200.000000000000000,Cook_Inlet,5.6419477,75004400001569,Cook_Inlet_75004400001569
114,31480900.000000000000000,15851400.000000000000000,Cook_Inlet,33.4896049,75004400010402,Cook_Inlet_75004400010402
115,115430000.000000000000000,52579300.000000000000000,Cook_Inlet,31.2954693,75004400004652,Cook_Inlet_75004400004652
116,41279600.000000000000000,30719500.000000000000000,Cook_Inlet,42.6665039,75004400004450,Cook_Inlet_75004400004450
117,26997600.000000000000000,2365700.000000000000000,Cook_Inlet,8.0566559,75004400006170,Cook_Inlet_75004400006170
118,87496000.000000000000000,227700.000000000000000,Cook_Inlet,0.2595650,75004400008856,Cook_Inlet_75004400008856
119,169313100.000000000000000,6265000.000000000000000,Cook_Inlet,3.5682127,75004400004455,Cook_Inlet_75004400004455
120,134768300.000000000000000,6474300.000000000000000,Cook_Inlet,4.5838156,75004400011676,Cook_Inlet_75004400011676
121,161467400.000000000000000,2447300.000000000000000,Cook_Inlet,1.4930327,75004400010754,Cook_Inlet_75004400010754
122,140634300.000000000000000,995800.000000000000000,Cook_Inlet,0.7030991,75004400002950,Cook_Inlet_75004400002950
123,46527500.000000000000000,34800.000000000000000,Cook_Inlet,0.0747386,75004400001134,Cook_Inlet_75004400001134
124,97591400.000000000000000,320100.000000000000000,Cook_Inlet,0.3269279,75004400010270,Cook_Inlet_75004400010270
125,145960000.000000000000000,109800.000000000000000,Cook_Inlet,0.0751695,75004400004680,Cook_Inlet_75004400004680
126,39188200.000000000000000,1855100.000000000000000,Cook_Inlet,4.5198607,75004400007830,Cook_Inlet_75004400007830
127,73963400.000000000000000,948300.000000000000000,Cook_Inlet,1.2658904,75004400001464,Cook_Inlet_75004400001464
128,681875900.000000000000000,1989000.000000000000000,Cook_Inlet,0.2908469,75004400002279,Cook_Inlet_75004400002279
129,96698100.000000000000000,10896500.000000000000000,Cook_Inlet,10.1273670,75004400003189,Cook_Inlet_75004400003189
130,138840400.000000000000000,335100.000000000000000,Cook_Inlet,0.2407751,75004400011320,Cook_Inlet_75004400011320
131,55864900.000000000000000,116500.000000000000000,Cook_Inlet,0.2081048,75004400005660,Cook_Inlet_75004400005660
132,5033264800.000000000000000,430027600.000000000000000,Cook_Inlet,7.8712168,75004400008899,Cook_Inlet_75004400008899
133,151703800.000000000000000,1373000.000000000000000,Cook_Inlet,0.8969354,75004400001136,Cook_Inlet_75004400001136
134,2228595700.000000000000000,14054700.000000000000000,Cook_Inlet,0.6267005,75004400000334,Cook_Inlet_75004400000334
135,1678643200.000000000000000,7550800.000000000000000,Cook_Inlet,0.4478014,75004400010328,Cook_Inlet_75004400010328
136,483520100.000000000000000,2083300.000000000000000,Cook_Inlet,0.4290127,75004400000370,Cook_Inlet_75004400000370
137,158705300.000000000000000,72200.000000000000000,Cook_Inlet,0.0454724,75004400003230,Cook_Inlet_75004400003230
138,76290200.000000000000000,8146700.000000000000000,Cook_Inlet,9.6482697,75004400004743,Cook_Inlet_75004400004743
139,4719276200.000000000000000,311383000.000000000000000,Cook_Inlet,6.1897058,75004400005985,Cook_Inlet_75004400005985
140,3757323000.000000000000000,71105900.000000000000000,Cook_Inlet,1.8573128,75004400005909,Cook_Inlet_75004400005909
141,45497800.000000000000000,258400.000000000000000,Cook_Inlet,0.5647322,75004400009562,Cook_Inlet_75004400009562
142,50401400.000000000000000,16019000.000000000000000,Cook_Inlet,24.1175900,75004400010320,Cook_Inlet_75004400010320
143,102172700.000000000000000,457000.000000000000000,Cook_Inlet,0.4452902,75004400004457,Cook_Inlet_75004400004457
144,53542800.000000000000000,15300.000000000000000,Cook_Inlet,0.0285671,75004400010352,Cook_Inlet_75004400010352
145,29864900.000000000000000,4607500.000000000000000,Cook_Inlet,13.3657646,75004400010337,Cook_Inlet_75004400010337
146,70451900.000000000000000,27900.000000000000000,Cook_Inlet,0.0395858,75004400006692,Cook_Inlet_75004400006692
147,367969300.000000000000000,1966600.000000000000000,Cook_Inlet,0.5316056,75004400005312,Cook_Inlet_75004400005312
148,674596400.000000000000000,97477900.000000000000000,Cook_Inlet,12.6254559,75004400005924,Cook_Inlet_75004400005924
149,47396100.000000000000000,107100.000000000000000,Cook_Inlet,0.2254585,75004400011086,Cook_Inlet_75004400011086
150,248470100.000000000000000,164700.000000000000000,Cook_Inlet,0.0662417,75004400003768,Cook_Inlet_75004400003768
151,104347400.000000000000000,1242500.000000000000000,Cook_Inlet,1.1767224,75004400011755,Cook_Inlet_75004400011755
152,550295700.000000000000000,1773200.000000000000000,Cook_Inlet,0.3211918,75004400008216,Cook_Inlet_75004400008216
153,3138604200.000000000000000,29655200.000000000000000,Cook_Inlet,0.9360092,75004400001652,Cook_Inlet_75004400001652
154,44623200.000000000000000,1121700.000000000000000,Cook_Inlet,2.4520767,75004400010699,Cook_Inlet_75004400010699
155,188330500.000000000000000,9917200.000000000000000,Cook_Inlet,5.0024290,75004400010221,Cook_Inlet_75004400010221
156,273177200.000000000000000,1035200.000000000000000,Cook_Inlet,0.3775176,75004400003876,Cook_Inlet_75004400003876
157,241762900.000000000000000,655200.000000000000000,Cook_Inlet,0.2702768,75004400009792,Cook_Inlet_75004400009792
158,32936700.000000000000000,194800.000000000000000,Cook_Inlet,0.5879601,75004400001670,Cook_Inlet_75004400001670
159,444170600.000000000000000,4970800.000000000000000,Cook_Inlet,1.1067339,75004400003165,Cook_Inlet_75004400003165
160,410437800.000000000000000,150700.000000000000000,Cook_Inlet,0.0367034,75004400000627,Cook_Inlet_75004400000627
161,283800700.000000000000000,2061500.000000000000000,Cook_Inlet,0.7211516,75004400009412,Cook_Inlet_75004400009412
162,44917200.000000000000000,88900.000000000000000,Cook_Inlet,0.1975288,75004400005344,Cook_Inlet_75004400005344
163,318143700.000000000000000,1678000.000000000000000,Cook_Inlet,0.5246673,75004400008192,Cook_Inlet_75004400008192
164,195930400.000000000000000,186000.000000000000000,Cook_Inlet,0.0948416,75004400002258,Cook_Inlet_75004400002258
165,570218600.000000000000000,122751100.000000000000000,Cook_Inlet,17.7137756,75004400010422,Cook_Inlet_75004400010422
166,39652400.000000000000000,26596400.000000000000000,Cook_Inlet,40.1462364,75004400001443,Cook_Inlet_75004400001443
167,28085100.000000000000000,1968500.000000000000000,Cook_Inlet,6.5499640,75004400001656,Cook_Inlet_75004400001656
168,83840200.000000000000000,146500.000000000000000,Cook_Inlet,0.1744324,75004400002041,Cook_Inlet_75004400002041
169,55345600.000000000000000,177900.000000000000000,Cook_Inlet,0.3204049,75004400011322,Cook_Inlet_75004400011322
170,218137100.000000000000000,104205500.000000000000000,Cook_Inlet,32.3275604,75004400007550,Cook_Inlet_75004400007550
171,147378800.000000000000000,8928600.000000000000000,Cook_Inlet,5.7122054,75004400004850,Cook_Inlet_75004400004850
172,251838300.000000000000000,49635100.000000000000000,Cook_Inlet,16.4641724,75004400008859,Cook_Inlet_75004400008859
173,123520600.000000000000000,617500.000000000000000,Cook_Inlet,0.4974299,75004400009331,Cook_Inlet_75004400009331
174,446225000.000000000000000,80334600.000000000000000,Cook_Inlet,15.2565069,75004400000153,Cook_Inlet_75004400000153
175,5036893300.000000000000000,433635500.000000000000000,Cook_Inlet,7.9267564,75004400010386,Cook_Inlet_75004400010386
176,66603100.000000000000000,997500.000000000000000,Cook_Inlet,1.4755787,75004400009308,Cook_Inlet_75004400009308
177,45571900.000000000000000,203400.000000000000000,Cook_Inlet,0.4443444,75004400003815,Cook_Inlet_75004400003815
178,282549500.000000000000000,23200.000000000000000,Cook_Inlet,0.0082103,75004400007996,Cook_Inlet_75004400007996
179,65601600.000000000000000,2978500.000000000000000,Cook_Inlet,4.3430967,75004400010639,Cook_Inlet_75004400010639
180,100764000.000000000000000,18237000.000000000000000,Cook_Inlet,15.3250809,75004400001521,Cook_Inlet_75004400001521
181,76447800.000000000000000,465100.000000000000000,Cook_Inlet,0.6047100,75004400010351,Cook_Inlet_75004400010351
182,18172400.000000000000000,8400.000000000000000,Cook_Inlet,0.0462026,75004400004166,Cook_Inlet_75004400004166
183,32776900.000000000000000,11435000.000000000000000,Cook_Inlet,25.8640766,75004400000141,Cook_Inlet_75004400000141
184,95527100.000000000000000,24422300.000000000000000,Cook_Inlet,20.3605022,75004400002954,Cook_Inlet_75004400002954
185,59191200.000000000000000,13118500.000000000000000,Cook_Inlet,18.1421032,75004400007686,Cook_Inlet_75004400007686
186,177158700.000000000000000,39773100.000000000000000,Cook_Inlet,18.3343792,75004400004707,Cook_Inlet_75004400004707
187,313961300.000000000000000,38552100.000000000000000,Cook_Inlet,10.9363499,75004400007493,Cook_Inlet_75004400007493
188,89214400.000000000000000,10680300.000000000000000,Cook_Inlet,10.6915579,75004400010627,Cook_Inlet_75004400010627
189,159897600.000000000000000,4349600.000000000000000,Cook_Inlet,2.6482034,75004400004344,Cook_Inlet_75004400004344
190,60771700.000000000000000,209900.000000000000000,Cook_Inlet,0.3442022,75004400004213,Cook_Inlet_75004400004213
191,96417500.000000000000000,539800.000000000000000,Cook_Inlet,0.5567399,75004400007351,Cook_Inlet_75004400007351
192,87525100.000000000000000,21342100.000000000000000,Cook_Inlet,19.6037922,75004400002957,Cook_Inlet_75004400002957
193,86421500.000000000000000,24333800.000000000000000,Cook_Inlet,21.9707775,75004400000171,Cook_Inlet_75004400000171
194,445164400.000000000000000,1276100.000000000000000,Cook_Inlet,0.2858388,75000100004048,Cook_Inlet_75000100004048
195,200543200.000000000000000,10800.000000000000000,Cook_Inlet,0.0053851,75000100001396,Cook_Inlet_75000100001396
196,79782300.000000000000000,3041900.000000000000000,Cook_Inlet,3.6727188,75000100001872,Cook_Inlet_75000100001872
197,34927000.000000000000000,21747200.000000000000000,Cook_Inlet,38.3723106,75000100002482,Cook_Inlet_75000100002482
198,189205600.000000000000000,44773200.000000000000000,Cook_Inlet,19.1355801,75000100004383,Cook_Inlet_75000100004383
199,40604900.000000000000000,284500.000000000000000,Cook_Inlet,0.6957793,75000100001880,Cook_Inlet_75000100001880
200,314318600.000000000000000,5173000.000000000000000,Cook_Inlet,1.6191349,75000100002463,Cook_Inlet_75000100002463
201,157341700.000000000000000,35789000.000000000000000,Cook_Inlet,18.5309734,75000100001262,Cook_Inlet_75000100001262
202,400437700.000000000000000,4447000.000000000000000,Cook_Inlet,1.0983374,75000100003972,Cook_Inlet_75000100003972
203,226263300.000000000000000,225500.000000000000000,Cook_Inlet,0.0995634,75000100000252,Cook_Inlet_75000100000252
204,320324500.000000000000000,111195800.000000000000000,Cook_Inlet,25.7683830,75000100003757,Cook_Inlet_75000100003757
205,41698900.000000000000000,1299500.000000000000000,Cook_Inlet,3.0222056,75000100002688,Cook_Inlet_75000100002688
206,76855300.000000000000000,821600.000000000000000,Cook_Inlet,1.0577147,75000100001892,Cook_Inlet_75000100001892
207,118914600.000000000000000,19638400.000000000000000,Cook_Inlet,14.1739264,75000100001538,Cook_Inlet_75000100001538
208,97056300.000000000000000,6371600.000000000000000,Cook_Inlet,6.1604266,75000100001408,Cook_Inlet_75000100001408
209,209855400.000000000000000,700900.000000000000000,Cook_Inlet,0.3328801,75000100001685,Cook_Inlet_75000100001685
210,57689900.000000000000000,2153000.000000000000000,Cook_Inlet,3.5977535,75000100004381,Cook_Inlet_75000100004381
211,251494200.000000000000000,71668900.000000000000000,Cook_Inlet,22.1773148,75000100000652,Cook_Inlet_75000100000652
212,46445000.000000000000000,6702200.000000000000000,Cook_Inlet,12.6106358,75000100003787,Cook_Inlet_75000100003787
213,79488500.000000000000000,11700.000000000000000,Cook_Inlet,0.0147169,75000100002741,Cook_Inlet_75000100002741
214,125335700.000000000000000,29141500.000000000000000,Cook_Inlet,18.8645954,75000100003438,Cook_Inlet_75000100003438
215,588772900.000000000000000,14304900.000000000000000,Cook_Inlet,2.3719826,75000100001315,Cook_Inlet_75000100001315
216,8525291700.000000000000000,114042700.000000000000000,Cook_Inlet,1.3200403,75000100000409,Cook_Inlet_75000100000409
217,279654100.000000000000000,782000.000000000000000,Cook_Inlet,0.2788514,75000100002858,Cook_Inlet_75000100002858
218,78791200.000000000000000,0.000000000000000,Cook_Inlet,0.0000000,75000100000953,Cook_Inlet_75000100000953
219,185343400.000000000000000,4361700.000000000000000,Cook_Inlet,2.2992003,75000100001864,Cook_Inlet_75000100001864
220,742418900.000000000000000,6956500.000000000000000,Cook_Inlet,0.9283064,75000400003844,Cook_Inlet_75000400003844
221,158234000.000000000000000,129000.000000000000000,Cook_Inlet,0.0814584,75000400019561,Cook_Inlet_75000400019561
222,2325311500.000000000000000,26628600.000000000000000,Cook_Inlet,1.1321973,75000400036699,Cook_Inlet_75000400036699
223,2724011000.000000000000000,31335700.000000000000000,Cook_Inlet,1.1372689,75000400002218,Cook_Inlet_75000400002218
224,40472600.000000000000000,2638700.000000000000000,Cook_Inlet,6.1206689,75000400033841,Cook_Inlet_75000400033841
225,378585900.000000000000000,1445900.000000000000000,Cook_Inlet,0.3804682,75000400015018,Cook_Inlet_75000400015018
226,180814500.000000000000000,91800.000000000000000,Cook_Inlet,0.0507445,75000400019625,Cook_Inlet_75000400019625
227,1429473700.000000000000000,3163800.000000000000000,Cook_Inlet,0.2208374,75000400024876,Cook_Inlet_75000400024876
228,211570600.000000000000000,18731000.000000000000000,Cook_Inlet,8.1332483,75000400014699,Cook_Inlet_75000400014699
229,2669975400.000000000000000,10255600.000000000000000,Cook_Inlet,0.3826387,75000400014408,Cook_Inlet_75000400014408
230,40151300.000000000000000,0.000000000000000,Cook_Inlet,0.0000000,75000400004841,Cook_Inlet_75000400004841
231,142426300.000000000000000,132200.000000000000000,Cook_Inlet,0.0927339,75000400004888,Cook_Inlet_75000400004888
232,210896800.000000000000000,17603400.000000000000000,Cook_Inlet,7.7038884,75000400009917,Cook_Inlet_75000400009917
233,872318200.000000000000000,4142400.000000000000000,Cook_Inlet,0.4726282,75000400034535,Cook_Inlet_75000400034535
234,8551762600.000000000000000,125989700.000000000000000,Cook_Inlet,1.4518702,75000400000017,Cook_Inlet_75000400000017
235,5098023700.000000000000000,51862000.000000000000000,Cook_Inlet,1.0070515,75000400028963,Cook_Inlet_75000400028963
236,57754100.000000000000000,305300.000000000000000,Cook_Inlet,0.5258408,75000400000163,Cook_Inlet_75000400000163
237,117638900.000000000000000,10500.000000000000000,Cook_Inlet,0.0089248,75000400024863,Cook_Inlet_75000400024863
238,391475400.000000000000000,1061700.000000000000000,Cook_Inlet,0.2704712,75000400010059,Cook_Inlet_75000400010059
239,4192684100.000000000000000,49106200.000000000000000,Cook_Inlet,1.1576762,75000400014878,Cook_Inlet_75000400014878
