OID_,cat_ID_txt,wtd_elev_ZONE_CODE,wtd_elev_COUNT,wtd_elev_AREA,wtd_elev_MIN,wtd_elev_MAX,wtd_elev_RANGE,wtd_elev_MEAN,wtd_elev_STD,wtd_elev_SUM,wtd_elev_VARIETY,wtd_elev_MAJORITY,wtd_elev_MINORITY,wtd_elev_MEDIAN,wtd_elev_PCT90,region
253,75003900062338.0,12,2043370763.000000000000000,51084269075.000000000000000,12999,499225,486226,118323.253637072324636,62041.664455850303057,241778277065027.000000000000000,484714,54130,459672,102427,202230,Copper_River
254,75003900033524.0,13,2162086.000000000000000,54052150.000000000000000,1613,146599,144986,62382.774477980987285,31303.197253944908880,134876923340.000000000000000,134789,13298,1613,64743,103369,Copper_River
255,75003900054316.0,14,2086576.000000000000000,52164400.000000000000000,1681,146790,145109,52010.574353390577016,35818.917835885666136,108524016192.000000000000000,137135,10129,1681,52239,100455,Copper_River
256,75003900055039.0,15,137612.000000000000000,3440300.000000000000000,164,69370,69206,23278.877808621207805,14627.568335547994138,3203452933.000000000000000,46872,164,198,21201,43005,Copper_River
257,75003900023942.0,16,320761.000000000000000,8019025.000000000000000,164,96196,96032,42891.132915161448182,23025.037940867350699,13757802685.000000000000000,85649,164,303,41719,75344,Copper_River
258,75003900058380.0,17,209204.000000000000000,5230100.000000000000000,6276,112094,105818,47458.050515286464361,22060.163698232612660,9928414000.000000000000000,76849,54399,6276,49579,75347,Copper_River
259,75003900028507.0,18,84992.000000000000000,2124800.000000000000000,1843,21447,19604,7787.398049228153468,3982.387954178989730,661866535.000000000000000,15566,5475,1843,6398,14270,Copper_River
260,75003900027489.0,19,836331.000000000000000,20908275.000000000000000,618,125749,125131,38365.858033482007158,27547.224380857336655,32086556415.000000000000000,109668,6440,618,33377,79013,Copper_River
261,75003900044936.0,20,207459.000000000000000,5186475.000000000000000,1009,83390,82381,11926.671135019450958,14166.008491400476487,2474295267.000000000000000,43330,2193,1009,6005,32321,Copper_River
262,75003900023855.0,21,30591.000000000000000,764775.000000000000000,925,4126,3201,1924.623222516420356,438.158144380382225,58876149.000000000000000,2088,1663,925,1923,2466,Copper_River
263,75003900044738.0,22,241696.000000000000000,6042400.000000000000000,741,90787,90046,24337.220247749224654,21604.851173159655445,5882208785.000000000000000,64875,923,741,21746,55966,Copper_River
264,75003900055694.0,23,8413.000000000000000,210325.000000000000000,1091,2902,1811,1926.707001069773241,353.085081609660676,16209386.000000000000000,1575,1776,1091,1907,2452,Copper_River
265,75003900023674.0,24,155526.000000000000000,3888150.000000000000000,1357,67537,66180,16985.472287591859640,16387.749208537919912,2641682563.000000000000000,43720,4726,1357,7003,44004,Copper_River
266,75003900062264.0,25,886085.000000000000000,22152125.000000000000000,2182,54687,52505,15531.180848338575743,13899.788994878932499,13761946382.000000000000000,51028,3513,2182,8947,37866,Copper_River
267,75003900055316.0,26,293348.000000000000000,7333700.000000000000000,2943,57672,54729,21011.884025116887642,14481.521927983938440,6163794155.000000000000000,51198,3082,2943,19474,42431,Copper_River
268,75003900039073.0,27,230415.000000000000000,5760375.000000000000000,489,9943,9454,3060.513998654607349,1557.691737408476911,705188333.000000000000000,8339,2632,489,3002,5106,Copper_River
269,75003900027771.0,28,64405.000000000000000,1610125.000000000000000,560,10928,10368,4223.113236549976136,1479.117931445141494,271989608.000000000000000,7691,3060,560,3992,6270,Copper_River
270,1023044.0,1,32652693.000000000000000,3265269300.000000000000000,3,1843,1840,131.829199080155803,204.262028814925515,4304578366.000000000000000,1841,4,1842,36,390,Bristol_Bay
271,2041471.0,2,11882297.000000000000000,1188229700.000000000000000,92,3127,3035,1086.224397942630276,503.115105781718967,12906840905.000000000000000,3010,233,2769,1161,1701,Bristol_Bay
272,2065755.0,3,3058486.000000000000000,305848600.000000000000000,17,1235,1218,313.115873670836436,199.046115164148233,957660516.000000000000000,1219,156,1235,287,583,Bristol_Bay
273,2065914.0,4,129695.000000000000000,12969500.000000000000000,68,712,644,160.089109063573005,68.926879884051786,20762757.000000000000000,642,140,71,147,215,Bristol_Bay
274,2066924.0,5,296129.000000000000000,29612900.000000000000000,135,1188,1053,533.782939192041340,273.719883309736929,158068608.000000000000000,1052,148,1175,528,901,Bristol_Bay
275,2066955.0,6,3151961.000000000000000,315196100.000000000000000,16,1020,1004,282.215273602691127,211.171542758750832,889531536.000000000000000,1005,48,16,203,608,Bristol_Bay
276,2067494.0,7,627233.000000000000000,62723300.000000000000000,22,626,604,86.397679969007726,44.222817749419143,54191476.000000000000000,592,58,529,81,136,Bristol_Bay
277,2068072.0,8,51493.000000000000000,5149300.000000000000000,75,806,731,170.840968675354958,111.955122973397167,8797114.000000000000000,697,75,612,140,324,Bristol_Bay
278,2068584.0,9,935263.000000000000000,93526300.000000000000000,92,325,233,169.311720874236187,47.289004474864143,158350988.000000000000000,234,110,325,166,229,Bristol_Bay
279,2070402.0,10,178363.000000000000000,17836300.000000000000000,217,841,624,446.202917645478863,147.035442201490554,79586091.000000000000000,624,290,833,406,673,Bristol_Bay
280,2071934.0,11,1549333.000000000000000,154933300.000000000000000,64,1346,1282,543.405659725824535,259.469043142025839,841916321.000000000000000,1283,290,64,483,933,Bristol_Bay
281,2072993.0,12,164350.000000000000000,16435000.000000000000000,74,898,824,360.527617888647796,197.405169604463225,59252714.000000000000000,823,167,886,326,654,Bristol_Bay
282,2073464.0,13,3315366.000000000000000,331536600.000000000000000,11,1444,1433,555.458258002264415,303.653680819623730,1841547423.000000000000000,1433,18,1444,576,946,Bristol_Bay
283,2074424.0,14,2210874.000000000000000,221087400.000000000000000,124,924,800,322.818950785977393,117.101672744106210,713712025.000000000000000,799,234,899,285,491,Bristol_Bay
284,2078232.0,15,1101149.000000000000000,110114900.000000000000000,94,1323,1229,615.122293168324177,286.521223684268136,677341298.000000000000000,1228,96,1295,647,976,Bristol_Bay
285,2078282.0,16,1120684.000000000000000,112068400.000000000000000,94,1323,1229,606.693637992518006,291.183645739935173,679911853.000000000000000,1228,96,1295,640,974,Bristol_Bay
286,2082373.0,17,8434428.000000000000000,843442800.000000000000000,83,1791,1708,645.604351356133407,336.297999509302599,5445303418.000000000000000,1709,215,1775,614,1120,Bristol_Bay
287,2082393.0,18,8441994.000000000000000,844199400.000000000000000,76,1791,1715,645.105172782640011,336.560239776258015,5445973998.000000000000000,1716,215,1775,613,1120,Bristol_Bay
288,2084713.0,19,534359.000000000000000,53435900.000000000000000,76,725,649,252.450257224073795,119.214666924111057,134899067.000000000000000,650,232,725,232,416,Bristol_Bay
289,2085642.0,20,26649353.000000000000000,2664935300.000000000000000,81,1314,1233,328.174140100132604,217.733667906809643,8745628505.000000000000000,1228,100,1291,259,654,Bristol_Bay
290,2085962.0,21,28635189.000000000000000,2863518900.000000000000000,75,1314,1239,331.487223045738688,221.634338054976240,9492199283.000000000000000,1234,100,1291,261,665,Bristol_Bay
291,2087913.0,22,75895794.000000000000000,7589579400.000000000000000,73,3127,3054,600.806531650485340,468.463100057040037,45598688760.000000000000000,3029,75,2769,477,1316,Bristol_Bay
292,2088163.0,23,86021375.000000000000000,8602137500.000000000000000,73,3127,3054,596.987642513267588,456.924340114209372,51353697867.000000000000000,3029,75,2769,481,1286,Bristol_Bay
293,2088253.0,24,86656767.000000000000000,8665676700.000000000000000,70,3127,3057,595.002012964547021,456.066376989186267,51560950802.000000000000000,3032,75,2769,478,1284,Bristol_Bay
294,2088326.0,25,4919224.000000000000000,491922400.000000000000000,5,167,162,74.544736934118134,32.728318589738890,366702259.000000000000000,163,89,167,77,115,Bristol_Bay
295,2088586.0,26,2696566.000000000000000,269656600.000000000000000,5,138,133,39.804088607510408,19.164521832598670,107334352.000000000000000,134,30,138,34,69,Bristol_Bay
296,3023044.0,27,1487091.000000000000000,148709100.000000000000000,13,819,806,272.786809953122997,142.844927311202639,405658810.000000000000000,806,226,16,242,481,Bristol_Bay
297,3024343.0,28,67542341.000000000000000,6754234100.000000000000000,-13,2367,2380,393.915506008295097,374.928388582880871,26605975432.000000000000000,2374,13,-13,286,925,Bristol_Bay
298,3030955.0,29,7814748.000000000000000,781474800.000000000000000,13,1271,1258,231.445896783877060,224.652503636023397,1808691359.000000000000000,1255,20,1232,135,593,Bristol_Bay
299,3033666.0,30,831925.000000000000000,83192500.000000000000000,20,1068,1048,287.679774018088892,241.244162126578090,239327996.000000000000000,1049,87,1064,154,689,Bristol_Bay
300,3033956.0,31,2731076.000000000000000,273107600.000000000000000,13,1455,1442,517.218296012269889,293.484831798678158,1412562475.000000000000000,1443,13,1455,477,937,Bristol_Bay
301,3034126.0,32,792503.000000000000000,79250300.000000000000000,15,805,790,108.761110052580378,139.124461733746017,86193506.000000000000000,791,21,770,38,316,Bristol_Bay
302,4000885.0,33,4034.000000000000000,403400.000000000000000,16,49,33,29.528755577590509,8.052399728432839,119119.000000000000000,34,16,47,29,40,Bristol_Bay
303,4020194.0,34,12085.000000000000000,1208500.000000000000000,212,479,267,256.915184112536963,46.734665136504375,3104820.000000000000000,267,215,437,238,317,Bristol_Bay
304,4021055.0,35,10874.000000000000000,1087400.000000000000000,5,39,34,13.993654588927743,9.241774087312017,152167.000000000000000,35,8,17,10,31,Bristol_Bay
305,4046617.0,36,59778.000000000000000,5977800.000000000000000,8,54,46,34.302803707049577,8.372540459132791,2050553.000000000000000,47,39,8,35,44,Bristol_Bay
306,4048046.0,37,22256.000000000000000,2225600.000000000000000,4,365,361,73.399173256650016,79.988212912428466,1633572.000000000000000,362,39,361,41,214,Bristol_Bay
307,4051055.0,38,30883.000000000000000,3088300.000000000000000,16,79,63,46.917592202829773,15.982344296607625,1448956.000000000000000,64,16,79,48,67,Bristol_Bay
308,4051056.0,39,33140.000000000000000,3314000.000000000000000,25,111,86,64.152836451418011,15.755357437120878,2126025.000000000000000,87,64,25,64,83,Bristol_Bay
309,4051616.0,40,32994.000000000000000,3299400.000000000000000,3,493,490,138.878705219129529,95.405992188147096,4582164.000000000000000,489,74,476,105,295,Bristol_Bay
310,4052076.0,41,53765.000000000000000,5376500.000000000000000,4,447,443,90.556068074025745,115.613639698060652,4868747.000000000000000,444,4,446,45,318,Bristol_Bay
311,4054120.0,42,258769.000000000000000,25876900.000000000000000,401,682,281,553.868376814845760,59.256078040156645,143323966.000000000000000,282,606,401,560,622,Bristol_Bay
312,4054200.0,43,1764666.000000000000000,176466600.000000000000000,392,1300,908,680.626045948635351,138.376312906810057,1201077642.000000000000000,900,620,1266,661,859,Bristol_Bay
313,4055337.0,44,90458.000000000000000,9045800.000000000000000,6,54,48,31.305523005151667,8.554284664335961,2831835.000000000000000,49,27,6,30,42,Bristol_Bay
314,4059016.0,45,70866.000000000000000,7086600.000000000000000,4,257,253,48.565518019924880,36.669459469042032,3441644.000000000000000,254,32,255,41,69,Bristol_Bay
315,4059736.0,46,119662.000000000000000,11966200.000000000000000,36,463,427,122.966280022062350,64.052196690041129,14714391.000000000000000,428,75,463,101,211,Bristol_Bay
316,4060036.0,47,91895.000000000000000,9189500.000000000000000,34,556,522,196.894792970238370,105.719601419812946,18093647.000000000000000,523,108,556,175,349,Bristol_Bay
317,4061136.0,48,91353.000000000000000,9135300.000000000000000,4,738,734,202.694711722657871,173.168453817798508,18516770.000000000000000,735,62,734,128,485,Bristol_Bay
318,4063196.0,49,161735.000000000000000,16173500.000000000000000,4,734,730,180.570748446531780,127.592544783085330,29204610.000000000000000,715,122,671,143,375,Bristol_Bay
319,4063775.0,50,67790.000000000000000,6779000.000000000000000,16,444,428,72.556276736982767,59.880772626013652,4918590.000000000000000,425,16,404,57,117,Bristol_Bay
320,4064055.0,51,24938.000000000000000,2493800.000000000000000,16,584,568,160.585652417996471,143.546584509104378,4004685.000000000000000,569,16,584,89,408,Bristol_Bay
321,4064845.0,52,86642.000000000000000,8664200.000000000000000,16,670,654,167.747247293460816,156.128752239985772,14533957.000000000000000,645,30,637,86,436,Bristol_Bay
322,4068584.0,53,18667.000000000000000,1866700.000000000000000,16,660,644,279.378314672952797,188.392664174619767,5215155.000000000000000,645,16,658,263,552,Bristol_Bay
323,4069455.0,54,93439.000000000000000,9343900.000000000000000,16,743,727,278.355558171643565,158.212875834036851,26009265.000000000000000,727,16,717,258,508,Bristol_Bay
324,4069495.0,55,109117.000000000000000,10911700.000000000000000,16,89,73,45.659942996966080,12.711517089761106,4982276.000000000000000,74,45,89,46,62,Bristol_Bay
325,4069586.0,56,167362.000000000000000,16736200.000000000000000,4,740,736,255.007755643455795,152.647299789377712,42678608.000000000000000,730,196,710,203,486,Bristol_Bay
326,4071036.0,57,1056871.000000000000000,105687100.000000000000000,28,766,738,248.185520276363746,159.026712906795012,262300079.000000000000000,737,48,28,215,484,Bristol_Bay
327,4071256.0,58,1381613.000000000000000,138161300.000000000000000,18,803,785,225.450707976836441,156.977996374179128,311485629.000000000000000,768,48,755,191,458,Bristol_Bay
328,4071625.0,59,102876.000000000000000,10287600.000000000000000,16,668,652,98.154798009253710,97.096016974552668,10097773.000000000000000,649,54,597,58,241,Bristol_Bay
329,4073375.0,60,158738.000000000000000,15873800.000000000000000,38,721,683,181.312577958651730,165.398089180362945,28781196.000000000000000,681,38,706,99,469,Bristol_Bay
330,4074184.0,61,31412.000000000000000,3141200.000000000000000,16,734,718,217.624220043294315,191.008214936161693,6836012.000000000000000,713,42,16,125,533,Bristol_Bay
331,4074505.0,62,223844.000000000000000,22384400.000000000000000,16,678,662,125.985659655832919,134.083982081571094,28201134.000000000000000,656,31,675,56,335,Bristol_Bay
332,4074726.0,63,948666.000000000000000,94866600.000000000000000,4,843,839,190.413953910013447,157.120757926047531,180639244.000000000000000,837,107,843,132,431,Bristol_Bay
333,4075225.0,64,259738.000000000000000,25973800.000000000000000,16,721,705,203.287828504109740,168.319754512265092,52801574.000000000000000,703,38,706,127,480,Bristol_Bay
334,4075474.0,65,95446.000000000000000,9544600.000000000000000,16,1105,1089,508.761917733588177,238.292442121966786,48559290.000000000000000,1086,677,1092,527,810,Bristol_Bay
335,4075715.0,66,233416.000000000000000,23341600.000000000000000,16,122,106,55.595391918291902,20.465482741388609,12976854.000000000000000,107,64,122,55,85,Bristol_Bay
336,4076505.0,67,380412.000000000000000,38041200.000000000000000,16,743,727,204.133039967193440,151.691311639168305,77654658.000000000000000,727,52,741,156,445,Bristol_Bay
337,4076575.0,68,524802.000000000000000,52480200.000000000000000,30,140,110,100.444552421675837,17.193890484436956,52713502.000000000000000,111,107,140,103,120,Bristol_Bay
338,4076675.0,69,223564.000000000000000,22356400.000000000000000,16,671,655,111.485028895529780,116.030317812998462,24924039.000000000000000,655,45,671,63,276,Bristol_Bay
339,4078235.0,70,306554.000000000000000,30655400.000000000000000,16,130,114,56.441400210077461,23.575140174909595,17302337.000000000000000,115,16,130,54,95,Bristol_Bay
340,4080045.0,71,803923.000000000000000,80392300.000000000000000,4,845,841,233.921161603783503,158.136048143998352,188054602.000000000000000,842,91,841,196,468,Bristol_Bay
341,4080875.0,72,1642842.000000000000000,164284200.000000000000000,31,132,101,88.463879667064731,16.574275890112535,145332177.000000000000000,102,96,31,93,105,Bristol_Bay
342,4082225.0,73,22765.000000000000000,2276500.000000000000000,16,706,690,158.055567757522255,143.381632051314369,3598135.000000000000000,670,46,567,86,383,Bristol_Bay
343,4084351.0,74,732784.000000000000000,73278400.000000000000000,492,1167,675,650.888145756459153,132.999723881393635,476960419.000000000000000,673,501,492,608,855,Bristol_Bay
344,4084915.0,75,808575.000000000000000,80857500.000000000000000,16,1109,1093,310.542082057942991,246.654725443448029,251096564.000000000000000,1091,16,1109,276,672,Bristol_Bay
345,4086795.0,76,13343182.000000000000000,1334318200.000000000000000,26,706,680,115.019694852399667,77.340382913938811,1534728722.000000000000000,681,48,702,93,202,Bristol_Bay
346,4087015.0,77,11748091.000000000000000,1174809100.000000000000000,16,1529,1513,223.418888651785863,215.245244159656011,2624745435.000000000000000,1496,24,1413,143,544,Bristol_Bay
347,4087224.0,78,103069.000000000000000,10306900.000000000000000,16,1030,1014,358.603003812974976,196.801845614171498,36960853.000000000000000,996,195,970,330,622,Bristol_Bay
348,4088675.0,79,22161895.000000000000000,2216189500.000000000000000,4,1529,1525,196.377002372767834,215.476531840504009,4352086507.000000000000000,1519,16,1515,99,525,Bristol_Bay
349,4089074.0,80,202415.000000000000000,20241500.000000000000000,183,363,180,215.112689276980007,27.895920588559772,43542035.000000000000000,181,200,362,207,251,Bristol_Bay
350,4089384.0,81,108875.000000000000000,10887500.000000000000000,16,1007,991,352.034149253729993,226.464153362189165,38327718.000000000000000,983,307,953,336,676,Bristol_Bay
351,4089394.0,82,109771.000000000000000,10977100.000000000000000,16,1030,1014,398.177341920908475,246.261995386657503,43708325.000000000000000,1010,16,987,387,736,Bristol_Bay
352,4089574.0,83,154036.000000000000000,15403600.000000000000000,24,879,855,323.320535459244184,190.950762554601511,49803002.000000000000000,855,58,852,325,580,Bristol_Bay
353,4091164.0,84,359980.000000000000000,35998000.000000000000000,24,1031,1007,427.312886827042576,237.837151813740519,153824093.000000000000000,999,316,1005,422,765,Bristol_Bay
354,4091424.0,85,256329.000000000000000,25632900.000000000000000,233,726,493,336.099703896159895,74.212341899188402,86152101.000000000000000,493,276,712,310,444,Bristol_Bay
355,4092244.0,86,221608.000000000000000,22160800.000000000000000,266,817,551,445.269976715643281,103.404267255113680,98675389.000000000000000,551,297,812,440,579,Bristol_Bay
356,4093084.0,87,413073.000000000000000,41307300.000000000000000,16,1109,1093,413.741309647451260,246.240727482004132,170905364.000000000000000,1091,34,1109,409,749,Bristol_Bay
357,4095301.0,88,1865479.000000000000000,186547900.000000000000000,320,1154,834,579.746656488777603,154.530514210706144,1081505213.000000000000000,835,495,1132,545,809,Bristol_Bay
358,4095374.0,89,355411.000000000000000,35541100.000000000000000,24,778,754,150.461136543325694,131.621867164215445,53475543.000000000000000,755,24,745,96,362,Bristol_Bay
359,4096064.0,90,302231.000000000000000,30223100.000000000000000,16,1058,1042,368.112801135557106,227.414492977965153,111255100.000000000000000,1037,99,1015,334,699,Bristol_Bay
360,4096454.0,91,633384.000000000000000,63338400.000000000000000,16,1527,1511,492.014233071876049,301.544202499790060,311633943.000000000000000,1500,26,1479,463,906,Bristol_Bay
361,4098114.0,92,970252.000000000000000,97025200.000000000000000,24,559,535,115.228853947221197,66.053715491906303,111801026.000000000000000,536,110,556,105,168,Bristol_Bay
362,4098704.0,93,1777584.000000000000000,177758400.000000000000000,228,831,603,381.079277266221425,109.547403763715522,677400426.000000000000000,604,276,831,348,549,Bristol_Bay
363,4099594.0,94,2964068.000000000000000,296406800.000000000000000,54,706,652,152.598807112386055,72.763518639631585,452313241.000000000000000,653,60,706,145,228,Bristol_Bay
364,4099694.0,95,2732782.000000000000000,273278200.000000000000000,177,831,654,339.082964173503910,122.160864264866461,926639821.000000000000000,655,216,831,304,526,Bristol_Bay
365,4101123.0,96,39294430.000000000000000,3929443000.000000000000000,85,1581,1496,364.317597634038179,255.154706326841904,14315652338.000000000000000,1496,93,85,279,755,Bristol_Bay
366,4101274.0,97,195802.000000000000000,19580200.000000000000000,38,1011,973,370.282744813640875,229.209950461574294,72502102.000000000000000,964,38,971,337,696,Bristol_Bay
367,4102124.0,98,1252901.000000000000000,125290100.000000000000000,37,805,768,237.832665948868112,118.978024811370602,297980785.000000000000000,769,148,793,209,413,Bristol_Bay
368,4104574.0,99,4201106.000000000000000,420110600.000000000000000,136,746,610,225.367388968524097,75.057594429663695,946792290.000000000000000,611,163,136,201,323,Bristol_Bay
369,4105204.0,100,6927912.000000000000000,692791200.000000000000000,75,746,671,220.002009696428217,89.000817207483010,1524154563.000000000000000,672,172,727,197,338,Bristol_Bay
370,4105574.0,101,1080298.000000000000000,108029800.000000000000000,38,1529,1491,470.304747393778541,300.981465084952561,508069278.000000000000000,1474,48,1413,442,907,Bristol_Bay
371,4105844.0,102,2685621.000000000000000,268562100.000000000000000,189,931,742,389.835196031009957,109.661001712225513,1046949589.000000000000000,743,333,919,371,539,Bristol_Bay
372,4106904.0,103,1754414.000000000000000,175441400.000000000000000,51,183,132,98.548813449962083,22.790750064001699,172895418.000000000000000,133,88,51,96,130,Bristol_Bay
373,4107464.0,104,94003065.000000000000000,9400306500.000000000000000,68,2492,2424,430.302375055532536,312.733868869028470,40449742132.000000000000000,2425,267,2487,345,815,Bristol_Bay
374,4115672.0,105,9064683.000000000000000,906468300.000000000000000,162,1581,1419,521.428319556248539,278.666166361912872,4726582424.000000000000000,1420,186,1580,473,926,Bristol_Bay
375,5008707.0,106,1623450.000000000000000,162345000.000000000000000,2,509,507,74.016925682958842,50.727877045790798,120162778.000000000000000,508,68,482,66,114,Bristol_Bay
376,5020796.0,107,3452735.000000000000000,345273500.000000000000000,12,754,742,148.158226449466270,104.763802622928836,511551094.000000000000000,739,31,691,121,300,Bristol_Bay
377,5021476.0,108,3940384.000000000000000,394038400.000000000000000,9,646,637,122.169152549599659,93.605045009866913,481393374.000000000000000,638,30,646,93,252,Bristol_Bay
378,5030363.0,109,736221.000000000000000,73622100.000000000000000,95,848,753,245.014463048459902,132.114881777115187,180384793.000000000000000,749,95,830,210,439,Bristol_Bay
379,5030704.0,110,444566.000000000000000,44456600.000000000000000,56,733,677,183.753699113292726,116.744228479445823,81690647.000000000000000,677,58,718,161,346,Bristol_Bay
380,5032474.0,111,748338.000000000000000,74833800.000000000000000,66,752,686,202.508156742007969,147.855437585388955,151544549.000000000000000,677,68,737,139,433,Bristol_Bay
381,5033094.0,112,2479377.000000000000000,247937700.000000000000000,18,758,740,176.099718598664992,137.848110674336510,436617592.000000000000000,741,68,756,110,392,Bristol_Bay
382,5034893.0,113,13320373.000000000000000,1332037300.000000000000000,69,1517,1448,491.449808725286459,275.843093095663903,6546294763.000000000000000,1447,70,1489,470,873,Bristol_Bay
383,5038375.0,114,4528228.000000000000000,452822800.000000000000000,18,813,795,208.487985145619945,147.077827005922899,944081132.000000000000000,796,63,813,164,430,Bristol_Bay
384,48267.0,1,809610.000000000000000,80961000.000000000000000,-15,709,724,168.460939217641595,143.999079720464294,136387661.000000000000000,708,19,-15,124,389,Kodiak
385,49617.0,2,2945358.000000000000000,294535800.000000000000000,12,1108,1096,367.976505063220486,202.763316448763334,1083822543.000000000000000,1096,126,1090,335,660,Kodiak
386,50197.0,3,494751.000000000000000,49475100.000000000000000,13,800,787,216.734706953595122,169.225715346335392,107229713.000000000000000,787,33,797,168,469,Kodiak
387,64593.0,4,640989.000000000000000,64098900.000000000000000,-18,695,713,158.482941204918774,126.713198347353838,101585822.000000000000000,694,26,-18,112,358,Kodiak
388,72144.0,5,46117.000000000000000,4611700.000000000000000,38,533,495,249.929158444825475,93.570541206526173,11525983.000000000000000,461,164,38,238,380,Kodiak
389,76954.0,6,312795.000000000000000,31279500.000000000000000,18,819,801,271.134640898993894,176.518260306070800,84809560.000000000000000,794,33,25,241,528,Kodiak
390,77794.0,7,552014.000000000000000,55201400.000000000000000,15,819,804,241.396748995495869,175.696103899791126,133254385.000000000000000,802,33,814,210,504,Kodiak
391,90346.0,8,79315.000000000000000,7931500.000000000000000,81,761,680,313.709651390030274,158.830474068042491,24881881.000000000000000,681,81,761,285,555,Kodiak
392,93176.0,9,109901.000000000000000,10990100.000000000000000,104,897,793,479.470541669318436,173.149838780777117,52694292.000000000000000,784,296,110,481,715,Kodiak
393,94216.0,10,99247.000000000000000,9924700.000000000000000,104,872,768,477.718923493911632,183.404573909738730,47412170.000000000000000,768,349,110,469,736,Kodiak
394,97276.0,11,255640.000000000000000,25564000.000000000000000,81,771,690,315.308734939757585,144.495581847970044,80605525.000000000000000,691,190,767,288,528,Kodiak
395,99516.0,12,155728.000000000000000,15572800.000000000000000,104,1018,914,490.287045361141054,203.235257812571405,76351421.000000000000000,906,247,110,503,768,Kodiak
396,100826.0,13,273260.000000000000000,27326000.000000000000000,104,1018,914,417.473658786503279,220.169231961716633,114078852.000000000000000,906,125,110,390,732,Kodiak
397,101556.0,14,257478.000000000000000,25747800.000000000000000,104,1018,914,526.628923636195623,211.478531101608723,135595362.000000000000000,913,204,110,552,796,Kodiak
398,103096.0,15,532533.000000000000000,53253300.000000000000000,104,1117,1013,520.614433283967628,204.227496895728990,277244366.000000000000000,1013,463,110,526,786,Kodiak
399,103196.0,16,700302.000000000000000,70030200.000000000000000,48,771,723,251.384945352145792,157.522891243054801,176045380.000000000000000,724,81,767,215,490,Kodiak
400,103296.0,17,642707.000000000000000,64270700.000000000000000,104,951,847,365.594037407401800,193.392599132128680,234969847.000000000000000,848,165,110,312,655,Kodiak
401,103456.0,18,652637.000000000000000,65263700.000000000000000,104,951,847,362.744856635463464,193.634769416954271,236740715.000000000000000,848,165,110,308,653,Kodiak
402,103496.0,19,588309.000000000000000,58830900.000000000000000,16,1343,1327,481.781213613938633,298.904909430347516,283436224.000000000000000,1328,21,1331,475,876,Kodiak
403,106626.0,20,1853243.000000000000000,185324300.000000000000000,104,951,847,348.297919377007076,190.391071247510666,645480681.000000000000000,848,126,110,302,631,Kodiak
404,106676.0,21,1855220.000000000000000,185522000.000000000000000,104,951,847,348.080604456615788,190.406471214619984,645766099.000000000000000,848,126,110,301,631,Kodiak
405,107796.0,22,4318977.000000000000000,431897700.000000000000000,17,906,889,200.502174936329169,148.405958609849080,865964282.000000000000000,888,81,17,163,414,Kodiak
406,107816.0,23,4680230.000000000000000,468023000.000000000000000,17,906,889,201.263754772731602,146.256292947859748,941960663.000000000000000,888,81,17,165,410,Kodiak
407,108356.0,24,5202385.000000000000000,520238500.000000000000000,8,906,898,191.165465839222065,143.631343286294623,994516352.000000000000000,899,81,9,150,397,Kodiak
408,128685.0,25,1037922.000000000000000,103792200.000000000000000,18,1339,1321,600.021758860491445,275.648946978573633,622775784.000000000000000,1322,442,1337,605,964,Kodiak
409,129955.0,26,2778639.000000000000000,277863900.000000000000000,57,1117,1060,418.191115866439873,234.961186686662870,1162002144.000000000000000,1060,122,1106,410,740,Kodiak
410,130295.0,27,4312172.000000000000000,431217200.000000000000000,57,1117,1060,379.337413720975235,234.752586093710534,1635768174.000000000000000,1060,122,1106,342,720,Kodiak
411,130735.0,28,6057389.000000000000000,605738900.000000000000000,12,1117,1105,336.425718242630182,218.041073163851252,2037861445.000000000000000,1105,122,1106,261,678,Kodiak
412,18457.0,1,131871.000000000000000,13187100.000000000000000,1,3324,3323,193.964215028323451,569.445619763934133,25578255.000000000000000,1077,1,2478,72,157,Prince_William_Sound
413,26464.0,2,50434.000000000000000,5043400.000000000000000,10,3324,3314,600.639667684497454,831.391749848124277,30292661.000000000000000,1766,108,865,353,2568,Prince_William_Sound
414,28086.0,3,47622.000000000000000,4762200.000000000000000,0,3324,3324,634.772605098484746,833.648313181120670,30229141.000000000000000,1515,278,599,376,2599,Prince_William_Sound
415,29854.0,4,187756.000000000000000,18775600.000000000000000,2,3324,3322,397.080135921087276,489.417501066972989,74554178.000000000000000,1787,25,935,293,671,Prince_William_Sound
416,30884.0,5,89560.000000000000000,8956000.000000000000000,2,3324,3322,248.836723983921274,682.321020507915250,22285817.000000000000000,1020,83,2478,82,142,Prince_William_Sound
417,31865.0,6,8897.000000000000000,889700.000000000000000,0,153,153,63.145554681353438,39.459197517273047,561806.000000000000000,154,27,0,54,123,Prince_William_Sound
418,36645.0,7,41284.000000000000000,4128400.000000000000000,6,3324,3318,637.701046410232721,904.819969828514218,26326850.000000000000000,1479,134,6,326,2713,Prince_William_Sound
419,37815.0,8,58008.000000000000000,5800800.000000000000000,0,3324,3324,491.405271686663127,803.543849239393239,28505437.000000000000000,1570,8,700,242,656,Prince_William_Sound
420,38993.0,9,37023.000000000000000,3702300.000000000000000,1,3324,3323,512.484374577965355,1009.655631489514008,18973709.000000000000000,1365,29,1,48,2786,Prince_William_Sound
