OID_,cat_ID_txt,wtd_elev_ZONE_CODE,wtd_elev_COUNT,wtd_elev_AREA,wtd_elev_MIN,wtd_elev_MAX,wtd_elev_RANGE,wtd_elev_MEAN,wtd_elev_STD,wtd_elev_SUM,wtd_elev_VARIETY,wtd_elev_MAJORITY,wtd_elev_MINORITY,wtd_elev_MEDIAN,wtd_elev_PCT90,region
196,75000200018882.0,196,22001106.000000000000000,550027650.000000000000000,5573,211863,206290,52220.931691661324294,48090.675405534944730,1148918253567.000000000000000,192462,6770,5573,24709,127780,Cook_Inlet
197,75000200005404.0,197,1692336.000000000000000,42308400.000000000000000,7063,22080,15017,11108.464410140908512,2971.009661538414548,18799254226.000000000000000,14918,10151,7063,10566,14875,Cook_Inlet
198,75000200015587.0,198,991317.000000000000000,24782925.000000000000000,22145,33957,11812,28994.120914904127858,2215.149784165967503,28742364963.000000000000000,11681,30737,22145,29597,31329,Cook_Inlet
199,75000200015319.0,199,2301524.000000000000000,57538100.000000000000000,6719,29659,22940,12748.556996581421117,5344.853407545331720,29341109893.000000000000000,22826,6770,6719,11313,20872,Cook_Inlet
200,75000200015900.0,200,70944063.000000000000000,1773601575.000000000000000,2168,45314,43146,14268.835267314805606,8572.384647465793023,1012289148141.000000000000000,43055,5331,2168,11272,28381,Cook_Inlet
201,75000200005077.0,201,899529.000000000000000,22488225.000000000000000,10980,26455,15475,21283.479788867163734,3450.538387118983792,19145107291.000000000000000,15384,25024,10980,22106,25174,Cook_Inlet
202,75000200008950.0,202,13808550.000000000000000,345213750.000000000000000,9853,211863,202010,74174.680764164266293,47980.752667850771104,1024244788066.000000000000000,188182,14342,9884,76127,138008,Cook_Inlet
203,75000200015320.0,203,21865916.000000000000000,546647900.000000000000000,5832,211863,206031,52504.400674318880192,48103.366788928811729,1148056814775.000000000000000,192203,6770,5833,24932,127924,Cook_Inlet
204,75000200012046.0,204,675444.000000000000000,16886100.000000000000000,17252,149261,132009,74961.581953499626252,38765.208579211459437,50632350761.000000000000000,123991,20540,17252,78938,127128,Cook_Inlet
205,75000200002162.0,205,4318154.000000000000000,107953850.000000000000000,53680,211863,158183,120495.811984473271878,28916.362033874520421,520319472504.000000000000000,143749,128903,53680,121751,157946,Cook_Inlet
206,75000200011392.0,206,709020.000000000000000,17725500.000000000000000,7583,32173,24590,17461.929945558673353,5798.960305036400314,12380857570.000000000000000,23815,14721,7591,16415,27698,Cook_Inlet
207,75000200000278.0,207,9292622.000000000000000,232315550.000000000000000,10048,45314,35266,27287.238279142340616,7024.463050256809765,253569990752.000000000000000,35168,11731,10048,28958,35278,Cook_Inlet
208,75000200018259.0,208,2759670.000000000000000,68991750.000000000000000,10443,27540,17097,18755.505189388495637,4662.253817894402346,51759005006.000000000000000,17008,10796,10446,18527,24898,Cook_Inlet
209,75000200005444.0,209,12167551.000000000000000,304188775.000000000000000,7578,45314,37736,23180.510145796823053,9620.039378885076076,282050039405.000000000000000,37638,11731,7579,25657,34552,Cook_Inlet
210,75000200018203.0,210,1133056.000000000000000,28326400.000000000000000,10740,27540,16800,20280.920049847361952,3809.637196764950659,22979418148.000000000000000,16687,17222,10743,20419,25232,Cook_Inlet
211,75000200018317.0,211,2398664.000000000000000,59966600.000000000000000,9846,20215,10369,13942.466813192746486,2085.434659176524747,33443293216.000000000000000,10256,14619,9846,13717,16680,Cook_Inlet
212,75000200000949.0,212,15533140.000000000000000,388328500.000000000000000,7466,159832,152366,61730.242745832088985,31998.575479259787244,958864502805.000000000000000,148439,64566,7528,63707,106653,Cook_Inlet
213,75000200013249.0,213,14957543.000000000000000,373938575.000000000000000,9809,45160,35351,20211.893321383162402,6660.397767222260882,302320263466.000000000000000,35011,14619,43208,19587,29747,Cook_Inlet
214,75000200013010.0,214,2131507.000000000000000,53287675.000000000000000,11340,34428,23088,22261.660972260389826,4971.575425942315633,47450886194.000000000000000,22833,25355,11340,22214,28704,Cook_Inlet
215,75000200000418.0,215,12236097.000000000000000,305902425.000000000000000,10394,45160,34766,21690.678252223846357,6411.837006840572940,265409243090.000000000000000,34426,10796,43208,21248,30400,Cook_Inlet
216,75000200002552.0,216,143103.000000000000000,3577575.000000000000000,10657,17258,6601,14645.729607345738259,1491.493182092025791,2095847844.000000000000000,6359,15136,10658,14769,16462,Cook_Inlet
217,75000200008508.0,217,23514972.000000000000000,587874300.000000000000000,3597,211863,208266,49237.771339851060475,47887.399382595525822,1157824814399.000000000000000,194438,6770,175199,22495,126165,Cook_Inlet
218,75000200007670.0,218,158560.000000000000000,3964000.000000000000000,16247,120904,104657,43607.823297174589243,24067.872156647888914,6914456462.000000000000000,59108,20397,16247,34294,83381,Cook_Inlet
219,75000200008676.0,219,592398.000000000000000,14809950.000000000000000,6770,29559,22789,14382.131815097254730,4863.043522962422685,8519946123.000000000000000,22145,9833,6779,13422,21295,Cook_Inlet
220,75000200018667.0,220,25839818.000000000000000,645995450.000000000000000,3454,211863,208409,45288.341050273651490,47378.314327330343076,1170242490261.000000000000000,194581,6770,175199,19648,123652,Cook_Inlet
221,75000200011572.0,221,485842.000000000000000,12146050.000000000000000,11978,118610,106632,73229.671712202427443,32431.212584864490054,35578050164.000000000000000,97263,103843,11978,82902,107888,Cook_Inlet
222,75000200011623.0,222,510052.000000000000000,12751300.000000000000000,11873,118177,106304,56865.163698995107552,32900.149404661067820,29004190475.000000000000000,100427,13737,11874,47192,106505,Cook_Inlet
223,75000200019765.0,223,6635732.000000000000000,165893300.000000000000000,20095,211863,191768,109105.950091866543517,34249.411446653008170,723997844415.000000000000000,177851,128903,20095,112026,151282,Cook_Inlet
224,75000200016095.0,224,844292.000000000000000,21107300.000000000000000,1857,8431,6574,4175.309012758611061,950.028506328957519,3525179997.000000000000000,6068,4146,1860,4146,5405,Cook_Inlet
225,75000200014508.0,225,8393451.000000000000000,209836275.000000000000000,16526,211863,195337,96891.810332007808029,42037.715363665411132,813256662323.000000000000000,181491,128903,16528,103337,147427,Cook_Inlet
226,75000200015883.0,226,69833790.000000000000000,1745844750.000000000000000,2350,45314,42964,14438.699807686272834,8532.116616493398396,1008309130243.000000000000000,42874,5331,2350,11377,28506,Cook_Inlet
227,75000200014057.0,227,387545.000000000000000,9688625.000000000000000,10342,101832,91490,36323.650518004673359,21973.740425756092009,14077049140.000000000000000,74180,16279,10342,25446,72493,Cook_Inlet
228,75000200019263.0,228,196851.000000000000000,4921275.000000000000000,13096,124165,111069,48407.615094665576180,32625.978226522751356,9529087439.000000000000000,67253,25152,13096,29836,107265,Cook_Inlet
229,75000200003896.0,229,12216383.000000000000000,305409575.000000000000000,10557,211863,201306,80119.520515687865554,47069.455589948411216,978770748396.000000000000000,187471,128903,10566,85274,140383,Cook_Inlet
230,75000200005619.0,230,2786494.000000000000000,69662350.000000000000000,2471,15095,12624,8111.335293024148996,2301.703800672320540,22602187126.000000000000000,11790,7006,2471,7726,11861,Cook_Inlet
231,75000200014207.0,231,10437272.000000000000000,260931800.000000000000000,12405,211863,199458,85814.394036871002754,46419.604488548371592,895668172078.000000000000000,185613,128903,12407,92864,143358,Cook_Inlet
232,75000200007927.0,232,2005440192.000000000000000,50136004800.000000000000000,1153,616781,615628,91516.269098148361081,57749.611303601413965,183530404271314.000000000000000,573965,72000,1153,89171,162237,Cook_Inlet
233,75000200011034.0,233,2242270.000000000000000,56056750.000000000000000,3589,8139,4550,5370.682350921182660,781.474733527149056,12042519915.000000000000000,4421,4926,3589,5209,6497,Cook_Inlet
234,75000200015882.0,234,67036050.000000000000000,1675901250.000000000000000,2449,45314,42865,14703.603575315124544,8594.134329922066172,985671504455.000000000000000,42777,5331,44175,11569,28826,Cook_Inlet
235,75000200016094.0,235,28300936.000000000000000,707523400.000000000000000,1512,211863,210351,41726.339011472970014,46721.723345250495186,1180894449878.000000000000000,196523,6770,175199,17044,120966,Cook_Inlet
236,75000200008452.0,236,2791801.000000000000000,69795025.000000000000000,1530,11503,9973,4556.211585639538498,1158.387707828333760,12720036061.000000000000000,9100,4101,1530,4281,6164,Cook_Inlet
237,75005300022831.0,237,14020729.000000000000000,350518225.000000000000000,1400,85100,83700,33113.704520569132001,16375.788601180334808,464278277269.000000000000000,83598,42300,1403,33048,53117,Cook_Inlet
238,75005300011378.0,238,12088068.000000000000000,302201700.000000000000000,352,94800,94448,34131.108851223383681,17946.018808082033502,412579164709.000000000000000,93977,24600,352,29370,59831,Cook_Inlet
