OID_,cat_ID_txt,cat_elev_ZONE_CODE,cat_elev_COUNT,cat_elev_AREA,cat_elev_MIN,cat_elev_MAX,cat_elev_RANGE,cat_elev_MEAN,cat_elev_STD,cat_elev_SUM,cat_elev_VARIETY,cat_elev_MAJORITY,cat_elev_MINORITY,cat_elev_MEDIAN,cat_elev_PCT90,region,cat_ID_con,cat_slope_COUNT,cat_slope_AREA,cat_slope_MIN,cat_slope_MAX,cat_slope_RANGE,cat_slope_MEAN,cat_slope_STD,cat_slope_SUM,cat_slope_MEDIAN,cat_slope_PCT90
58,75004400009261.0,58,16673.000000000000000,416825.000000000000000,135,340,205,191.130750314880430,36.572856872168174,3186723.000000000000000,206,158,135,183,238,Cook_Inlet,Cook_Inlet_75004400009261,16673.000000000000000,416825.000000000000000,0.000000000000000,44.936756134033203,44.936756134033203,15.806257800121578,9.024064015559350,263537.736301427066792,15.503426551818848,28.101925277709970
59,75004400001510.0,59,28591.000000000000000,714775.000000000000000,19,31,12,25.130600538631022,2.759997059912102,718509.000000000000000,13,25,19,25,29,Cook_Inlet,Cook_Inlet_75004400001510,28591.000000000000000,714775.000000000000000,0.000000000000000,15.621001243591309,15.621001243591309,2.223227578655018,2.483771013276927,63564.299701325609931,1.154499411582947,5.680480957031250
60,75004400007387.0,60,207851.000000000000000,5196275.000000000000000,5,46,41,23.876122799505382,8.323064035028469,4962676.000000000000000,42,27,5,24,35,Cook_Inlet,Cook_Inlet_75004400007387,207851.000000000000000,5196275.000000000000000,0.000000000000000,30.113178253173828,30.113178253173828,4.303981625278667,3.356677508161281,894586.884795796242543,4.310229301452637,8.473523139953613
61,75004400010320.0,61,321259.000000000000000,8031475.000000000000000,10,88,78,41.606853037580194,15.484536161064167,13366576.000000000000000,79,30,88,33,66,Cook_Inlet,Cook_Inlet_75004400010320,321259.000000000000000,8031475.000000000000000,0.000000000000000,36.406131744384766,36.406131744384766,3.618920939242471,3.784052415079251,1162610.922020097030327,3.121760368347168,7.999160194396985
62,75004400001568.0,62,32612.000000000000000,815300.000000000000000,34,79,45,46.324205813811034,7.060967809222437,1510725.000000000000000,46,47,34,46,51,Cook_Inlet,Cook_Inlet_75004400001568,32612.000000000000000,815300.000000000000000,0.000000000000000,32.776062011718750,32.776062011718750,4.084699446648933,3.977270568610852,133210.218354115029797,3.712404966354370,8.543997859954837
63,75004400008917.0,63,231393.000000000000000,5784825.000000000000000,6,43,37,21.522855056116754,4.670300092222170,4980238.000000000000000,38,22,6,22,27,Cook_Inlet,Cook_Inlet_75004400008917,231393.000000000000000,5784825.000000000000000,0.000000000000000,22.330865859985352,22.330865859985352,2.225788960224037,2.530499776240691,515031.984873120673001,1.150941491127014,5.638686180114746
64,75004400001952.0,64,299886.000000000000000,7497150.000000000000000,126,1335,1209,369.449730897741517,253.802423012239331,110792802.000000000000000,1210,126,1334,264,781,Cook_Inlet,Cook_Inlet_75004400001952,299886.000000000000000,7497150.000000000000000,0.000000000000000,65.440628051757812,65.440628051757812,21.283564559728905,14.869008072601451,6382643.041558862663805,18.179910659790039,41.555459976196289
65,75004400009919.0,65,20943.000000000000000,523575.000000000000000,237,730,493,362.393114644511684,115.176394280727536,7589599.000000000000000,493,244,676,334,541,Cook_Inlet,Cook_Inlet_75004400009919,20943.000000000000000,523575.000000000000000,0.000000000000000,43.161361694335938,43.161361694335938,19.226676845342940,9.012814065805399,402664.293172017205507,20.770425796508789,30.080863571166990
66,75004400001498.0,66,367141.000000000000000,9178525.000000000000000,12,96,84,33.932579036391573,16.664210782149333,12458041.000000000000000,85,29,96,30,65,Cook_Inlet,Cook_Inlet_75004400001498,367141.000000000000000,9178525.000000000000000,0.000000000000000,46.657840728759766,46.657840728759766,4.356620162135203,5.283141960029025,1599493.882946480764076,3.225359678268433,10.782547950744629
67,75004400011711.0,67,24992.000000000000000,624800.000000000000000,5,912,907,377.934939180537128,245.525731546811187,9445350.000000000000000,906,5,912,358,763,Cook_Inlet,Cook_Inlet_75004400011711,24992.000000000000000,624800.000000000000000,0.000000000000000,53.202919006347656,53.202919006347656,27.977882995976167,8.915035939695155,699223.251835436327383,29.050394058227539,37.980847930908205
68,75004400003452.0,68,223.000000000000000,5575.000000000000000,421,451,30,426.834080717488860,4.856164768883211,95184.000000000000000,24,427,421,426,431,Cook_Inlet,Cook_Inlet_75004400003452,223.000000000000000,5575.000000000000000,0.000000000000000,31.010848999023438,31.010848999023438,8.341850846989141,6.094008326903150,1860.232738878578402,7.137979507446289,15.301167488098145
69,75004400007388.0,69,529306.000000000000000,13232650.000000000000000,23,108,85,49.203506100440826,17.965610312229998,26043711.000000000000000,86,40,108,42,81,Cook_Inlet,Cook_Inlet_75004400007388,529306.000000000000000,13232650.000000000000000,0.000000000000000,33.803337097167969,33.803337097167969,3.842015258022749,3.745844599910868,2033601.728162989020348,3.460936069488525,8.533309936523438
70,75004400000627.0,70,16820.000000000000000,420500.000000000000000,2,87,85,31.500297265160512,21.513791443303866,529835.000000000000000,86,6,2,31,65,Cook_Inlet,Cook_Inlet_75004400000627,16820.000000000000000,420500.000000000000000,0.000000000000000,29.713479995727539,29.713479995727539,5.463657489848434,4.264655284678964,91898.718979250668781,5.098960638046265,10.765562152862548
71,75004400003042.0,71,19034.000000000000000,475850.000000000000000,4,35,31,20.695912577492930,8.060869428934293,393926.000000000000000,32,26,35,25,28,Cook_Inlet,Cook_Inlet_75004400003042,19034.000000000000000,475850.000000000000000,0.000000000000000,22.690097808837891,22.690097808837891,3.997330474877937,3.506174037749696,76085.188258826645324,3.899548292160034,8.459882450103763
72,75004400002041.0,72,113826.000000000000000,2845650.000000000000000,146,524,378,262.794730553651448,75.979523059640243,29912873.000000000000000,379,168,524,256,369,Cook_Inlet,Cook_Inlet_75004400002041,113826.000000000000000,2845650.000000000000000,0.000000000000000,48.364810943603516,48.364810943603516,15.152335051519056,8.828604876935186,1724729.689574208110571,14.962766170501709,26.897468566894531
