OBJECTID,cat_ID_con,dist_catch_coast_km,DsContAreaSqKm,HUC12,HUC12_Review
,Cook_Inlet_75004200000901,21.633383815976718,36.96257508,190202020501,0
,Cook_Inlet_75004200001724,17.599012964848786,170.81217492,190202020503,0
,Cook_Inlet_75004200001726,0.128860868183542,570.1149751,190202020508,0
,Cook_Inlet_75004200001493,0.147498921474112,9.6406,190202020303,0
,Cook_Inlet_75004200004105,0.137137117216968,14.02302496,190202020102,0
,Cook_Inlet_75004200009084,0.787632565636721,26.75324989,190202020511,0
,Cook_Inlet_75004200001298,0.032897748713996,22.51122493,190202020705,0
,Cook_Inlet_75004200003619,0.089052465916063,135.00585011,190202021002,0
,Cook_Inlet_75004200001047,0.548925811446349,12.01209999,190202021003,0
,Cook_Inlet_75004200016346,0.171204557720649,10.73410001,190202020602,1
,Cook_Inlet_75004200010717,0.349694864390379,15.91652502,190202021201,0
,Cook_Inlet_75004200010096,0.076808674291450,7.26669999,190202021004,0
,Cook_Inlet_75004200012620,0.309296893501564,4.07597496,190202021202,1
,Cook_Inlet_75004200000722,0.029182287147804,48.07202501,190202020403,0
,Cook_Inlet_75004200000726,0.315950873243506,66.51707498,190202020101,1
,Cook_Inlet_75004200012986,1.332330948612158,43.22985006,190202021001,0
,Cook_Inlet_75004200010465,0.021365975339970,10.441625,190202021404,0
,Cook_Inlet_75004200014411,0.195335683076663,25.663575,190202021402,0
,Cook_Inlet_75004200006640,0.346035229988418,3.97815003,190202021303,0
,Cook_Inlet_75004200012680,0.175628216802960,28.30742507,190202020404,0
,Cook_Inlet_75004200009093,0.456912256160250,22.00352512,190202021302,0
,Cook_Inlet_75004200002407,0.162843948397681,8.49739991,190202020704,1
,Cook_Inlet_75004200008970,0.082471034379625,14.76897494,190202020803,0
,Cook_Inlet_75004200005429,21.477566269306877,37.9761999,190202020502,0
,Cook_Inlet_75004200012771,0.016948531707759,127.5948,190202021401,0
,Cook_Inlet_75004200012099,2.280098327306432,266.14994984,190202020402,0
,Cook_Inlet_75004200009218,0.010557959145773,31.57267494,190202020802,0
,Cook_Inlet_75004200013577,0.171741142966603,32.87554987,190202020902,0
,Cook_Inlet_75004200000478,0.723511974070133,18.42572506,190202020510,0
,Cook_Inlet_75004200011012,0.110728602788628,289.79927478,190202020202,0
,Cook_Inlet_75004200006975,0.128601272191935,19.50372496,190202020203,0
,Cook_Inlet_75004200005415,16.890604368016959,55.25042506,190202020504,0
,Cook_Inlet_75004200000064,0.985950185500441,97.16269999,190202020507,0
,Cook_Inlet_75004200001191,0.367926295226612,19.09645,190202021403,0
,Cook_Inlet_75004200001167,0.178658299773336,79.7796001,190202021103,0
,Cook_Inlet_75004200003989,6.715230936138158,403.87737495,190202020506,0
,Cook_Inlet_75004200005203,0.481729691402063,64.66487492,190202020509,0
,Cook_Inlet_75004200001716,0.872756375171133,295.29807513,190202020601,0
,Cook_Inlet_75004200008853,0.297195738169667,58.5937749,190202021301,0
,Cook_Inlet_75004200008845,1.072116911367991,15.33460009,190202021104,0
,Cook_Inlet_75004200005283,0.106343855946785,4.82059999,190202020302,0
,Cook_Inlet_75004300004332,0.488940539951757,330.12407481,190203010503,0
,Cook_Inlet_75004300005723,0.634398403003760,65.40905004,190203011201,0
,Cook_Inlet_75004300006970,0.194162488977123,501.73540016,190203011006,0
,Cook_Inlet_75004300002057,21.842190719438786,45.9693251,190203011002,0
,Cook_Inlet_75004300005518,13.313858530067742,73.48539999,190203010603,0
,Cook_Inlet_75004300007319,1.095417862958632,15.53567501,190203010807,0
,Cook_Inlet_75004300004701,6.612001856174309,154.66160004,190203010401,0
,Cook_Inlet_75004300004365,5.063402115514348,93.16480011,190203010604,0
,Cook_Inlet_75004300006839,0.064884396030234,71.28692507,190203011105,0
,Cook_Inlet_75004300007978,0.183660869130163,87.06072471,190203011104,0
,Cook_Inlet_75004300007859,0.704870549956707,26.98902497,190203011112,0
,Cook_Inlet_75004300005004,0.267006430626168,230.42039993,190203011102,0
,Cook_Inlet_75004300005103,40.356817820155179,56.97809998,190203010301,0
,Cook_Inlet_75004300000311,9.980660369049177,51.81184995,190203010702,0
,Cook_Inlet_75004300008012,0.980619696675202,59.41495004,190203011103,0
,Cook_Inlet_75004300002143,1.332102116450678,27.51332507,190203010803,0
,Cook_Inlet_75004300001135,0.075955272798379,57.48392517,190203011209,0
,Cook_Inlet_75004300007259,0.190950827484619,136.89290004,190203010802,0
,Cook_Inlet_75004300001162,1.761201371416644,183.0465,190203010705,0
,Cook_Inlet_75004300002654,8.623033280608766,49.31742509,190203010501,0
,Cook_Inlet_75004300006302,0.546820204793889,66.91335004,190203011208,0
,Cook_Inlet_75004300002547,0.042057650230620,29.01444997,190203011203,0
,Cook_Inlet_75004300006726,0.580621032568044,38.56274984,190203011111,1
,Cook_Inlet_75004300003713,23.399526303570330,154.59215009,190203010601,0
,Cook_Inlet_75004300002688,0.017862449499999,2179.44929964,190203010404,0
,Cook_Inlet_75004300000754,15.400817641562933,57.73177484,190203010306,0
,Cook_Inlet_75004300003311,3.857870693686733,54.6316999,190203010605,0
,Cook_Inlet_75004300002834,12.728004446369932,1815.17702444,190203010307,0
,Cook_Inlet_75004300001258,0.027848372591482,573.23612503,190203010606,0
,Cook_Inlet_75004300007331,0.543459803311430,69.53402487,190203011205,0
,Cook_Inlet_75004300001638,0.860869467946285,7.15240001,190203011113,0
,Cook_Inlet_75004300002755,23.147917518428859,97.89967494,190203010602,0
,Cook_Inlet_75004300005625,0.131616483136947,36.94955,190203010805,1
,Cook_Inlet_75004300006594,0.383885038397060,253.78317503,190203011110,0
,Cook_Inlet_75004300006376,6.168526762183639,41.63009988,190203010703,0
,Cook_Inlet_75004300004090,38.879665256791235,194.89030005,190203010202,0
,Cook_Inlet_75004300002183,0.632387525309067,36.74644985,190203011210,0
,Cook_Inlet_75004300006207,1.710352422685199,13.696425,190203011206,0
,Cook_Inlet_75004300002023,9.623133917189351,373.06360003,190203011004,0
,Cook_Inlet_75004300001512,0.155463672106940,22.64064999,190203010801,1
,Cook_Inlet_75004300004018,29.120199420234766,39.14994994,190203010303,0
,Cook_Inlet_75004300000582,4.548551273466680,136.62002497,190203010403,0
,Cook_Inlet_75004300005478,5.521724563245762,143.24097495,190203010502,0
,Cook_Inlet_75004300008120,37.374932920298903,50.32047491,190203010302,0
,Cook_Inlet_75004300000022,20.632967601218347,164.28090006,190203011003,0
,Cook_Inlet_75004300002181,0.072042777363120,24.84207515,190203011211,0
,Cook_Inlet_75004300002027,9.556498097151048,54.17362507,190203011005,0
,Cook_Inlet_75004300006012,24.264783510133068,143.72104999,190203010304,0
,Cook_Inlet_75004300002197,0.040978759000707,584.6291248,190203010706,0
,Cook_Inlet_75004300000779,0.975647287697614,16.97482496,190203010806,1
,Cook_Inlet_75004300005952,0.267635765451003,92.03877512,190203010804,0
,Cook_Inlet_75004300001228,5.799230922228704,97.52492513,190203010704,0
,Cook_Inlet_75004300006149,36.805107080654892,593.63944975,190203010104,0
,Cook_Inlet_75004300004452,10.692474529759938,161.04567505,190203010701,0
,Cook_Inlet_75004300004989,0.075560301436582,829.25160024,190203010903,0
,Cook_Inlet_75004300004326,1.024920929151935,53.59415001,190203011204,0
,Cook_Inlet_75004300005307,0.244873315881258,10.800375,190203011212,0
,Cook_Inlet_75004300005646,0.519020155747939,20.69527505,190203011202,0
,Cook_Inlet_75004300003251,1.986365716199534,65.06372506,190203011207,0
,Cook_Inlet_75004300006013,20.200719007190340,44.80867506,190203010305,0
,Cook_Inlet_75004400008879,0.129133887243359,23.32322502,190203021809,0
,Cook_Inlet_75004400008242,33.035154394208966,112.78277531,190203021005,0
,Cook_Inlet_75004400007224,0.018924896598613,322.32710002,190203020305,0
,Cook_Inlet_75004400008539,23.968172929240687,103.00622492,190203021002,1
,Cook_Inlet_75004400011230,16.691151885809521,88.33480009,190203020902,0
,Cook_Inlet_75004400002953,17.510228751631569,89.88210012,190203020803,0
,Cook_Inlet_75004400001616,28.231048653678158,534.2142001,190203021505,0
,Cook_Inlet_75004400000862,32.479704109208235,28.92319979,190203021006,0
,Cook_Inlet_75004400007512,22.045181948523116,667.32679986,190203021606,0
,Cook_Inlet_75004400010175,0.171686816680829,427.53645012,190203020205,0
,Cook_Inlet_75004400006033,23.170766694466284,90.74697485,190203021701,0
,Cook_Inlet_75004400006433,19.396234639691727,154.06262496,190203020501,0
,Cook_Inlet_75004400009198,30.569187016660294,51.8061249,190203020601,0
,Cook_Inlet_75004400010610,21.611492743069149,161.71887492,190203020604,0
,Cook_Inlet_75004400007465,0.129645017492887,98.03487499,190203021904,0
,Cook_Inlet_75004400001569,19.091904249245122,4569.37957581,190203021807,0
,Cook_Inlet_75004400010402,11.461216957054489,47.33312509,190203021808,0
,Cook_Inlet_75004400004652,29.747080398649274,168.01012489,190203021601,0
,Cook_Inlet_75004400004450,30.318331284484334,72.00252498,190203021607,0
,Cook_Inlet_75004400009109,0.864591355645436,29.20214999,190203022005,1
,Cook_Inlet_75004400006170,0.551589026763949,29.36567489,190203022004,0
,Cook_Inlet_75004400008856,32.147463098141735,87.72507521,190203021203,0
,Cook_Inlet_75004400004455,25.694359868499244,175.57854991,190203020602,0
,Cook_Inlet_75004400011676,0.482598856758551,141.24160009,190203020304,0
,Cook_Inlet_75004400010754,47.620711454845548,163.9089498,190203021405,0
,Cook_Inlet_75004400002950,46.729050208185591,141.63119992,190203021401,0
