OID_,cat_ID_txt,O1Region,wtd_glacier_area_sqm,wtd_glacier_per,region,cat_ID,cat_ID_con
47,75004400004829, 1,1224717.807170792017132,0.975463283679269,Cook_Inlet,75004400004829,Cook_Inlet_75004400004829
48,75004400006357, 1,601336.238057468901388,0.723189077287403,Cook_Inlet,75004400006357,Cook_Inlet_75004400006357
49,75004400006846, 1,5678474.507610390894115,7.193934307122311,Cook_Inlet,75004400006846,Cook_Inlet_75004400006846
50,75004400008856, 1,5678474.507610389031470,6.473034800289315,Cook_Inlet,75004400008856,Cook_Inlet_75004400008856
51,75004400009260, 1,1224717.807170792249963,0.851611338419986,Cook_Inlet,75004400009260,Cook_Inlet_75004400009260
52,75004400009261, 1,1224717.807170792017132,0.847655153719522,Cook_Inlet,75004400009261,Cook_Inlet_75004400009261
53,75004400009308, 1,1224717.807170792017132,1.811707371821735,Cook_Inlet,75004400009308,Cook_Inlet_75004400009308
54,75004400009331, 1,601336.238057468901388,0.484407819625681,Cook_Inlet,75004400009331,Cook_Inlet_75004400009331
55,75004400009919, 1,4355035.148448881693184,5.819810049715316,Cook_Inlet,75004400009919,Cook_Inlet_75004400009919
56,75004400010754, 1,1224717.807170792017132,0.747193980812923,Cook_Inlet,75004400010754,Cook_Inlet_75004400010754
57,75004400010810, 1,1224717.807170792017132,3.606433618034774,Cook_Inlet,75004400010810,Cook_Inlet_75004400010810
58,75004400011322, 1,3462838.781429158989340,6.237039753724640,Cook_Inlet,75004400011322,Cook_Inlet_75004400011322
59,75004400011711, 1,95750460.455928713083267,26.555569324737448,Cook_Inlet,75004400011711,Cook_Inlet_75004400011711
60,75005400001203, 1,3868225.944155723322183,1.369544216904617,Cook_Inlet,75005400001203,Cook_Inlet_75005400001203
61,75003900027489, 1,1535575.906465335981920,7.344345295579426,Copper_River,75003900027489,Copper_River_75003900027489
62,75003900033524, 1,6566375.526693684048951,12.148222651088538,Copper_River,75003900033524,Copper_River_75003900033524
63,75003900054316, 1,2849375.174713131505996,5.462298382585140,Copper_River,75003900054316,Copper_River_75003900054316
64,75003900062338, 1,8336290850.441441535949707,16.313429702477176,Copper_River,75003900062338,Copper_River_75003900062338
65,75019600118138, 1,5078.675554440893393,0.000111588451285,Copper_River,75019600118138,Copper_River_75019600118138
66,75019700004190, 1,38076270.430691443383694,10.277786664022649,Copper_River,75019700004190,Copper_River_75019700004190
67,75019700017692, 1,403718653.125524222850800,57.639133099414998,Copper_River,75019700017692,Copper_River_75019700017692
68,75019800010313, 1,2266169.892188544850796,0.403218046033001,Copper_River,75019800010313,Copper_River_75019800010313
69,75019800019692, 1,106387407.993959471583366,6.554059220917667,Copper_River,75019800019692,Copper_River_75019800019692
70,1023044, 1,8152617.825229487381876,0.249676736471001,Bristol_Bay,1023044,Bristol_Bay_1023044
71,2041471, 1,328048246.942797601222992,27.594118526346527,Bristol_Bay,2041471,Bristol_Bay_2041471
72,2066924, 1,1498522.870199007680640,5.045106877195548,Bristol_Bay,2066924,Bristol_Bay_2066924
73,2073464, 1,5200998.724093787372112,1.567926009337554,Bristol_Bay,2073464,Bristol_Bay_2073464
74,2082373, 1,2205563.424924903549254,0.261372422646153,Bristol_Bay,2082373,Bristol_Bay_2082373
75,2082393, 1,2205563.424924903549254,0.261138281849632,Bristol_Bay,2082393,Bristol_Bay_2082393
76,2087913, 1,514999590.983503520488739,6.783031823370110,Bristol_Bay,2087913,Bristol_Bay_2087913
77,2088163, 1,517205152.793788015842438,6.010079293779024,Bristol_Bay,2088163,Bristol_Bay_2088163
78,2088253, 1,517205152.793787598609924,5.966025515075132,Bristol_Bay,2088253,Bristol_Bay_2088253
79,3024343, 1,255090705.209607005119324,3.776752499733567,Bristol_Bay,3024343,Bristol_Bay_3024343
80,4087015, 1,2506407.858040387276560,0.213345968978312,Bristol_Bay,4087015,Bristol_Bay_4087015
81,4088675, 1,3687435.150200296193361,0.166386274738703,Bristol_Bay,4088675,Bristol_Bay_4088675
82,4096454, 1,1181027.292159908451140,1.864630764528167,Bristol_Bay,4096454,Bristol_Bay_4096454
