OID_,cat_ID_txt,cat_slope_ZONE_CODE,cat_slope_COUNT,cat_slope_AREA,cat_slope_MIN,cat_slope_MAX,cat_slope_RANGE,cat_slope_MEAN,cat_slope_STD,cat_slope_SUM,cat_slope_MEDIAN,cat_slope_PCT90,region,cat_ID_con
1,75004200007057.0,1,38470.000000000000000,961750.000000000000000,0.000000000000000,51.528606414794922,51.528606414794922,24.003747967610181,11.341730477788772,923424.184313963633031,26.773117065429688,36.195235061645512,Cook_Inlet,Cook_Inlet_75004200007057.0
2,75004300006312.0,2,57563.000000000000000,1439075.000000000000000,0.000000000000000,25.867790222167969,25.867790222167969,3.988540771383525,3.296477248573285,229592.372423149819952,3.914578914642334,8.115572738647462,Cook_Inlet,Cook_Inlet_75004300006312.0
3,75004300001906.0,3,12127.000000000000000,303175.000000000000000,0.000000000000000,42.812709808349609,42.812709808349609,9.364203864858119,8.117424480219611,113559.700269134409609,6.346287727355957,22.223569488525385,Cook_Inlet,Cook_Inlet_75004300001906.0
4,75004300000100.0,4,78759.000000000000000,1968975.000000000000000,0.000000000000000,51.119224548339844,51.119224548339844,4.115627542266635,4.131385588811662,324142.709601377893705,3.794851303100586,8.946120262145996,Cook_Inlet,Cook_Inlet_75004300000100.0
5,75004300004983.0,5,113568.000000000000000,2839200.000000000000000,0.000000000000000,58.809379577636719,58.809379577636719,17.918886738161042,10.559420067703268,2035012.129079473204911,16.383375167846680,32.586312103271482,Cook_Inlet,Cook_Inlet_75004300004983.0
6,75004300004332.0,6,46955.000000000000000,1173875.000000000000000,0.000000000000000,46.398475646972656,46.398475646972656,6.184405501774826,6.368494177204709,290388.760335836966988,4.852771282196045,14.606298446655273,Cook_Inlet,Cook_Inlet_75004300004332.0
7,75004300006239.0,7,30029.000000000000000,750725.000000000000000,0.000000000000000,68.678260803222656,68.678260803222656,21.838971687266334,12.900482665964404,655802.480796920717694,20.144819259643555,39.905254364013672,Cook_Inlet,Cook_Inlet_75004300006239.0
8,75004300004304.0,8,29800.000000000000000,745000.000000000000000,0.000000000000000,41.912860870361328,41.912860870361328,8.636142466411203,7.912129286378066,257357.045499053841922,5.719166755676270,20.943684959411623,Cook_Inlet,Cook_Inlet_75004300004304.0
9,75004300002332.0,9,25642.000000000000000,641050.000000000000000,0.000000000000000,35.662700653076172,35.662700653076172,8.325899976222752,6.931511964687823,213492.727190303819953,5.934587955474854,18.767343902587893,Cook_Inlet,Cook_Inlet_75004300002332.0
10,75004300005437.0,10,5915.000000000000000,147875.000000000000000,0.000000000000000,24.580333709716797,24.580333709716797,6.791248477707882,3.616009411502144,40170.234745642119378,6.210348129272461,11.482076644897464,Cook_Inlet,Cook_Inlet_75004300005437.0
11,75004300003464.0,11,4888.000000000000000,122200.000000000000000,0.000000000000000,35.240539550781250,35.240539550781250,10.661120312606585,6.761496211269406,52111.556088020988682,9.533505439758301,20.034955596923830,Cook_Inlet,Cook_Inlet_75004300003464.0
12,75004300005171.0,12,263915.000000000000000,6597875.000000000000000,0.000000000000000,27.696077346801758,27.696077346801758,4.069323536803762,3.476795296362343,1073955.521215564804152,3.910253047943115,8.457705497741699,Cook_Inlet,Cook_Inlet_75004300005171.0
13,75004300004701.0,13,101308.000000000000000,2532700.000000000000000,0.000000000000000,33.920829772949219,33.920829772949219,3.826907078135514,3.404142290559691,387696.302271752618253,3.648257255554199,7.557440280914307,Cook_Inlet,Cook_Inlet_75004300004701.0
14,75004300005303.0,14,140224.000000000000000,3505600.000000000000000,0.000000000000000,28.732854843139648,28.732854843139648,3.684653983743928,3.351899217285126,516676.920216508558951,3.477884769439697,8.042572784423825,Cook_Inlet,Cook_Inlet_75004300005303.0
15,75004300006440.0,15,142116.000000000000000,3552900.000000000000000,0.000000000000000,42.389373779296875,42.389373779296875,5.604261253254022,5.353082135492881,796455.192267448641360,4.935842037200928,11.707437515258789,Cook_Inlet,Cook_Inlet_75004300006440.0
16,75004300004254.0,16,12522.000000000000000,313050.000000000000000,0.000000000000000,34.497821807861328,34.497821807861328,6.313304793248220,5.411283118401021,79055.202621054209885,5.124754190444946,14.097649669647215,Cook_Inlet,Cook_Inlet_75004300004254.0
17,75004300001207.0,17,96486.000000000000000,2412150.000000000000000,0.000000000000000,26.730201721191406,26.730201721191406,3.605226253572392,3.432602467712983,347853.860302185814362,3.342553615570068,7.397791147232056,Cook_Inlet,Cook_Inlet_75004300001207.0
18,75004300005245.0,18,6391.000000000000000,159775.000000000000000,0.000000000000000,18.666578292846680,18.666578292846680,5.661484465595829,3.749842627062363,36182.547219622945704,5.279598236083984,10.980585098266602,Cook_Inlet,Cook_Inlet_75004300005245.0
19,75004300000311.0,19,16577.000000000000000,414425.000000000000000,0.000000000000000,25.336961746215820,25.336961746215820,5.861536956484860,4.423758392553680,97166.698127649535309,5.272600173950195,12.213924980163572,Cook_Inlet,Cook_Inlet_75004300000311.0
20,75004300008012.0,20,67071.000000000000000,1676775.000000000000000,0.000000000000000,53.543563842773438,53.543563842773438,10.141688650477384,9.243887066139040,680213.199476168607362,7.165094375610352,23.844161987304688,Cook_Inlet,Cook_Inlet_75004300008012.0
21,75004300004192.0,21,17515.000000000000000,437875.000000000000000,0.000000000000000,29.194961547851562,29.194961547851562,6.462502525720749,5.011572306557890,113190.731737998925382,5.412522792816162,13.727510833740237,Cook_Inlet,Cook_Inlet_75004300004192.0
