Bristol Bay Borough, Alaska, Average Temperature, June-August
Units: Degrees Fahrenheit
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
200108,53.4,0.5
200208,53.5,0.6
200308,54.1,1.2
200408,56.2,3.3
200508,55.4,2.5
200608,52.3,-0.6
200708,53.7,0.8
200808,51.2,-1.7
200908,52.8,-0.1
201008,51.2,-1.7
201108,50.5,-2.4
201208,51.9,-1.0
201308,55.8,2.9
201408,54.4,1.5
201508,55.8,2.9
201608,57.6,4.7
201708,55.1,2.2
201808,54.5,1.6
201908,58.1,5.2
