Bristol Bay Borough, Alaska, Precipitation, June-August
Units: Inches
Base Period: 1925-2000
Missing: -99
Date,Value,Anomaly
200108,6.25,-1.16
200208,7.46,0.05
200308,9.33,1.92
200408,6.45,-0.96
200508,7.69,0.28
200608,10.06,2.65
200708,6.61,-0.80
200808,5.61,-1.80
200908,6.62,-0.79
201008,9.20,1.79
201108,9.32,1.91
201208,9.96,2.55
201308,7.98,0.57
201408,9.30,1.89
201508,5.82,-1.59
201608,10.84,3.43
201708,7.87,0.46
201808,11.89,4.48
201908,3.67,-3.74
