Region,HUC12,Year,Scenario,TempSens,dist_coast_km,wtd_area_sqKM,str_slope,cat_elev_MEAN,cat_slope_MEAN,wtd_north_per,wtd_slope_MEAN,wtd_glacier_per,wtd_lake_per,wtd_wet_per,wtd_lcld_jd,summer_precip,Chinook,Sockeye,Chum,Pink,Coho,Spawning,Rearing
Copper_River,190201010204,2004,Low Precipitation,0.19159901009319844,214.07046851490256,342.89642470375065,4.7638e-4,907.1479473276542,4.605939515339697,23.5181465,19.59108012985948,0.660890502574978,3.972441941586855,2.7360826,493.5972575377706,92.4,0,1,0,0,0,1,0
Copper_River,190201010206,2004,Low Precipitation,0.3184597889581255,211.5606403604184,562.0209498270003,0.006220710000000001,730.8025412087919,0.536901288216803,20.829546,14.04761154854225,0.403218048230019,3.664727219132728,13.2740793,488.37808657954605,71.87,1,1,0,0,0,0,0
Copper_River,190201010303,2003,Low Precipitation,0.20229172763988104,237.95728057629037,287.5061750515001,0.00917155,865.0031746031752,13.758153958730878,19.5824165,21.545441602171074,4.50685860990826,0.105659177800332,1.1686231,526.4453354626696,101.2,0,1,0,0,0,1,0
Copper_River,190201010305,2003,Low Precipitation,0.15435458487395473,238.9929535514475,126.02442502899989,0.006448150000000001,796.0878839590455,3.386074179978927,19.6494007,21.957641886922605,0,0.551637545819588,4.6069007,506.5714834882918,99.8,1,1,0,0,0,1,0
Copper_River,190201010306,2004,Low Precipitation,0.2032635596472566,235.5490583201337,610.7697251734998,0.00344464,695.0379562043801,1.121360980436727,22.1209526,20.633252081718567,2.121502797252376,0.494481804287988,2.3575065,502.54022514192354,89.56,1,1,0,0,0,1,0
Copper_River,190201010308,2004,Low Precipitation,0.12780469895898475,238.2112677261355,118.2306249542501,4.5784000000000005e-4,815.8157942075902,15.993434048944456,14.6725445,20.42302887547166,0,4.275792933576759,3.9757421,487.82840968112293,83.61,0,1,0,0,0,1,0
Copper_River,190201010310,2004,Low Precipitation,0.3037075859718417,232.18890160839427,949.5106499890001,3.8529000000000005e-4,665.3212616822427,0.465858816818199,22.2320099,19.53846836925802,1.364649970432302,1.098141380125734,4.3803844,497.7315921936642,66.78,1,1,0,0,0,0,1
Copper_River,190201010401,2004,Low Precipitation,0.15603136175019522,231.23349235947114,106.22812484425044,0.01006438,763.5246274217561,10.694779542477894,26.0000515,19.31632987759779,0,0.353436846954657,3.8308303,483.26559067119393,77.66,1,1,0,0,0,0,1
Copper_River,190201010403,2004,Low Precipitation,0.25783094024628883,220.09508957178033,186.5933750080002,3.1202000000000004e-4,661.5871853701318,0.947097715722679,22.7816582,14.3841304720103,0,1.237786767361238,10.3098097,485.3080438577758,64.56,0,1,0,0,0,1,0
Copper_River,190201010404,2004,Low Precipitation,0.33467828655717125,216.95768958980196,141.51234993325,0.00159614,664.5328992201089,0.925475923078861,14.4376402,7.573274044113509,0,0.272796086675739,24.9246807,479.9372345098762,70.08,1,1,0,0,0,1,1
Copper_River,190201010405,2004,Low Precipitation,0.117555573673178,218.90091986006354,68.60252498674997,0.02038196,793.3824526648625,10.597888743809142,18.5376701,23.987085401456717,0,0.955577371228111,2.8143868,486.1350990341839,82.56,1,0,0,0,0,0,1
Copper_River,190201010407,2004,Low Precipitation,0.3079331958691566,213.8974415364133,1777.1436750057503,0.0020584,654.1462124747233,0.650692018536669,20.606102,17.627570970462777,0.729119259549148,0.988142717270468,7.1463351,491.11626034441,78.41,1,1,0,0,0,0,0
Copper_River,190201010408,2004,Low Precipitation,0.21009168113445725,216.11204517350953,166.10930001824988,0.0131978,793.9503602480416,10.038779137334597,17.0534592,19.51855747724643,0,0.141856700774335,2.8295577,488.40101218770633,80.88,1,0,0,0,0,1,1
Copper_River,190201010504,2004,Low Precipitation,0.2573054762427676,208.14078206860015,465.57514989550015,0.0021502900000000004,668.253382819146,2.217821864421193,36.6330986,11.29057369200959,12.173848240961505,0.502951212426178,6.3335223,502.37032541075536,77.79,1,0,0,0,0,1,0
Copper_River,190201010505,2004,Low Precipitation,0.3140891982389232,207.76187100388847,523.8124998382502,0.0021052300000000005,629.6760701984593,0.526897993880967,35.4002304,10.231114503699386,10.8203626704993,0.595481721778281,9.419054,499.6922123410175,90.07000000000001,1,0,0,0,0,1,0
Copper_River,190201010603,2004,Low Precipitation,0.49381795923684046,196.0750345194128,312.32860018499974,1e-5,592.181818181818,1.463522187184062,42.006813,4.313163382157414,0,1.492752740662803,13.5024261,480.81458230284363,73.1,1,0,0,0,0,0,0
Copper_River,190201010703,2004,Low Precipitation,0.2516288628718225,195.73192702580073,316.0822749360002,0.00642093,613.3180072807075,2.356640634535293,18.2967052,14.157834606815124,0,0.540216853143242,1.8524622,487.46718533390515,70.52,1,0,0,0,0,1,1
Copper_River,190201010803,2004,Low Precipitation,0.253002990453103,198.7555104649175,118.6048750112498,0.00612124,895.4787058435156,3.696721243441802,31.6513596,16.567577256594497,0.951931258236005,6.307802652554119,2.8421285,497.7779518204562,87.61,0,1,0,0,0,0,0
Copper_River,190201010804,2004,Low Precipitation,0.365110883377972,210.74861721665079,1331.3432001794993,0.00847257,761.2761194029848,2.29268615750064,30.3359051,15.67162525736925,33.2529161487962,1.130944593463317,10.6030807,522.6412569444981,75.66,0,1,0,0,0,0,0
Copper_River,190201010805,2004,Low Precipitation,0.2982502453727662,212.41148154925907,1973.2365249044997,0.004234140000000001,648.4326990838634,0.871377669474799,27.2832527,14.62344914182119,22.550596560362226,1.814222560224829,11.9686136,511.4497619481947,77.37,1,1,0,0,0,0,0
